Driver,Team,GP,Rule_Era,AirTemp_p1,Humidity_p1,Pressure_p1,Rainfall_p1,laptime_sum_sectortimes_p1,LapTimeDiff_p1,Compound_p1,AirTemp_p2,Humidity_p2,Pressure_p2,Rainfall_p2,laptime_sum_sectortimes_p2,LapTimeDiff_p2,Compound_p2,AirTemp_p3,Humidity_p3,Pressure_p3,Rainfall_p3,laptime_sum_sectortimes_p3,LapTimeDiff_p3,Compound_p3,Sprint-Session,AirTemp_sprint_quali,Humidity_sprint_quali,Pressure_sprint_quali,Rainfall_sprint_quali,laptime_sum_sectortimes_sprint_quali,LapTimeDiff_sprint_quali,Compound_sprint_quali,AirTemp_quali,Humidity_quali,Pressure_quali,Rainfall_quali,Compound_quali,Season,Sprint_Race_Era,Sprint_Weekend,race_round,gp_id,Team_Lineage,Type,Direction,Circut_length,Turns,Pace_profile,Flat_out_run,Slow_turns,Medium_turns,High_speed_turns,Turn_density,Complexity_label
LEC,Ferrari,Australian GP,Active-Aero-Hybrid-Era,21.1,69.6,1014.0,0.0,80.267,0.0,SOFT,22.5,64.6,1011.6,0.0,80.291,0.5619999999999976,SOFT,20.8,63.7,1014.4,0.0,79.827,0.7740000000000009,SOFT,,,,,,,,,20.4,59.3,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,Ferrari,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
HAM,Ferrari,Australian GP,Active-Aero-Hybrid-Era,21.1,71.4,1014.3,0.0,80.73599999999999,0.4689999999999941,SOFT,22.4,66.5,1011.5,0.0,80.05000000000001,0.3210000000000121,SOFT,20.9,62.6,1014.2,0.0,79.66900000000001,0.6160000000000139,SOFT,,,,,,,,,20.4,59.3,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,Ferrari,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
HAD,Red Bull Racing,Australian GP,Active-Aero-Hybrid-Era,20.8,69.1,1014.3,0.0,81.08699999999999,0.8199999999999932,SOFT,22.5,64.7,1011.6,0.0,80.941,1.2120000000000033,SOFT,20.9,62.6,1014.2,0.0,80.137,1.0840000000000032,SOFT,,,,,,,,,20.4,59.3,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,Red Bull Racing,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
LIN,Racing Bulls,Australian GP,Active-Aero-Hybrid-Era,21.2,69.4,1014.0,0.0,81.313,1.0460000000000065,SOFT,22.5,64.6,1011.6,0.0,80.922,1.1929999999999978,SOFT,20.9,62.6,1014.2,0.0,80.838,1.7849999999999966,SOFT,,,,,,,,,20.4,59.0,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,Toro Rosso-AlphaTauri-RB-Racing Bulls,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
PIA,McLaren,Australian GP,Active-Aero-Hybrid-Era,21.1,69.6,1014.0,0.0,81.34200000000001,1.075000000000017,SOFT,22.6,64.2,1011.5,0.0,79.729,0.0,SOFT,20.9,62.6,1014.2,0.0,80.087,1.034000000000006,SOFT,,,,,,,,,20.4,59.3,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,McLaren,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
RUS,Mercedes,Australian GP,Active-Aero-Hybrid-Era,20.8,69.1,1014.3,0.0,81.37100000000001,1.1040000000000134,SOFT,22.6,63.0,1011.7,0.0,80.049,0.3200000000000074,SOFT,21.0,62.1,1014.3,0.0,79.053,0.0,SOFT,,,,,,,,,20.4,60.4,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,Mercedes,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
ANT,Mercedes,Australian GP,Active-Aero-Hybrid-Era,21.0,71.2,1014.3,0.0,81.37599999999999,1.1089999999999949,SOFT,22.6,63.6,1011.8,0.0,79.943,0.2139999999999986,SOFT,20.6,65.4,1014.5,0.0,80.324,1.2710000000000008,SOFT,,,,,,,,,20.4,60.4,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,Mercedes,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
BOR,Audi,Australian GP,Active-Aero-Hybrid-Era,21.0,69.8,1014.3,0.0,81.696,1.429000000000002,SOFT,22.5,64.6,1011.6,0.0,81.668,1.9390000000000072,SOFT,21.0,62.1,1014.3,0.0,80.459,1.406000000000006,SOFT,,,,,,,,,20.4,64.0,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Sauber-Alfa Romeo-Kick Sauber-Audi,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
HUL,Audi,Australian GP,Active-Aero-Hybrid-Era,21.2,68.5,1014.3,0.0,81.969,1.7019999999999982,SOFT,22.6,64.2,1011.5,0.0,81.351,1.622,SOFT,20.8,63.3,1014.4,0.0,81.067,2.013999999999996,SOFT,,,,,,,,,20.5,63.8,1013.5,0.0,SOFT,2026,2023-2026,0,1,172,Sauber-Alfa Romeo-Kick Sauber-Audi,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
OCO,Haas F1 Team,Australian GP,Active-Aero-Hybrid-Era,21.2,69.2,1014.0,0.0,82.161,1.8940000000000052,SOFT,22.6,63.8,1011.8,0.0,81.179,1.4500000000000028,SOFT,20.9,61.9,1014.3,0.0,80.983,1.9300000000000068,SOFT,,,,,,,,,20.5,63.6,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Haas F1 Team,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
LAW,Racing Bulls,Australian GP,Active-Aero-Hybrid-Era,20.6,72.4,1014.6,0.0,82.613,2.346000000000004,MEDIUM,22.6,64.6,1011.7,0.0,81.358,1.6290000000000049,SOFT,20.8,63.7,1014.4,0.0,80.89,1.8370000000000035,HARD,,,,,,,,,20.4,59.0,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,Toro Rosso-AlphaTauri-RB-Racing Bulls,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
BEA,Haas F1 Team,Australian GP,Active-Aero-Hybrid-Era,21.3,69.3,1014.0,0.0,82.68199999999999,2.414999999999992,SOFT,22.6,63.8,1011.8,0.0,81.326,1.5969999999999942,SOFT,20.9,61.9,1014.3,0.0,80.778,1.7250000000000083,SOFT,,,,,,,,,20.4,64.0,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Haas F1 Team,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
ALB,Williams,Australian GP,Active-Aero-Hybrid-Era,21.2,68.5,1014.3,0.0,83.13,2.8629999999999995,SOFT,22.6,63.8,1011.8,0.0,81.84700000000001,2.118000000000009,SOFT,20.9,61.9,1014.3,0.0,81.66399999999999,2.61099999999999,SOFT,,,,,,,,,20.6,63.5,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Williams,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
