Driver,Team,GP,Rule_Era,AirTemp_p1,Humidity_p1,Pressure_p1,Rainfall_p1,laptime_sum_sectortimes_p1,LapTimeDiff_p1,Compound_p1,AirTemp_p2,Humidity_p2,Pressure_p2,Rainfall_p2,laptime_sum_sectortimes_p2,LapTimeDiff_p2,Compound_p2,AirTemp_p3,Humidity_p3,Pressure_p3,Rainfall_p3,laptime_sum_sectortimes_p3,LapTimeDiff_p3,Compound_p3,Sprint-Session,AirTemp_sprint_quali,Humidity_sprint_quali,Pressure_sprint_quali,Rainfall_sprint_quali,laptime_sum_sectortimes_sprint_quali,LapTimeDiff_sprint_quali,Compound_sprint_quali,AirTemp_quali,Humidity_quali,Pressure_quali,Rainfall_quali,Compound_quali,Season,Sprint_Race_Era,Sprint_Weekend,race_round,gp_id,Team_Lineage,Type,Direction,Circut_length,Turns,Pace_profile,Flat_out_run,Slow_turns,Medium_turns,High_speed_turns,Turn_density,Complexity_label
VER,Red Bull Racing,Abu Dhabi GP,High-Downforce,29.7,33.0,1015.7,0.0,98.491,0.0,HYPERSOFT,26.2,58.4,1016.1,0.0,97.28,0.0439999999999969,HYPERSOFT,31.9,29.5,1015.8,0.0,97.747,0.570999999999998,HYPERSOFT,,,,,,,,,28.7,44.0,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Red Bull Racing,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
RIC,Red Bull Racing,Abu Dhabi GP,High-Downforce,29.9,29.4,1015.5,0.0,98.945,0.4539999999999935,HYPERSOFT,26.1,58.6,1016.1,0.0,97.428,0.191999999999993,HYPERSOFT,32.1,29.6,1015.7,0.0,98.09,0.9140000000000016,HYPERSOFT,,,,,,,,,28.5,43.1,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Red Bull Racing,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
BOT,Mercedes,Abu Dhabi GP,High-Downforce,29.7,32.6,1015.7,0.0,99.452,0.9609999999999984,SUPERSOFT,26.2,57.1,1015.9,0.0,97.236,0.0,HYPERSOFT,32.1,30.0,1015.7,0.0,97.933,0.757000000000005,HYPERSOFT,,,,,,,,,28.5,43.1,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Mercedes,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
HAM,Mercedes,Abu Dhabi GP,High-Downforce,29.6,33.2,1015.8,0.0,99.543,1.0520000000000067,ULTRASOFT,26.2,57.1,1015.9,0.0,97.443,0.2069999999999936,HYPERSOFT,32.1,30.0,1015.7,0.0,97.176,0.0,HYPERSOFT,,,,,,,,,28.5,43.1,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Mercedes,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
OCO,Racing Point,Abu Dhabi GP,High-Downforce,29.7,32.8,1015.8,0.0,100.102,1.6110000000000042,HYPERSOFT,26.2,57.4,1016.0,0.0,98.402,1.1659999999999968,HYPERSOFT,31.9,30.0,1015.7,0.0,99.011,1.8349999999999935,HYPERSOFT,,,,,,,,,28.5,43.1,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Force India-Racing Point-Aston Martin,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
MAG,Haas F1 Team,Abu Dhabi GP,High-Downforce,29.7,32.6,1015.7,0.0,100.235,1.7439999999999998,HYPERSOFT,26.2,57.4,1016.0,0.0,98.318,1.0819999999999936,HYPERSOFT,32.1,29.7,1015.6,0.0,99.612,2.435999999999993,HYPERSOFT,,,,,,,,,28.4,48.2,1016.6,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Haas F1 Team,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
RAI,Ferrari,Abu Dhabi GP,High-Downforce,29.4,34.9,1016.0,0.0,100.417,1.926000000000002,HYPERSOFT,26.3,56.8,1015.9,0.0,97.461,0.2249999999999943,HYPERSOFT,32.1,29.8,1015.8,0.0,97.464,0.2879999999999967,HYPERSOFT,,,,,,,,,28.5,42.3,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Ferrari,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
VET,Ferrari,Abu Dhabi GP,High-Downforce,29.5,35.1,1016.0,0.0,100.453,1.9620000000000035,HYPERSOFT,26.1,57.8,1015.9,0.0,97.569,0.3329999999999984,HYPERSOFT,32.1,30.0,1015.7,0.0,97.587,0.4110000000000013,HYPERSOFT,,,,,,,,,28.5,42.3,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Ferrari,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
SAI,Renault,Abu Dhabi GP,High-Downforce,29.6,32.8,1015.8,0.0,100.588,2.096999999999994,ULTRASOFT,26.1,57.9,1015.9,0.0,98.511,1.2749999999999917,HYPERSOFT,32.0,29.3,1015.6,0.0,98.97,1.793999999999997,HYPERSOFT,,,,,,,,,28.3,48.1,1016.5,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Alpine-Renault,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
GRO,Haas F1 Team,Abu Dhabi GP,High-Downforce,29.7,32.6,1015.7,0.0,100.663,2.171999999999997,HYPERSOFT,26.1,57.9,1015.9,0.0,98.06,0.8239999999999981,HYPERSOFT,32.1,29.7,1015.6,0.0,98.304,1.128,HYPERSOFT,,,,,,,,,28.7,44.7,1016.6,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Haas F1 Team,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
