,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:53.615000,31.3,29.2,1016.4,False,43.9,122,0.8
1,0 days 00:01:53.610000,31.2,29.7,1016.4,False,44.0,159,0.6
2,0 days 00:02:53.626000,31.1,30.1,1016.3,False,43.9,247,0.3
3,0 days 00:03:53.651000,31.0,30.2,1016.3,False,43.9,127,0.5
4,0 days 00:04:53.659000,31.0,30.2,1016.3,False,43.9,127,0.5
5,0 days 00:05:53.676000,31.2,29.7,1016.3,False,44.4,136,1.4
6,0 days 00:06:53.696000,31.3,29.7,1016.2,False,44.3,136,1.2
7,0 days 00:07:53.709000,31.3,29.7,1016.2,False,44.3,136,1.2
8,0 days 00:08:53.724000,31.5,29.2,1016.2,False,44.1,138,2.2
9,0 days 00:09:53.754000,31.4,29.2,1016.2,False,43.9,105,1.1
10,0 days 00:10:53.742000,31.4,29.2,1016.2,False,43.9,105,1.1
11,0 days 00:11:53.754000,31.6,29.3,1016.2,False,43.6,129,1.0
12,0 days 00:12:53.765000,31.8,29.4,1016.1,False,42.8,132,2.1
13,0 days 00:13:53.784000,31.8,29.4,1016.1,False,42.8,132,2.1
14,0 days 00:14:53.786000,32.0,30.5,1016.2,False,41.8,132,3.0
15,0 days 00:15:53.800000,31.9,29.7,1016.2,False,41.8,127,2.8
16,0 days 00:16:53.808000,31.9,29.5,1016.1,False,41.6,147,1.7
17,0 days 00:17:53.823000,31.9,29.5,1016.1,False,41.6,147,1.7
18,0 days 00:18:53.834000,31.9,30.4,1016.0,False,41.1,106,1.9
19,0 days 00:19:53.848000,32.0,30.5,1016.1,False,41.1,115,2.0
20,0 days 00:20:53.853000,32.0,30.5,1016.1,False,41.1,115,2.0
21,0 days 00:21:53.863000,32.0,30.5,1016.1,False,41.1,124,2.0
22,0 days 00:22:53.875000,32.0,29.7,1016.0,False,40.7,124,2.4
23,0 days 00:23:53.893000,32.0,30.3,1016.0,False,40.3,128,2.4
24,0 days 00:24:53.898000,31.8,30.1,1016.0,False,40.1,150,2.4
25,0 days 00:25:53.914000,31.8,30.1,1016.0,False,40.1,150,2.4
26,0 days 00:26:53.920000,31.6,29.9,1016.0,False,39.8,147,1.6
27,0 days 00:27:53.930000,31.5,30.3,1016.0,False,39.8,136,1.6
28,0 days 00:28:53.939000,31.6,29.8,1016.0,False,39.4,44,1.0
29,0 days 00:29:53.950000,31.7,30.2,1016.0,False,39.4,38,1.4
30,0 days 00:30:53.960000,31.7,29.8,1016.0,False,39.3,113,1.2
31,0 days 00:31:53.973000,31.8,29.8,1015.9,False,39.3,136,2.5
32,0 days 00:32:53.984000,31.8,29.8,1015.9,False,39.3,136,2.5
33,0 days 00:33:53.995000,31.9,29.3,1015.9,False,38.9,64,1.4
34,0 days 00:34:54.005000,31.9,29.7,1015.9,False,38.8,42,2.7
35,0 days 00:35:54.017000,31.9,29.7,1015.9,False,38.8,42,2.7
36,0 days 00:36:54.026000,32.0,30.0,1015.9,False,39.1,114,1.7
37,0 days 00:37:54.040000,32.1,30.3,1015.8,False,39.0,92,2.0
38,0 days 00:38:54.048000,32.1,30.3,1015.8,False,39.0,92,2.0
39,0 days 00:39:54.061000,32.1,29.9,1015.9,False,39.0,152,1.6
40,0 days 00:40:54.071000,32.1,29.8,1015.7,False,39.1,156,2.5
41,0 days 00:41:54.082000,32.1,29.9,1015.8,False,39.1,137,2.9
42,0 days 00:42:54.094000,32.0,29.8,1015.8,False,39.0,141,2.9
43,0 days 00:43:54.111000,31.9,29.8,1015.9,False,38.9,143,2.8
44,0 days 00:44:54.127000,31.9,30.1,1015.8,False,38.8,150,2.6
