,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:33:22.133000,28.9,27.7,1015.3,False,43.0,210,0.7
1,0 days 00:34:22.325000,29.1,26.8,1015.3,False,43.0,327,0.8
2,0 days 00:35:22.010000,29.3,26.7,1015.3,False,42.8,129,0.4
3,0 days 00:36:22.024000,29.3,26.1,1015.3,False,42.8,314,1.2
4,0 days 00:37:22.035000,29.9,25.8,1015.3,False,43.1,0,0.6
5,0 days 00:38:22.224000,29.9,25.8,1015.3,False,43.1,0,0.6
6,0 days 00:39:22.311000,30.0,25.5,1015.3,False,43.0,0,0.6
7,0 days 00:40:22.447000,30.2,24.9,1015.2,False,42.7,71,0.9
8,0 days 00:41:22.089000,30.1,24.7,1015.3,False,42.7,298,0.5
9,0 days 00:42:22.103000,30.1,24.9,1015.3,False,42.7,331,0.6
10,0 days 00:43:22.114000,29.9,25.2,1015.2,False,42.8,317,1.4
11,0 days 00:44:22.129000,29.9,25.2,1015.2,False,42.8,317,1.4
12,0 days 00:45:22.143000,29.7,25.3,1015.2,False,42.6,328,1.1
13,0 days 00:46:22.157000,29.5,25.5,1015.2,False,42.5,180,0.9
14,0 days 00:47:22.171000,29.5,25.5,1015.2,False,42.5,180,0.9
15,0 days 00:48:22.182000,29.5,26.0,1015.3,False,42.3,333,0.4
16,0 days 00:49:22.197000,29.8,25.2,1015.2,False,42.3,333,1.3
17,0 days 00:50:22.212000,29.3,26.0,1015.3,False,42.4,310,1.9
18,0 days 00:51:22.226000,29.3,25.1,1015.2,False,41.6,170,1.7
19,0 days 00:52:22.237000,29.3,25.1,1015.2,False,41.6,170,1.7
20,0 days 00:53:22.252000,29.2,26.0,1015.0,False,41.6,180,0.5
21,0 days 00:54:22.266000,29.6,25.4,1015.1,False,41.7,321,0.6
22,0 days 00:55:22.293000,29.6,25.6,1015.2,False,41.7,303,1.3
23,0 days 00:56:22.294000,29.6,25.9,1015.1,False,41.6,301,1.7
24,0 days 00:57:22.306000,29.6,25.9,1015.1,False,41.6,301,1.7
25,0 days 00:58:22.319000,29.2,25.9,1015.2,False,41.3,302,1.7
26,0 days 00:59:22.335000,29.1,25.9,1015.2,False,41.3,288,1.3
27,0 days 01:00:22.350000,29.1,26.2,1015.1,False,41.5,339,1.8
28,0 days 01:01:22.596000,29.1,26.7,1015.1,False,42.5,0,1.8
29,0 days 01:02:22.685000,29.2,26.9,1015.1,False,42.5,260,0.6
30,0 days 01:03:22.393000,29.4,26.4,1015.1,False,42.5,333,1.4
31,0 days 01:04:22.405000,29.4,26.4,1015.1,False,42.5,333,1.4
32,0 days 01:05:22.666000,29.3,26.3,1015.1,False,42.4,350,1.1
33,0 days 01:06:22.585000,29.2,26.4,1015.1,False,42.4,331,0.9
34,0 days 01:07:22.525000,29.2,26.6,1015.1,False,42.3,187,1.3
35,0 days 01:08:22.956000,29.4,25.9,1015.2,False,42.3,214,1.0
36,0 days 01:09:22.478000,29.7,25.3,1015.2,False,42.1,188,1.0
37,0 days 01:10:22.491000,29.7,25.3,1015.2,False,42.1,188,1.0
38,0 days 01:11:22.508000,29.9,24.8,1015.0,False,42.1,226,0.0
39,0 days 01:12:22.522000,30.2,24.3,1015.3,False,41.9,179,0.7
40,0 days 01:13:22.533000,30.2,24.3,1015.3,False,41.9,179,0.7
41,0 days 01:14:22.641000,30.4,23.7,1015.2,False,41.8,178,1.0
42,0 days 01:15:22.562000,30.4,23.7,1015.2,False,41.8,178,1.0
43,0 days 01:16:22.576000,30.3,23.8,1015.3,False,41.9,334,0.5
44,0 days 01:17:22.614000,30.2,24.1,1015.1,False,41.8,266,0.9
45,0 days 01:18:22.604000,30.2,24.1,1015.1,False,41.8,266,0.9
46,0 days 01:19:22.618000,30.1,24.5,1015.2,False,41.4,333,1.5
47,0 days 01:20:22.633000,29.4,25.2,1015.2,False,41.1,184,0.9
48,0 days 01:21:22.648000,29.4,25.2,1015.2,False,41.1,184,0.9
49,0 days 01:22:22.661000,29.6,24.9,1015.2,False,41.1,0,0.4
50,0 days 01:23:22.675000,29.6,24.9,1015.2,False,41.1,0,0.4
51,0 days 01:24:22.691000,30.0,24.8,1015.2,False,41.1,130,0.0
52,0 days 01:25:22.708000,30.0,24.8,1015.2,False,41.1,130,0.0
53,0 days 01:26:22.718000,30.2,24.4,1015.1,False,41.1,212,0.4
54,0 days 01:27:23.031000,30.2,23.7,1015.1,False,41.0,138,1.1
55,0 days 01:28:22.749000,30.3,23.9,1015.0,False,40.8,326,0.3
56,0 days 01:29:22.761000,30.3,23.9,1015.0,False,40.8,326,0.3
57,0 days 01:30:22.817000,29.9,24.0,1015.1,False,40.5,172,1.0
58,0 days 01:31:22.788000,29.9,24.0,1015.1,False,40.5,172,1.0
59,0 days 01:32:22.803000,30.0,24.0,1015.1,False,40.5,99,0.9
60,0 days 01:33:22.940000,30.0,24.4,1015.1,False,40.5,352,0.7
61,0 days 01:34:22.934000,30.0,24.4,1015.1,False,40.5,352,0.7
62,0 days 01:35:23.260000,30.2,24.3,1015.1,False,40.3,210,1.1
63,0 days 01:36:23.328000,30.2,24.3,1015.1,False,40.3,210,1.1
64,0 days 01:37:23.488000,30.1,24.6,1015.0,False,40.3,214,0.3
65,0 days 01:38:23.005000,30.0,24.3,1015.0,False,39.8,208,1.1
66,0 days 01:39:23.168000,30.0,24.3,1015.0,False,39.8,208,1.1
67,0 days 01:40:22.915000,30.0,24.4,1015.0,False,39.8,199,0.4
