,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:06:20.962000,VAN,2,,1.0,,0 days 00:04:03.937000,0 days 00:06:19.603000,,55.361,36.835,,0 days 00:05:44.205000,0 days 00:06:20.962000,137.0,166.0,,278.0,False,nan,,True,McLaren,0 days 00:04:03.937000,2018-04-27 09:00:04.081,,,False,,False,False,,
1,0 days 00:28:45.809000,VAN,2,,2.0,1.0,0 days 00:26:44.083000,0 days 00:28:45.771000,,49.48,32.939,,0 days 00:28:12.870000,0 days 00:28:45.835000,178.0,204.0,,287.0,False,ULTRASOFT,2.0,False,McLaren,0 days 00:06:20.962000,2018-04-27 09:02:21.106,12,,False,,False,False,,
2,0 days 00:34:39.004000,VAN,2,,3.0,2.0,0 days 00:32:20.992000,,,54.205,27.661,,0 days 00:34:11.343000,0 days 00:34:39.096000,183.0,128.0,296.0,288.0,False,ULTRASOFT,3.0,False,McLaren,0 days 00:28:45.809000,2018-04-27 09:24:45.953,1,,False,,False,False,,
3,0 days 00:36:31.509000,VAN,2,0 days 00:01:52.505000,4.0,2.0,,,41.09,45.018,26.397,0 days 00:35:20.094000,0 days 00:36:05.112000,0 days 00:36:31.509000,186.0,218.0,296.0,301.0,True,ULTRASOFT,4.0,False,McLaren,0 days 00:34:39.004000,2018-04-27 09:30:39.148,1,,False,,False,True,112.505,112.505
4,0 days 00:38:48.209000,VAN,2,0 days 00:02:16.700000,5.0,2.0,,,41.163,57.67,37.867,0 days 00:37:12.672000,0 days 00:38:10.342000,0 days 00:38:48.209000,122.0,173.0,150.0,194.0,False,ULTRASOFT,5.0,False,McLaren,0 days 00:36:31.509000,2018-04-27 09:32:31.653,126,,False,,False,False,136.7,136.7
5,0 days 00:41:20.053000,VAN,2,,6.0,2.0,,0 days 00:41:18.737000,52.94,57.452,41.428,0 days 00:39:41.664000,0 days 00:40:38.625000,0 days 00:41:20.101000,100.0,151.0,,178.0,False,ULTRASOFT,6.0,False,McLaren,0 days 00:38:48.209000,2018-04-27 09:34:48.353,6,,False,,False,False,,151.82
6,0 days 00:48:54.457000,VAN,2,,7.0,3.0,0 days 00:46:46.546000,,,48.646,27.683,,0 days 00:48:26.913000,0 days 00:48:54.542000,175.0,161.0,300.0,281.0,False,ULTRASOFT,1.0,True,McLaren,0 days 00:41:20.053000,2018-04-27 09:37:20.197,671,,False,,False,False,,
7,0 days 00:50:44.002000,VAN,2,0 days 00:01:49.545000,8.0,3.0,,,38.686,44.392,26.467,0 days 00:49:33.143000,0 days 00:50:17.535000,0 days 00:50:44.002000,202.0,216.0,300.0,297.0,True,ULTRASOFT,2.0,True,McLaren,0 days 00:48:54.457000,2018-04-27 09:44:54.601,1,,False,,False,True,109.545,109.545
8,0 days 00:52:44.319000,VAN,2,0 days 00:02:00.317000,9.0,3.0,,,43.686,49.247,27.384,0 days 00:51:27.688000,0 days 00:52:16.935000,0 days 00:52:44.319000,165.0,159.0,311.0,282.0,False,ULTRASOFT,3.0,True,McLaren,0 days 00:50:44.002000,2018-04-27 09:46:44.146,1,,False,,False,True,120.317,120.317
9,0 days 00:54:41.627000,VAN,2,0 days 00:01:57.308000,10.0,3.0,,,38.217,51.323,27.768,0 days 00:53:22.536000,0 days 00:54:13.859000,0 days 00:54:41.627000,190.0,152.0,312.0,284.0,False,ULTRASOFT,4.0,True,McLaren,0 days 00:52:44.319000,2018-04-27 09:48:44.463,1,,False,,False,True,117.308,117.30799999999999
