,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:10:21.922000,GAS,10,0 days 00:02:39.485000,1.0,,,,,69.073,40.816,,0 days 00:09:41.254000,0 days 00:10:22.026000,180.0,91.0,161.0,178.0,False,nan,,True,Toro Rosso,0 days 00:07:42.253000,2018-04-29 12:13:42.330,24,11.0,False,,False,False,159.485,
1,0 days 00:13:28.566000,GAS,10,,2.0,1.0,,,75.053,63.111,48.541,0 days 00:11:37.067000,0 days 00:12:40.129000,0 days 00:13:28.783000,116.0,91.0,165.0,123.0,False,ULTRASOFT,1.0,True,Toro Rosso,0 days 00:10:21.922000,2018-04-29 12:16:21.999,4,10.0,False,,False,False,,186.70499999999998
2,0 days 00:16:04.984000,GAS,10,,3.0,1.0,,,56.278,63.176,36.927,0 days 00:14:25.128000,0 days 00:15:28.161000,0 days 00:16:05.215000,132.0,124.0,244.0,203.0,False,ULTRASOFT,2.0,True,Toro Rosso,0 days 00:13:28.566000,2018-04-29 12:19:28.643,4,9.0,False,,False,False,,156.381
3,0 days 00:18:37.267000,GAS,10,,4.0,1.0,,,53.566,62.737,35.98,0 days 00:16:58.814000,0 days 00:18:01.391000,0 days 00:18:37.467000,111.0,144.0,258.0,215.0,False,ULTRASOFT,3.0,True,Toro Rosso,0 days 00:16:04.984000,2018-04-29 12:22:05.061,4,9.0,False,,False,False,,152.283
4,0 days 00:21:32.590000,GAS,10,,5.0,1.0,,,52.571,63.382,59.431,0 days 00:19:29.998000,0 days 00:20:33.340000,0 days 00:21:33.266000,101.0,107.0,288.0,92.0,False,ULTRASOFT,4.0,True,Toro Rosso,0 days 00:18:37.267000,2018-04-29 12:24:37.344,41,9.0,False,,False,False,,175.38400000000001
5,0 days 00:23:30.219000,GAS,10,0 days 00:01:57.629000,6.0,1.0,,,43.117,47.916,26.596,0 days 00:22:15.811000,0 days 00:23:03.727000,0 days 00:23:30.323000,165.0,193.0,311.0,306.0,True,ULTRASOFT,5.0,True,Toro Rosso,0 days 00:21:32.590000,2018-04-29 12:27:32.667,1,7.0,False,,False,True,117.629,117.62899999999999
6,0 days 00:25:23.293000,GAS,10,0 days 00:01:53.074000,7.0,1.0,,,40.37,46.015,26.689,0 days 00:24:10.693000,0 days 00:24:56.708000,0 days 00:25:23.397000,187.0,198.0,315.0,301.0,True,ULTRASOFT,6.0,True,Toro Rosso,0 days 00:23:30.219000,2018-04-29 12:29:30.296,1,8.0,False,,False,True,113.074,113.07399999999998
7,0 days 00:27:15.621000,GAS,10,0 days 00:01:52.328000,8.0,1.0,,,40.317,45.295,26.716,0 days 00:26:03.714000,0 days 00:26:49.009000,0 days 00:27:15.725000,179.0,202.0,318.0,299.0,True,ULTRASOFT,7.0,True,Toro Rosso,0 days 00:25:23.293000,2018-04-29 12:31:23.370,1,10.0,False,,False,True,112.328,112.328
8,0 days 00:29:08.746000,GAS,10,0 days 00:01:53.125000,9.0,1.0,,,41.033,45.174,26.918,0 days 00:27:56.758000,0 days 00:28:41.932000,0 days 00:29:08.850000,187.0,204.0,305.0,294.0,False,ULTRASOFT,8.0,True,Toro Rosso,0 days 00:27:15.621000,2018-04-29 12:33:15.698,1,12.0,False,,False,True,113.125,113.125
9,0 days 00:31:01.288000,GAS,10,0 days 00:01:52.542000,10.0,1.0,,,39.852,45.54,27.15,0 days 00:29:48.702000,0 days 00:30:34.242000,0 days 00:31:01.392000,188.0,203.0,286.0,300.0,False,ULTRASOFT,9.0,True,Toro Rosso,0 days 00:29:08.746000,2018-04-29 12:35:08.823,12,13.0,False,,False,True,112.542,112.542
