,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:55.761000,24.0,58.3,926.0,False,34.3,12,2.4
1,0 days 00:01:55.769000,24.0,58.3,926.0,False,34.3,12,2.4
2,0 days 00:02:55.783000,23.8,59.4,926.1,False,33.4,9,2.5
3,0 days 00:03:55.800000,23.8,59.4,926.1,False,33.4,9,2.5
4,0 days 00:04:55.814000,23.9,59.4,926.0,False,33.6,351,1.9
5,0 days 00:05:55.828000,23.9,59.4,926.0,False,33.5,14,2.4
6,0 days 00:06:55.842000,24.0,59.2,926.0,False,33.5,7,2.2
7,0 days 00:07:55.856000,24.0,59.0,926.0,False,33.5,13,2.6
8,0 days 00:08:55.870000,23.8,58.9,926.0,False,33.3,69,2.0
9,0 days 00:09:55.884000,23.9,59.1,925.9,False,33.1,3,1.6
10,0 days 00:10:55.899000,24.0,59.0,925.9,False,32.9,62,1.4
11,0 days 00:11:56.038000,24.0,59.2,926.0,False,33.0,338,1.2
12,0 days 00:12:55.928000,24.1,59.1,925.9,False,33.0,1,1.8
13,0 days 00:13:55.942000,23.9,59.5,925.8,False,33.0,357,3.7
14,0 days 00:14:55.961000,23.6,60.1,925.9,False,32.4,16,3.2
15,0 days 00:15:55.971000,23.5,60.4,925.8,False,32.3,359,2.1
16,0 days 00:16:55.984000,23.7,60.2,925.8,False,32.3,4,2.7
17,0 days 00:17:56.002000,23.6,60.5,925.8,False,32.4,3,2.0
18,0 days 00:18:56.015000,23.6,60.9,925.8,False,32.4,11,2.5
19,0 days 00:19:56.029000,23.7,60.3,925.7,False,32.6,347,2.4
20,0 days 00:20:56.044000,23.9,60.0,925.8,False,33.0,58,0.8
21,0 days 00:21:56.060000,23.9,60.2,925.7,False,33.5,1,2.4
22,0 days 00:22:56.073000,24.0,59.3,925.7,False,33.5,5,1.8
23,0 days 00:23:56.087000,24.0,59.4,925.7,False,33.8,13,2.1
24,0 days 00:24:56.102000,24.0,59.7,925.8,False,33.9,4,2.4
25,0 days 00:25:56.116000,23.8,59.4,925.8,False,33.9,9,2.2
26,0 days 00:26:56.130000,23.8,60.3,925.8,False,33.7,358,2.8
27,0 days 00:27:56.144000,23.7,60.3,925.7,False,33.7,340,1.6
28,0 days 00:28:56.160000,23.9,60.4,925.7,False,33.9,27,2.2
29,0 days 00:29:56.175000,24.0,59.1,925.6,False,34.1,11,1.7
30,0 days 00:30:56.189000,24.2,59.5,925.7,False,34.2,2,2.2
31,0 days 00:31:56.204000,24.1,59.5,925.6,False,34.5,22,2.4
32,0 days 00:32:56.217000,24.0,59.2,925.6,False,34.5,11,1.9
33,0 days 00:33:56.235000,24.1,59.4,925.6,False,35.1,2,2.5
34,0 days 00:34:56.247000,24.1,59.5,925.6,False,35.5,5,2.0
35,0 days 00:35:56.262000,24.7,57.7,925.6,False,36.2,10,2.0
36,0 days 00:36:56.276000,24.7,57.4,925.6,False,36.2,351,2.4
37,0 days 00:37:56.290000,24.3,58.1,925.6,False,35.5,358,2.6
38,0 days 00:38:56.306000,24.4,58.4,925.5,False,35.2,13,1.8
39,0 days 00:39:56.399000,24.6,57.6,925.5,False,36.1,345,2.5
40,0 days 00:40:56.339000,24.5,58.1,925.5,False,36.3,15,1.9
41,0 days 00:41:56.348000,24.7,58.2,925.6,False,36.3,12,1.7
42,0 days 00:42:56.363000,24.9,57.2,925.5,False,36.6,4,1.5
43,0 days 00:43:56.377000,24.5,58.0,925.5,False,36.5,30,1.4
44,0 days 00:44:56.392000,24.7,57.9,925.5,False,36.4,15,0.8
45,0 days 00:45:56.406000,24.8,57.6,925.5,False,36.8,25,1.2
46,0 days 00:46:56.423000,24.7,58.0,925.5,False,38.7,10,1.8
47,0 days 00:47:56.436000,24.8,57.8,925.5,False,38.9,10,0.5
48,0 days 00:48:56.450000,25.1,56.5,925.4,False,39.5,6,1.3
49,0 days 00:49:56.465000,24.9,56.9,925.4,False,39.4,9,0.6
50,0 days 00:50:56.479000,25.3,55.7,925.4,False,38.8,22,1.6
51,0 days 00:51:56.493000,25.1,56.3,925.4,False,38.4,15,0.9
52,0 days 00:52:56.509000,24.8,56.8,925.4,False,37.4,27,1.9
53,0 days 00:53:56.523000,24.5,58.2,925.3,False,37.0,0,1.3
54,0 days 00:54:56.537000,24.5,58.2,925.3,False,37.0,0,1.3
55,0 days 00:55:56.551000,24.9,57.5,925.4,False,37.7,92,1.0
56,0 days 00:56:56.579000,25.1,56.0,925.4,False,37.7,34,1.0
57,0 days 00:57:56.579000,24.6,57.2,925.4,False,36.6,59,1.2
58,0 days 00:58:56.596000,24.6,58.1,925.3,False,36.4,23,1.5
59,0 days 00:59:56.609000,24.6,57.7,925.3,False,36.2,27,1.5
60,0 days 01:00:56.624000,24.8,57.1,925.3,False,36.5,32,1.3
61,0 days 01:01:56.637000,24.4,58.2,925.3,False,36.2,347,1.4
62,0 days 01:02:56.652000,24.7,57.8,925.3,False,36.4,280,0.7
63,0 days 01:03:56.668000,25.0,56.8,925.3,False,36.6,347,0.4
64,0 days 01:04:56.682000,25.1,56.7,925.2,False,36.9,54,0.7
65,0 days 01:05:56.705000,25.1,56.5,925.2,False,36.9,10,1.4
66,0 days 01:06:56.711000,24.8,56.8,925.2,False,36.7,9,0.8
67,0 days 01:07:56.762000,24.8,57.1,925.3,False,35.7,54,0.5
68,0 days 01:08:56.738000,24.9,57.3,925.3,False,35.7,2,0.8
69,0 days 01:09:56.754000,25.1,56.3,925.3,False,36.0,71,0.9
70,0 days 01:10:56.767000,25.1,56.3,925.3,False,36.0,71,0.9
71,0 days 01:11:56.784000,25.0,56.5,925.2,False,35.4,340,0.3
72,0 days 01:12:56.799000,25.0,56.5,925.3,False,35.4,155,0.9
73,0 days 01:13:56.813000,25.0,56.8,925.2,False,35.4,127,0.4
74,0 days 01:14:56.825000,25.1,56.1,925.2,False,35.6,0,1.0
75,0 days 01:15:56.841000,25.2,55.7,925.2,False,35.4,302,0.8
76,0 days 01:16:56.856000,25.3,55.8,925.2,False,35.4,317,0.7
