,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:09:03.852000,GAS,10,0 days 00:01:46.132000,1.0,,,,,42.041,27.412,,0 days 00:08:36.470000,0 days 00:09:03.938000,287.0,246.0,236.0,292.0,False,nan,,True,Toro Rosso,0 days 00:07:17.544000,2018-07-08 13:13:17.555,21,12.0,False,,False,False,106.132,
1,0 days 00:10:41.008000,GAS,10,0 days 00:01:37.156000,2.0,1.0,,,30.678,39.77,26.708,0 days 00:09:34.530000,0 days 00:10:14.300000,0 days 00:10:41.008000,286.0,248.0,242.0,293.0,True,SOFT,1.0,True,Toro Rosso,0 days 00:09:03.852000,2018-07-08 13:15:03.863,12,12.0,False,,False,True,97.156,97.156
2,0 days 00:12:17.060000,GAS,10,0 days 00:01:36.052000,3.0,1.0,,,30.272,39.437,26.343,0 days 00:11:11.280000,0 days 00:11:50.717000,0 days 00:12:17.060000,300.0,249.0,243.0,298.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:10:41.008000,2018-07-08 13:16:41.019,12,12.0,False,,False,True,96.052,96.052
3,0 days 00:13:53.169000,GAS,10,0 days 00:01:36.109000,4.0,1.0,,,30.484,39.121,26.504,0 days 00:12:47.544000,0 days 00:13:26.665000,0 days 00:13:53.169000,284.0,248.0,242.0,297.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:12:17.060000,2018-07-08 13:18:17.071,1,12.0,False,,False,True,96.109,96.10900000000001
4,0 days 00:15:30.144000,GAS,10,0 days 00:01:36.975000,5.0,1.0,,,30.887,39.663,26.425,0 days 00:14:24.056000,0 days 00:15:03.719000,0 days 00:15:30.144000,310.0,247.0,242.0,314.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:13:53.169000,2018-07-08 13:19:53.180,1,13.0,False,,False,True,96.975,96.975
5,0 days 00:17:06.262000,GAS,10,0 days 00:01:36.118000,6.0,1.0,,,30.438,39.386,26.294,0 days 00:16:00.582000,0 days 00:16:39.968000,0 days 00:17:06.262000,300.0,250.0,242.0,313.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:15:30.144000,2018-07-08 13:21:30.155,1,13.0,False,,False,True,96.118,96.118
6,0 days 00:18:42.494000,GAS,10,0 days 00:01:36.232000,7.0,1.0,,,30.478,39.299,26.455,0 days 00:17:36.740000,0 days 00:18:16.039000,0 days 00:18:42.494000,299.0,248.0,241.0,297.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:17:06.262000,2018-07-08 13:23:06.273,1,13.0,False,,False,True,96.232,96.232
7,0 days 00:20:18.473000,GAS,10,0 days 00:01:35.979000,8.0,1.0,,,30.544,39.151,26.284,0 days 00:19:13.038000,0 days 00:19:52.189000,0 days 00:20:18.473000,286.0,246.0,242.0,295.0,True,SOFT,7.0,True,Toro Rosso,0 days 00:18:42.494000,2018-07-08 13:24:42.505,1,13.0,False,,False,True,95.979,95.97900000000001
8,0 days 00:21:54.465000,GAS,10,0 days 00:01:35.992000,9.0,1.0,,,30.473,39.316,26.203,0 days 00:20:48.946000,0 days 00:21:28.262000,0 days 00:21:54.465000,287.0,246.0,242.0,297.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:20:18.473000,2018-07-08 13:26:18.484,1,13.0,False,,False,True,95.992,95.992
9,0 days 00:23:30.610000,GAS,10,0 days 00:01:36.145000,10.0,1.0,,,30.562,39.331,26.252,0 days 00:22:25.027000,0 days 00:23:04.358000,0 days 00:23:30.610000,282.0,246.0,243.0,292.0,False,SOFT,9.0,True,Toro Rosso,0 days 00:21:54.465000,2018-07-08 13:27:54.476,1,13.0,False,,False,True,96.145,96.145
10,0 days 00:25:06.265000,GAS,10,0 days 00:01:35.655000,11.0,1.0,,,30.403,39.217,26.035,0 days 00:24:01.013000,0 days 00:24:40.230000,0 days 00:25:06.265000,283.0,250.0,241.0,298.0,True,SOFT,10.0,True,Toro Rosso,0 days 00:23:30.610000,2018-07-08 13:29:30.621,1,13.0,False,,False,True,95.655,95.655
11,0 days 00:26:42.073000,GAS,10,0 days 00:01:35.808000,12.0,1.0,,,30.625,39.061,26.122,0 days 00:25:36.890000,0 days 00:26:15.951000,0 days 00:26:42.073000,281.0,248.0,241.0,303.0,False,SOFT,11.0,True,Toro Rosso,0 days 00:25:06.265000,2018-07-08 13:31:06.276,1,13.0,False,,False,True,95.808,95.808
12,0 days 00:28:18.226000,GAS,10,0 days 00:01:36.153000,13.0,1.0,,,30.58,39.406,26.167,0 days 00:27:12.653000,0 days 00:27:52.059000,0 days 00:28:18.226000,281.0,249.0,241.0,298.0,False,SOFT,12.0,True,Toro Rosso,0 days 00:26:42.073000,2018-07-08 13:32:42.084,1,13.0,False,,False,True,96.153,96.15299999999999
13,0 days 00:29:53.916000,GAS,10,0 days 00:01:35.690000,14.0,1.0,,,30.566,39.155,25.969,0 days 00:28:48.792000,0 days 00:29:27.947000,0 days 00:29:53.916000,280.0,250.0,242.0,301.0,False,SOFT,13.0,True,Toro Rosso,0 days 00:28:18.226000,2018-07-08 13:34:18.237,1,12.0,False,,False,True,95.69,95.69
14,0 days 00:31:29.551000,GAS,10,0 days 00:01:35.635000,15.0,1.0,,,30.623,38.979,26.033,0 days 00:30:24.539000,0 days 00:31:03.518000,0 days 00:31:29.551000,282.0,250.0,242.0,303.0,True,SOFT,14.0,True,Toro Rosso,0 days 00:29:53.916000,2018-07-08 13:35:53.927,1,12.0,False,,False,True,95.635,95.635
