,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:33.210000,21.2,28.6,1019.2,False,44.2,161,2.4
1,0 days 00:01:33.225000,21.4,28.0,1019.3,False,44.3,178,2.2
2,0 days 00:02:33.237000,21.5,28.8,1019.3,False,44.3,173,2.3
3,0 days 00:03:33.253000,21.6,28.2,1019.1,False,44.4,175,2.1
4,0 days 00:04:33.352000,21.7,28.9,1019.1,False,44.4,172,1.8
5,0 days 00:05:33.279000,21.6,27.8,1019.1,False,43.9,185,1.6
6,0 days 00:06:33.295000,21.6,27.3,1019.2,False,43.9,180,1.7
7,0 days 00:07:33.308000,21.6,28.4,1019.2,False,43.9,183,1.9
8,0 days 00:08:33.323000,21.8,27.6,1019.2,False,43.9,174,2.3
9,0 days 00:09:33.336000,21.6,28.4,1019.1,False,44.0,170,2.9
10,0 days 00:10:33.350000,21.5,29.0,1019.1,False,43.9,202,1.8
11,0 days 00:11:33.401000,21.4,28.8,1019.1,False,43.8,160,0.9
12,0 days 00:12:33.379000,21.4,29.2,1019.1,False,43.6,200,2.2
13,0 days 00:13:33.393000,21.2,30.9,1019.2,False,43.4,341,1.5
14,0 days 00:14:33.406000,21.2,30.9,1019.2,False,43.4,341,1.5
15,0 days 00:15:33.420000,21.4,30.5,1019.2,False,42.8,347,2.0
16,0 days 00:16:33.435000,21.8,28.7,1019.1,False,42.5,211,1.7
17,0 days 00:17:33.448000,22.1,29.0,1019.1,False,42.3,140,1.5
18,0 days 00:18:33.462000,22.1,29.0,1019.1,False,42.3,140,1.5
19,0 days 00:19:33.485000,22.6,27.0,1019.1,False,42.7,7,1.2
20,0 days 00:20:33.494000,22.8,27.3,1019.1,False,42.4,350,2.8
21,0 days 00:21:33.506000,22.8,27.3,1019.1,False,42.4,350,2.8
22,0 days 00:22:33.520000,22.7,26.0,1019.1,False,42.0,5,1.7
23,0 days 00:23:33.534000,22.4,25.9,1019.0,False,42.0,57,2.2
