,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:58.642000,12.8,82.4,1013.6,False,14.9,153,2.4
1,0 days 00:01:58.658000,12.8,82.5,1013.5,False,14.8,159,2.4
2,0 days 00:02:58.670000,12.7,82.7,1013.6,False,14.8,144,2.0
3,0 days 00:03:58.682000,12.7,83.0,1013.5,False,14.9,121,1.5
4,0 days 00:04:58.696000,12.7,83.2,1013.7,False,14.9,26,0.9
5,0 days 00:05:58.711000,12.8,82.9,1013.6,False,14.9,121,1.4
6,0 days 00:06:58.723000,12.8,82.0,1013.5,False,14.9,107,1.6
7,0 days 00:07:58.736000,12.7,82.1,1013.7,False,14.9,89,2.4
8,0 days 00:08:58.749000,12.6,82.4,1013.7,False,14.9,107,3.4
9,0 days 00:09:58.765000,12.5,82.5,1013.8,False,14.9,136,2.0
10,0 days 00:10:58.779000,12.5,82.4,1013.6,False,14.9,136,3.8
11,0 days 00:11:58.892000,12.5,82.4,1013.7,False,14.9,103,2.7
12,0 days 00:12:58.856000,12.6,82.3,1013.6,False,14.9,128,2.9
13,0 days 00:13:59.044000,12.6,82.2,1013.5,False,14.9,80,3.0
14,0 days 00:14:58.833000,12.6,81.8,1013.5,False,14.9,90,2.9
15,0 days 00:15:58.845000,12.6,82.1,1013.6,False,15.0,48,2.5
16,0 days 00:16:58.858000,12.6,81.9,1013.6,False,15.0,21,2.4
17,0 days 00:17:58.874000,12.7,81.7,1013.6,False,15.1,109,2.2
18,0 days 00:18:58.884000,12.6,81.5,1013.5,False,15.1,138,2.5
19,0 days 00:19:58.901000,12.6,81.9,1013.6,False,15.1,64,2.0
20,0 days 00:20:58.912000,12.6,81.8,1013.5,False,15.1,204,1.7
21,0 days 00:21:58.925000,12.6,82.1,1013.6,False,15.1,205,2.2
22,0 days 00:22:58.942000,12.6,81.9,1013.5,False,15.1,195,3.1
23,0 days 00:23:58.954000,12.6,82.2,1013.7,False,15.1,201,3.8
24,0 days 00:24:58.968000,12.6,81.8,1013.6,False,15.1,152,2.5
25,0 days 00:25:59.071000,12.5,81.7,1013.5,False,15.1,170,2.7
26,0 days 00:26:58.997000,12.6,82.1,1013.6,False,15.2,130,1.9
27,0 days 00:27:59.007000,12.6,81.4,1013.5,False,15.3,169,1.9
28,0 days 00:28:59.021000,12.7,81.4,1013.6,False,15.3,180,1.6
29,0 days 00:29:59.035000,12.7,80.9,1013.5,False,15.4,174,3.1
30,0 days 00:30:59.050000,12.7,81.0,1013.4,False,15.4,144,2.0
31,0 days 00:31:59.062000,12.7,80.6,1013.5,False,15.5,204,2.3
32,0 days 00:32:59.076000,12.7,80.6,1013.5,False,15.5,156,1.6
33,0 days 00:33:59.091000,12.8,80.2,1013.5,False,15.5,126,2.1
34,0 days 00:34:59.102000,12.8,80.2,1013.6,False,15.5,147,1.6
35,0 days 00:35:59.117000,12.8,79.8,1013.5,False,15.5,227,2.3
36,0 days 00:36:59.131000,12.8,80.2,1013.5,False,15.5,172,3.4
37,0 days 00:37:59.145000,12.8,80.4,1013.6,False,15.3,146,2.6
38,0 days 00:38:59.158000,12.8,80.5,1013.6,False,15.3,96,2.4
39,0 days 00:39:59.249000,12.8,80.8,1013.6,False,15.2,154,1.7
40,0 days 00:40:59.441000,12.9,80.3,1013.6,False,15.3,151,1.2
41,0 days 00:41:59.460000,12.9,80.3,1013.6,False,15.3,185,1.7
42,0 days 00:42:59.212000,12.8,80.7,1013.5,False,15.2,161,2.3
43,0 days 00:43:59.224000,12.7,81.3,1013.6,False,15.1,167,2.9
44,0 days 00:44:59.239000,12.5,81.9,1013.8,False,15.0,92,2.5
45,0 days 00:45:59.251000,12.5,82.1,1013.7,False,15.1,126,2.2
46,0 days 00:46:59.266000,12.4,82.4,1013.6,False,15.1,137,2.7
47,0 days 00:47:59.280000,12.3,82.4,1013.8,False,15.1,78,1.9
48,0 days 00:48:59.296000,12.3,82.7,1013.8,False,15.1,113,3.2
49,0 days 00:49:59.307000,12.4,82.5,1013.7,False,15.1,91,3.2
50,0 days 00:50:59.364000,12.3,82.4,1013.8,False,15.1,9,3.1
51,0 days 00:51:59.551000,12.5,82.2,1013.9,False,15.2,103,1.3
52,0 days 00:52:59.347000,12.6,81.7,1013.9,False,15.2,124,2.1
53,0 days 00:53:59.393000,12.5,81.8,1013.9,False,15.2,60,2.2
54,0 days 00:54:59.374000,12.5,81.4,1013.9,False,15.2,214,1.8
55,0 days 00:55:59.387000,12.4,81.5,1013.9,False,15.1,191,2.5
56,0 days 00:56:59.402000,12.3,81.7,1014.0,False,15.1,157,1.4
57,0 days 00:57:59.414000,12.3,81.9,1014.0,False,15.1,195,1.3
58,0 days 00:58:59.430000,12.3,81.5,1014.1,False,14.9,138,2.4
59,0 days 00:59:59.442000,12.3,81.5,1014.0,False,14.9,123,1.9
60,0 days 01:00:59.455000,12.3,81.2,1014.0,False,15.1,87,1.2
61,0 days 01:01:59.477000,12.3,80.9,1014.1,False,15.0,62,3.1
62,0 days 01:02:59.482000,12.4,80.9,1014.0,False,15.0,78,1.6
63,0 days 01:03:59.496000,12.5,80.6,1014.1,False,15.1,83,1.1
64,0 days 01:04:59.511000,12.5,80.4,1013.9,False,15.2,81,2.4
65,0 days 01:05:59.525000,12.4,80.3,1014.0,False,15.3,108,2.7
66,0 days 01:06:59.538000,12.5,80.1,1014.0,False,15.3,152,2.3
