,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:09:21.100000,RIC,3,0 days 00:01:44.974000,1.0,,,,,31.387,43.435,,0 days 00:08:38.223000,0 days 00:09:21.210000,269.0,261.0,250.0,322.0,False,nan,,True,Red Bull Racing,0 days 00:07:35.940000,2018-04-15 06:13:36.058,,6.0,False,,False,False,104.974,
1,0 days 00:11:01.580000,RIC,3,0 days 00:01:40.480000,2.0,1.0,,,26.789,30.247,43.444,0 days 00:09:47.911000,0 days 00:10:18.158000,0 days 00:11:01.602000,,263.0,252.0,312.0,True,ULTRASOFT,4.0,False,Red Bull Racing,0 days 00:09:21.100000,2018-04-15 06:15:21.218,,6.0,False,,False,False,100.48,100.48
2,0 days 00:12:41.639000,RIC,3,0 days 00:01:40.059000,3.0,1.0,,,26.645,30.241,43.173,0 days 00:11:28.247000,0 days 00:11:58.488000,0 days 00:12:41.661000,,263.0,251.0,311.0,True,ULTRASOFT,5.0,False,Red Bull Racing,0 days 00:11:01.580000,2018-04-15 06:17:01.698,,6.0,False,,False,False,100.059,100.059
3,0 days 00:14:21.724000,RIC,3,0 days 00:01:40.085000,4.0,1.0,,,26.764,30.243,43.078,0 days 00:13:08.425000,0 days 00:13:38.668000,0 days 00:14:21.746000,268.0,262.0,251.0,308.0,False,ULTRASOFT,6.0,False,Red Bull Racing,0 days 00:12:41.639000,2018-04-15 06:18:41.757,,6.0,False,,False,False,100.085,100.08500000000001
4,0 days 00:16:01.439000,RIC,3,0 days 00:01:39.715000,5.0,1.0,,,26.655,30.072,42.988,0 days 00:14:48.401000,0 days 00:15:18.473000,0 days 00:16:01.461000,,263.0,252.0,,True,ULTRASOFT,7.0,False,Red Bull Racing,0 days 00:14:21.724000,2018-04-15 06:20:21.842,,6.0,False,,False,False,99.715,99.715
5,0 days 00:17:40.664000,RIC,3,0 days 00:01:39.225000,6.0,1.0,,,26.595,29.895,42.735,0 days 00:16:28.056000,0 days 00:16:57.951000,0 days 00:17:40.686000,272.0,265.0,253.0,312.0,True,ULTRASOFT,8.0,False,Red Bull Racing,0 days 00:16:01.439000,2018-04-15 06:22:01.557,,6.0,False,,False,False,99.225,99.225
6,0 days 00:19:19.886000,RIC,3,0 days 00:01:39.222000,7.0,1.0,,,26.502,29.763,42.957,0 days 00:18:07.188000,0 days 00:18:36.951000,0 days 00:19:19.908000,274.0,265.0,254.0,313.0,True,ULTRASOFT,9.0,False,Red Bull Racing,0 days 00:17:40.664000,2018-04-15 06:23:40.782,,6.0,False,,False,False,99.222,99.22200000000001
7,0 days 00:20:59.097000,RIC,3,0 days 00:01:39.211000,8.0,1.0,,,26.507,29.74,42.964,0 days 00:19:46.415000,0 days 00:20:16.155000,0 days 00:20:59.119000,273.0,267.0,253.0,310.0,True,ULTRASOFT,10.0,False,Red Bull Racing,0 days 00:19:19.886000,2018-04-15 06:25:20.004,,6.0,False,,False,False,99.211,99.211
8,0 days 00:22:38.352000,RIC,3,0 days 00:01:39.255000,9.0,1.0,,,26.571,29.86,42.824,0 days 00:21:25.690000,0 days 00:21:55.550000,0 days 00:22:38.374000,270.0,266.0,253.0,308.0,False,ULTRASOFT,11.0,False,Red Bull Racing,0 days 00:20:59.097000,2018-04-15 06:26:59.215,,6.0,False,,False,False,99.255,99.255
9,0 days 00:24:17.518000,RIC,3,0 days 00:01:39.166000,10.0,1.0,,,26.49,29.935,42.741,0 days 00:23:04.864000,0 days 00:23:34.799000,0 days 00:24:17.540000,273.0,265.0,254.0,312.0,True,ULTRASOFT,12.0,False,Red Bull Racing,0 days 00:22:38.352000,2018-04-15 06:28:38.470,,6.0,False,,False,False,99.166,99.166
10,0 days 00:25:56.882000,RIC,3,0 days 00:01:39.364000,11.0,1.0,,,26.56,29.862,42.942,0 days 00:24:44.100000,0 days 00:25:13.962000,0 days 00:25:56.904000,272.0,264.0,253.0,309.0,False,ULTRASOFT,13.0,False,Red Bull Racing,0 days 00:24:17.518000,2018-04-15 06:30:17.636,,6.0,False,,False,False,99.364,99.364
11,0 days 00:27:36.157000,RIC,3,0 days 00:01:39.275000,12.0,1.0,,,26.63,29.822,42.823,0 days 00:26:23.534000,0 days 00:26:53.356000,0 days 00:27:36.179000,274.0,267.0,253.0,314.0,False,ULTRASOFT,14.0,False,Red Bull Racing,0 days 00:25:56.882000,2018-04-15 06:31:57.000,,6.0,False,,False,False,99.275,99.275
12,0 days 00:29:15.714000,RIC,3,0 days 00:01:39.557000,13.0,1.0,,,26.66,29.847,43.05,0 days 00:28:02.839000,0 days 00:28:32.686000,0 days 00:29:15.736000,276.0,269.0,255.0,309.0,False,ULTRASOFT,15.0,False,Red Bull Racing,0 days 00:27:36.157000,2018-04-15 06:33:36.275,,6.0,False,,False,False,99.557,99.557
13,0 days 00:30:55.169000,RIC,3,0 days 00:01:39.455000,14.0,1.0,,,26.527,29.871,43.057,0 days 00:29:42.263000,0 days 00:30:12.134000,0 days 00:30:55.191000,272.0,266.0,253.0,306.0,False,ULTRASOFT,16.0,False,Red Bull Racing,0 days 00:29:15.714000,2018-04-15 06:35:15.832,,6.0,False,,False,False,99.455,99.455
14,0 days 00:32:34.913000,RIC,3,0 days 00:01:39.744000,15.0,1.0,,,26.602,30.008,43.134,0 days 00:31:21.793000,0 days 00:31:51.801000,0 days 00:32:34.935000,,263.0,254.0,,False,ULTRASOFT,17.0,False,Red Bull Racing,0 days 00:30:55.169000,2018-04-15 06:36:55.287,,6.0,False,,False,False,99.744,99.744
15,0 days 00:34:14.284000,RIC,3,0 days 00:01:39.371000,16.0,1.0,,,26.653,29.849,42.869,0 days 00:33:01.588000,0 days 00:33:31.437000,0 days 00:34:14.306000,271.0,268.0,253.0,307.0,False,ULTRASOFT,18.0,False,Red Bull Racing,0 days 00:32:34.913000,2018-04-15 06:38:35.031,,6.0,False,,False,False,99.371,99.371
16,0 days 00:35:58.532000,RIC,3,0 days 00:01:44.248000,17.0,1.0,,0 days 00:35:57,26.626,30.078,47.544,0 days 00:34:40.932000,0 days 00:35:11.010000,0 days 00:35:58.554000,273.0,265.0,,310.0,False,ULTRASOFT,19.0,False,Red Bull Racing,0 days 00:34:14.284000,2018-04-15 06:40:14.402,,6.0,False,,False,False,104.248,104.24799999999999
17,0 days 00:37:55.167000,RIC,3,0 days 00:01:56.635000,18.0,1.0,0 days 00:36:19.777000,,44.94,29.3,42.395,0 days 00:36:43.494000,0 days 00:37:12.794000,0 days 00:37:55.189000,276.0,264.0,255.0,311.0,False,ULTRASOFT,20.0,False,Red Bull Racing,0 days 00:35:58.532000,2018-04-15 06:41:58.650,,7.0,False,,False,False,116.635,116.63499999999999
18,0 days 00:39:33.462000,RIC,3,0 days 00:01:38.295000,19.0,1.0,,,26.316,29.476,42.503,0 days 00:38:21.505000,0 days 00:38:50.981000,0 days 00:39:33.484000,273.0,269.0,255.0,307.0,True,ULTRASOFT,21.0,False,Red Bull Racing,0 days 00:37:55.167000,2018-04-15 06:43:55.285,,6.0,False,,False,False,98.295,98.295
19,0 days 00:41:11.621000,RIC,3,0 days 00:01:38.159000,20.0,1.0,,,26.156,29.436,42.567,0 days 00:39:59.640000,0 days 00:40:29.076000,0 days 00:41:11.643000,267.0,262.0,255.0,303.0,True,ULTRASOFT,22.0,False,Red Bull Racing,0 days 00:39:33.462000,2018-04-15 06:45:33.580,,6.0,False,,False,False,98.159,98.15899999999999
