,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:32.781000,29.5,32.6,962.6,False,50.8,138,2.7
1,0 days 00:01:32.798000,29.2,33.4,962.6,False,49.5,100,2.5
2,0 days 00:02:32.810000,29.0,34.1,962.6,False,50.2,126,2.0
3,0 days 00:03:32.827000,28.9,34.0,962.7,False,50.2,127,3.4
4,0 days 00:04:32.842000,28.9,34.2,962.7,False,51.1,128,2.7
5,0 days 00:05:32.857000,29.0,33.9,962.7,False,51.2,122,2.9
6,0 days 00:06:32.869000,28.9,33.8,962.7,False,51.6,121,1.8
7,0 days 00:07:32.885000,28.5,34.4,962.7,False,51.5,127,0.9
8,0 days 00:08:32.898000,28.7,34.3,962.6,False,49.2,103,2.9
9,0 days 00:09:32.914000,28.7,34.3,962.5,False,48.9,112,2.5
10,0 days 00:10:32.927000,28.8,34.2,962.6,False,49.1,110,3.0
11,0 days 00:11:32.940000,29.0,34.2,962.5,False,50.0,115,3.5
12,0 days 00:12:32.954000,29.2,33.5,962.5,False,50.9,127,3.6
13,0 days 00:13:32.969000,29.0,33.7,962.5,False,50.4,101,4.2
14,0 days 00:14:32.983000,28.7,34.4,962.5,False,50.3,120,4.1
15,0 days 00:15:32.999000,28.7,34.2,962.5,False,50.5,113,3.3
16,0 days 00:16:33.009000,28.8,34.0,962.6,False,50.6,127,4.4
17,0 days 00:17:33.022000,29.0,34.0,962.7,False,50.6,132,3.6
18,0 days 00:18:33.036000,29.2,33.2,962.6,False,50.6,109,3.7
19,0 days 00:19:33.050000,28.9,33.6,962.6,False,51.1,112,3.8
20,0 days 00:20:33.065000,28.9,33.6,962.6,False,51.1,112,3.8
21,0 days 00:21:33.166000,28.5,34.0,962.7,False,51.0,128,3.6
22,0 days 00:22:33.094000,28.5,34.4,962.6,False,50.6,102,3.0
23,0 days 00:23:33.106000,28.7,34.9,962.6,False,50.6,117,3.9
24,0 days 00:24:33.121000,28.6,34.2,962.7,False,50.6,109,4.2
25,0 days 00:25:33.136000,28.4,34.8,962.6,False,50.6,116,3.4
26,0 days 00:26:33.149000,28.3,35.5,962.8,False,50.6,136,3.9
27,0 days 00:27:33.163000,28.6,35.0,962.7,False,50.1,117,4.2
28,0 days 00:28:33.177000,28.4,34.8,962.7,False,49.9,107,3.8
29,0 days 00:29:33.191000,28.4,35.0,962.6,False,49.9,105,2.7
30,0 days 00:30:33.205000,28.3,35.1,962.7,False,50.2,113,3.7
31,0 days 00:31:33.219000,28.5,34.9,962.8,False,50.2,117,3.0
32,0 days 00:32:33.231000,28.5,35.0,962.8,False,50.5,117,3.3
33,0 days 00:33:33.247000,28.6,34.8,962.8,False,50.3,130,3.2
34,0 days 00:34:33.261000,28.7,34.6,962.8,False,50.7,121,2.5
35,0 days 00:35:33.275000,28.6,34.6,962.9,False,50.0,122,4.5
36,0 days 00:36:33.288000,28.1,35.2,962.8,False,49.0,134,3.8
37,0 days 00:37:33.301000,27.8,36.4,962.8,False,49.0,115,3.2
38,0 days 00:38:33.315000,27.8,36.1,962.8,False,49.1,114,3.6
39,0 days 00:39:33.333000,27.7,36.4,962.8,False,50.0,116,3.7
40,0 days 00:40:33.341000,27.7,36.7,962.8,False,49.9,113,3.4
41,0 days 00:41:33.357000,27.8,36.4,963.0,False,49.9,141,3.6
42,0 days 00:42:33.370000,27.7,36.3,962.9,False,49.9,126,3.3
43,0 days 00:43:33.382000,27.7,36.5,962.9,False,49.4,124,3.3
44,0 days 00:44:33.397000,27.8,36.5,962.9,False,49.4,129,3.8
45,0 days 00:45:33.410000,27.8,36.4,962.9,False,49.3,115,3.1
46,0 days 00:46:33.423000,27.7,36.4,962.9,False,49.2,112,3.1
47,0 days 00:47:33.436000,27.6,36.4,962.9,False,49.2,129,3.6
48,0 days 00:48:33.453000,27.5,37.5,962.9,False,49.5,140,3.1
49,0 days 00:49:33.464000,27.8,37.2,963.0,False,49.6,107,2.5
50,0 days 00:50:33.477000,28.1,36.3,963.0,False,49.8,121,2.5
51,0 days 00:51:33.490000,28.1,35.8,963.0,False,49.8,114,2.1
52,0 days 00:52:33.504000,28.2,36.0,963.1,False,49.8,112,2.4
53,0 days 00:53:33.516000,28.2,36.0,963.1,False,49.8,112,2.4
54,0 days 00:54:33.530000,27.7,36.3,963.0,False,49.6,157,3.1
55,0 days 00:55:33.542000,27.7,36.3,963.0,False,49.6,157,3.1
56,0 days 00:56:33.555000,27.5,37.1,963.1,False,49.4,121,2.5
57,0 days 00:57:33.568000,27.8,37.0,963.0,False,50.1,131,1.5
58,0 days 00:58:33.582000,27.8,36.0,963.1,False,50.1,117,2.9
59,0 days 00:59:33.596000,27.8,36.0,963.1,False,50.1,117,2.9
60,0 days 01:00:33.611000,27.7,37.2,963.2,False,49.5,111,2.3
61,0 days 01:01:33.623000,27.9,37.0,963.1,False,49.7,108,2.8
62,0 days 01:02:33.636000,27.9,37.0,963.1,False,49.7,108,2.8
63,0 days 01:03:33.650000,27.9,36.7,963.1,False,49.5,114,2.3
64,0 days 01:04:33.663000,27.9,36.7,963.1,False,49.5,114,2.3
65,0 days 01:05:33.677000,28.2,36.2,963.0,False,48.8,117,2.6
66,0 days 01:06:33.689000,28.1,36.1,963.0,False,48.6,114,3.1
67,0 days 01:07:33.710000,27.8,37.3,963.1,False,48.6,121,2.2
68,0 days 01:08:33.717000,27.9,37.3,963.1,False,48.4,118,2.4
69,0 days 01:09:33.732000,27.9,37.3,963.1,False,48.4,118,2.4
70,0 days 01:10:33.749000,27.9,36.4,963.1,False,48.2,130,3.4
71,0 days 01:11:33.757000,27.5,37.0,963.1,False,48.2,70,3.1
72,0 days 01:12:33.771000,27.7,37.0,963.2,False,48.2,138,1.0
73,0 days 01:13:33.785000,28.2,36.0,963.1,False,48.2,93,1.3
74,0 days 01:14:33.797000,28.4,35.2,963.2,False,48.6,227,2.2
75,0 days 01:15:33.812000,28.5,35.4,963.1,False,48.6,105,0.7
76,0 days 01:16:33.827000,28.5,35.4,963.1,False,48.6,105,0.7
77,0 days 01:17:33.841000,27.7,37.1,963.2,False,47.7,107,3.3
78,0 days 01:18:33.869000,27.5,37.4,963.2,False,47.5,118,2.8
79,0 days 01:19:33.872000,27.7,37.3,963.3,False,47.4,121,2.7
80,0 days 01:20:33.888000,27.7,37.4,963.3,False,47.1,125,3.1
81,0 days 01:21:33.909000,27.5,38.0,963.2,False,47.1,112,3.2
82,0 days 01:22:33.916000,27.7,37.3,963.2,False,46.7,91,3.0
83,0 days 01:23:33.931000,27.6,37.4,963.3,False,47.2,154,2.9
84,0 days 01:24:33.946000,27.6,36.9,963.3,False,47.2,108,1.0
85,0 days 01:25:33.959000,27.6,36.3,963.3,False,47.3,111,2.1
86,0 days 01:26:33.975000,27.7,36.8,963.3,False,47.4,103,1.8
87,0 days 01:27:33.992000,27.8,37.0,963.3,False,47.6,110,2.6
88,0 days 01:28:34.005000,27.8,37.0,963.3,False,47.6,110,2.6
89,0 days 01:29:34.021000,27.5,38.1,963.3,False,48.5,129,2.6
90,0 days 01:30:34.034000,27.5,38.2,963.3,False,48.1,96,3.0
91,0 days 01:31:34.049000,27.3,39.1,963.2,False,48.1,117,1.4
92,0 days 01:32:34.065000,27.3,39.1,963.2,False,48.1,117,1.4
93,0 days 01:33:34.080000,27.8,38.0,963.2,False,47.9,133,3.3
94,0 days 01:34:34.096000,27.8,37.7,963.3,False,47.9,125,3.2
95,0 days 01:35:34.108000,27.7,38.7,963.2,False,47.3,95,2.8
96,0 days 01:36:34.123000,27.7,38.7,963.2,False,47.3,95,2.8
