,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:06:22.293000,VAN,2,,1.0,1.0,0 days 00:04:14.052000,,,36.104,57.807,,0 days 00:05:24.497000,0 days 00:06:22.383000,94.0,263.0,297.0,197.0,False,SOFT,1.0,True,McLaren,0 days 00:04:14.052000,2018-06-23 11:00:23.103,,,False,,False,False,,
1,0 days 00:07:59.840000,VAN,2,0 days 00:01:37.547000,2.0,1.0,,,24.873,30.421,42.253,0 days 00:06:47.166000,0 days 00:07:17.587000,0 days 00:07:59.840000,106.0,276.0,297.0,316.0,True,SOFT,2.0,True,McLaren,0 days 00:06:22.293000,2018-06-23 11:02:31.344,1,,False,,False,True,97.547,97.547
2,0 days 01:02:08.967000,VAN,2,,3.0,1.0,,0 days 00:09:51.514000,28.857,36.385,,0 days 00:08:28.697000,0 days 00:09:05.091000,,94.0,251.0,,258.0,False,SOFT,3.0,True,McLaren,0 days 00:07:59.840000,2018-06-23 11:04:08.891,1,,False,,False,False,,
3,0 days 01:04:15.962000,VAN,2,,4.0,2.0,0 days 01:02:08.967000,0 days 01:04:15.962000,37.153,37.307,,0 days 01:02:45.475000,0 days 01:03:22.737000,,86.0,255.0,,278.0,False,WET,1.0,True,McLaren,0 days 01:02:08.967000,2018-06-23 11:58:18.018,1,,False,,False,False,,
4,0 days 00:06:33.759000,RIC,3,0 days 00:01:52.507000,1.0,1.0,0 days 00:04:41.962000,,32.316,31.784,48.407,0 days 00:05:13.606000,0 days 00:05:45.360000,0 days 00:06:33.843000,109.0,259.0,299.0,304.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:04:41.962000,2018-06-23 11:00:51.013,1,,False,,False,False,112.507,112.50699999999999
5,0 days 00:08:13.497000,RIC,3,0 days 00:01:39.738000,2.0,1.0,,,24.165,33.994,41.579,0 days 00:06:57.924000,0 days 00:07:31.918000,0 days 00:08:13.497000,85.0,280.0,297.0,314.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:06:33.759000,2018-06-23 11:02:42.810,1,,False,,False,True,99.738,99.738
6,0 days 00:10:13.376000,RIC,3,,3.0,1.0,,0 days 00:10:13.376000,32.366,39.918,,0 days 00:08:45.954000,0 days 00:09:25.762000,,91.0,252.0,,276.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:08:13.497000,2018-06-23 11:04:22.548,1,,False,,False,False,,
7,0 days 00:06:47.979000,VET,5,0 days 00:01:59.783000,1.0,1.0,0 days 00:04:48.932000,,34.656,35.103,50.024,0 days 00:05:22.908000,0 days 00:05:57.969000,0 days 00:06:48.063000,91.0,254.0,299.0,245.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:04:48.932000,2018-06-23 11:00:57.983,1,,False,,False,False,119.783,119.783
8,0 days 00:08:24.735000,VET,5,0 days 00:01:36.756000,2.0,1.0,,,24.484,29.971,42.301,0 days 00:07:12.463000,0 days 00:07:42.434000,0 days 00:08:24.735000,113.0,282.0,300.0,316.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:06:47.979000,2018-06-23 11:02:57.030,1,,False,,False,True,96.756,96.756
9,0 days 00:10:22.241000,VET,5,0 days 00:01:57.506000,3.0,1.0,,,29.607,36.871,51.028,0 days 00:08:54.342000,0 days 00:09:31.213000,0 days 00:10:22.241000,91.0,237.0,298.0,221.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:08:24.735000,2018-06-23 11:04:33.786,1,,False,,False,True,117.506,117.506
