,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:09:36.072000,GAS,10,,1.0,1.0,,,,,,,,,,,,,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:07:26.483000,2018-06-24 14:13:26.509,214,,False,,True,False,,
1,0 days 00:09:45.553000,PER,11,0 days 00:02:18.853000,1.0,,,,,48.892,55.186,,0 days 00:08:50.379000,0 days 00:09:45.594000,100.0,118.0,192.0,87.0,False,nan,,True,Force India,0 days 00:07:26.483000,2018-06-24 14:13:26.509,214,9.0,False,,False,False,138.853,
2,0 days 00:12:26.364000,PER,11,,2.0,1.0,,,50.57,42.611,67.715,0 days 00:10:36.088000,0 days 00:11:18.684000,0 days 00:12:26.495000,82.0,229.0,247.0,230.0,False,SOFT,1.0,True,Force India,0 days 00:09:45.553000,2018-06-24 14:15:45.579,4,9.0,False,,False,False,,160.89600000000002
3,0 days 00:14:53.941000,PER,11,0 days 00:02:27.577000,3.0,1.0,,,41.122,43.237,63.218,0 days 00:13:07.498000,0 days 00:13:50.735000,0 days 00:14:53.953000,98.0,254.0,251.0,215.0,True,SOFT,2.0,True,Force India,0 days 00:12:26.364000,2018-06-24 14:18:26.390,4,9.0,False,,False,False,147.577,147.577
4,0 days 00:17:23.361000,PER,11,0 days 00:02:29.420000,4.0,1.0,,,37.939,41.167,70.314,0 days 00:15:31.892000,0 days 00:16:13.059000,0 days 00:17:23.373000,99.0,214.0,247.0,223.0,False,SOFT,3.0,True,Force India,0 days 00:14:53.941000,2018-06-24 14:20:53.967,4,9.0,False,,False,False,149.42,149.42
5,0 days 00:19:41.847000,PER,11,0 days 00:02:18.486000,5.0,1.0,,,32.836,45.189,60.461,0 days 00:17:56.209000,0 days 00:18:41.398000,0 days 00:19:41.859000,94.0,124.0,297.0,198.0,True,SOFT,4.0,True,Force India,0 days 00:17:23.361000,2018-06-24 14:23:23.387,41,9.0,False,,False,False,138.486,138.486
6,0 days 00:21:22.689000,PER,11,0 days 00:01:40.842000,6.0,1.0,,,25.773,30.367,44.702,0 days 00:20:07.632000,0 days 00:20:37.999000,0 days 00:21:22.701000,107.0,281.0,295.0,283.0,True,SOFT,5.0,True,Force India,0 days 00:19:41.847000,2018-06-24 14:25:41.873,12,9.0,False,,False,True,100.842,100.842
7,0 days 00:23:04.278000,PER,11,0 days 00:01:41.589000,7.0,1.0,,,26.155,30.632,44.802,0 days 00:21:48.856000,0 days 00:22:19.488000,0 days 00:23:04.290000,108.0,282.0,293.0,303.0,False,SOFT,6.0,True,Force India,0 days 00:21:22.689000,2018-06-24 14:27:22.715,1,9.0,False,,False,True,101.589,101.589
8,0 days 00:24:43.772000,PER,11,0 days 00:01:39.494000,8.0,1.0,,,25.318,29.951,44.225,0 days 00:23:29.608000,0 days 00:23:59.559000,0 days 00:24:43.784000,110.0,280.0,294.0,310.0,True,SOFT,7.0,True,Force India,0 days 00:23:04.278000,2018-06-24 14:29:04.304,1,9.0,False,,False,True,99.494,99.494
9,0 days 00:26:23.137000,PER,11,0 days 00:01:39.365000,9.0,1.0,,,25.067,29.947,44.351,0 days 00:25:08.851000,0 days 00:25:38.798000,0 days 00:26:23.149000,108.0,279.0,293.0,306.0,True,SOFT,8.0,True,Force India,0 days 00:24:43.772000,2018-06-24 14:30:43.798,1,9.0,False,,False,True,99.365,99.365
10,0 days 00:28:03.060000,PER,11,0 days 00:01:39.923000,10.0,1.0,,,25.188,30.373,44.362,0 days 00:26:48.337000,0 days 00:27:18.710000,0 days 00:28:03.072000,107.0,278.0,291.0,302.0,False,SOFT,9.0,True,Force India,0 days 00:26:23.137000,2018-06-24 14:32:23.163,1,9.0,False,,False,True,99.923,99.923
11,0 days 00:29:43.115000,PER,11,0 days 00:01:40.055000,11.0,1.0,,,25.414,30.144,44.497,0 days 00:28:28.486000,0 days 00:28:58.630000,0 days 00:29:43.127000,108.0,278.0,293.0,305.0,False,SOFT,10.0,True,Force India,0 days 00:28:03.060000,2018-06-24 14:34:03.086,1,9.0,False,,False,True,100.055,100.055
12,0 days 00:31:23.106000,PER,11,0 days 00:01:39.991000,12.0,1.0,,,25.372,30.17,44.449,0 days 00:30:08.499000,0 days 00:30:38.669000,0 days 00:31:23.118000,106.0,279.0,292.0,317.0,False,SOFT,11.0,True,Force India,0 days 00:29:43.115000,2018-06-24 14:35:43.141,1,9.0,False,,False,True,99.991,99.991
13,0 days 00:33:03.537000,PER,11,0 days 00:01:40.431000,13.0,1.0,,,25.274,30.66,44.497,0 days 00:31:48.392000,0 days 00:32:19.052000,0 days 00:33:03.549000,107.0,284.0,295.0,315.0,False,SOFT,12.0,True,Force India,0 days 00:31:23.106000,2018-06-24 14:37:23.132,1,10.0,False,,False,True,100.431,100.431
14,0 days 00:34:44.123000,PER,11,0 days 00:01:40.586000,14.0,1.0,,,25.354,30.641,44.591,0 days 00:33:28.903000,0 days 00:33:59.544000,0 days 00:34:44.135000,109.0,281.0,292.0,314.0,False,SOFT,13.0,True,Force India,0 days 00:33:03.537000,2018-06-24 14:39:03.563,1,11.0,False,,False,True,100.586,100.586
15,0 days 00:36:25.586000,PER,11,0 days 00:01:41.463000,15.0,1.0,,,26.897,30.3,44.266,0 days 00:35:11.032000,0 days 00:35:41.332000,0 days 00:36:25.598000,108.0,280.0,292.0,321.0,False,SOFT,14.0,True,Force India,0 days 00:34:44.123000,2018-06-24 14:40:44.149,1,12.0,False,,False,True,101.463,101.463
