,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:11:12.965000,VAN,2,,1.0,,0 days 00:09:31.476000,,,46.381,33.529,,0 days 00:10:39.436000,0 days 00:11:13.028000,149.0,227.0,242.0,278.0,False,nan,,True,McLaren,0 days 00:09:31.476000,2018-07-21 10:05:31.484,,,False,,False,False,,
1,0 days 00:12:57.368000,VAN,2,0 days 00:01:44.403000,2.0,,,0 days 00:12:54.569000,22.337,44.608,37.458,0 days 00:11:35.302000,0 days 00:12:19.910000,0 days 00:12:57.368000,165.0,230.0,,279.0,False,nan,,True,McLaren,0 days 00:11:12.965000,2018-07-21 10:07:12.973,,,False,,False,False,104.403,104.40299999999999
2,0 days 00:13:51.936000,RIC,3,,1.0,1.0,0 days 00:12:07.079000,0 days 00:13:49.405000,,46.259,37.683,,0 days 00:13:14.260000,0 days 00:13:51.936000,139.0,224.0,,276.0,False,WET,1.0,True,Red Bull Racing,0 days 00:12:07.079000,2018-07-21 10:08:07.087,,,False,,False,False,,
3,0 days 00:59:48.868000,VET,5,,1.0,1.0,0 days 00:58:09.005000,,,46.606,32.39,,0 days 00:59:16.496000,0 days 00:59:48.933000,137.0,218.0,246.0,264.0,False,WET,1.0,True,Ferrari,0 days 00:58:09.005000,2018-07-21 10:54:09.013,1,,False,,False,False,,
4,0 days 01:01:24.441000,VET,5,0 days 00:01:35.573000,2.0,1.0,,,21.23,43.742,30.601,0 days 01:00:10.098000,0 days 01:00:53.840000,0 days 01:01:24.441000,171.0,224.0,250.0,287.0,True,WET,2.0,True,Ferrari,0 days 00:59:48.868000,2018-07-21 10:55:48.876,12,,False,,False,True,95.573,95.573
5,0 days 01:03:10.335000,VET,5,0 days 00:01:45.894000,3.0,1.0,,,21.242,53.639,31.013,0 days 01:01:45.683000,0 days 01:02:39.322000,0 days 01:03:10.335000,171.0,223.0,249.0,290.0,False,WET,3.0,True,Ferrari,0 days 01:01:24.441000,2018-07-21 10:57:24.449,21,,False,,False,True,105.894,105.894
6,0 days 01:04:46.349000,VET,5,0 days 00:01:36.014000,4.0,1.0,,,21.844,43.892,30.278,0 days 01:03:32.179000,0 days 01:04:16.071000,0 days 01:04:46.349000,150.0,227.0,251.0,284.0,False,WET,4.0,True,Ferrari,0 days 01:03:10.335000,2018-07-21 10:59:10.343,1,,False,,False,True,96.014,96.01400000000001
7,0 days 01:06:29.861000,VET,5,0 days 00:01:43.512000,5.0,1.0,,0 days 01:06:27.327000,21.783,44.905,36.824,0 days 01:05:08.132000,0 days 01:05:53.037000,0 days 01:06:29.861000,166.0,227.0,,252.0,False,WET,5.0,True,Ferrari,0 days 01:04:46.349000,2018-07-21 11:00:46.357,1,,False,,False,False,103.512,103.512
8,0 days 01:00:46.275000,RAI,7,,1.0,1.0,0 days 00:59:06.710000,,,47.615,32.168,,0 days 01:00:14.107000,0 days 01:00:46.352000,160.0,210.0,241.0,257.0,False,WET,1.0,True,Ferrari,0 days 00:59:06.710000,2018-07-21 10:55:06.718,1,,False,,False,False,,
9,0 days 01:02:24.030000,RAI,7,0 days 00:01:37.755000,2.0,1.0,,,22.069,44.663,31.023,0 days 01:01:08.344000,0 days 01:01:53.007000,0 days 01:02:24.030000,166.0,219.0,251.0,285.0,True,WET,2.0,True,Ferrari,0 days 01:00:46.275000,2018-07-21 10:56:46.283,12,,False,,False,True,97.755,97.755
10,0 days 01:04:09.555000,RAI,7,0 days 00:01:45.525000,3.0,1.0,,,23.41,49.234,32.881,0 days 01:02:47.440000,0 days 01:03:36.674000,0 days 01:04:09.555000,160.0,226.0,254.0,245.0,False,WET,3.0,True,Ferrari,0 days 01:02:24.030000,2018-07-21 10:58:24.038,1,,False,,False,True,105.525,105.525
11,0 days 01:05:51.120000,RAI,7,0 days 00:01:41.565000,4.0,1.0,,0 days 01:05:48.670000,21.068,44.107,36.39,0 days 01:04:30.623000,0 days 01:05:14.730000,0 days 01:05:51.120000,166.0,207.0,,292.0,False,WET,4.0,True,Ferrari,0 days 01:04:09.555000,2018-07-21 11:00:09.563,1,,False,,False,False,101.565,101.565
12,0 days 00:06:18.309000,GRO,8,,1.0,,0 days 00:04:38.143000,,,46.577,32.707,,0 days 00:05:45.602000,0 days 00:06:18.367000,154.0,210.0,232.0,273.0,False,nan,,True,Haas F1 Team,0 days 00:04:38.143000,2018-07-21 10:00:38.151,,,False,,False,False,,
13,0 days 00:08:02.490000,GRO,8,0 days 00:01:44.181000,2.0,,,0 days 00:07:59.984000,22.54,45.604,36.037,0 days 00:06:40.849000,0 days 00:07:26.453000,0 days 00:08:02.490000,166.0,223.0,,265.0,False,nan,,True,Haas F1 Team,0 days 00:06:18.309000,2018-07-21 10:02:18.317,,,False,,False,False,104.181,104.18100000000001
14,0 days 00:05:47.209000,ERI,9,,1.0,,0 days 00:04:04.657000,0 days 00:05:44.771000,,46.275,35.953,,0 days 00:05:11.256000,0 days 00:05:47.271000,149.0,218.0,,284.0,False,nan,,True,Sauber,0 days 00:04:04.657000,2018-07-21 10:00:04.665,,,False,,False,False,,
15,0 days 00:55:28.193000,ERI,9,,2.0,1.0,0 days 00:53:48.582000,,,47.874,31.978,,0 days 00:54:56.260000,0 days 00:55:28.292000,155.0,220.0,246.0,277.0,False,WET,2.0,False,Sauber,0 days 00:05:47.209000,2018-07-21 10:01:47.217,21,,False,,False,False,,
16,0 days 00:57:06.120000,ERI,9,0 days 00:01:37.927000,3.0,1.0,,,21.835,45.153,30.939,0 days 00:55:50.028000,0 days 00:56:35.181000,0 days 00:57:06.120000,160.0,225.0,248.0,282.0,True,WET,3.0,False,Sauber,0 days 00:55:28.193000,2018-07-21 10:51:28.201,1,,False,,False,True,97.927,97.92699999999999
17,0 days 00:58:43.308000,ERI,9,0 days 00:01:37.188000,4.0,1.0,,,21.425,44.847,30.916,0 days 00:57:27.545000,0 days 00:58:12.392000,0 days 00:58:43.308000,166.0,195.0,249.0,286.0,True,WET,4.0,False,Sauber,0 days 00:57:06.120000,2018-07-21 10:53:06.128,1,,False,,False,True,97.188,97.188
18,0 days 01:00:19.843000,ERI,9,0 days 00:01:36.535000,5.0,1.0,,,21.458,44.377,30.7,0 days 00:59:04.766000,0 days 00:59:49.143000,0 days 01:00:19.843000,166.0,223.0,250.0,281.0,True,WET,5.0,False,Sauber,0 days 00:58:43.308000,2018-07-21 10:54:43.316,1,,False,,False,True,96.535,96.53500000000001
19,0 days 01:02:01.057000,ERI,9,0 days 00:01:41.214000,6.0,1.0,,,22.283,47.136,31.795,0 days 01:00:42.126000,0 days 01:01:29.262000,0 days 01:02:01.057000,146.0,170.0,250.0,273.0,False,WET,6.0,False,Sauber,0 days 01:00:19.843000,2018-07-21 10:56:19.851,12,,False,,False,True,101.214,101.21400000000001
20,0 days 01:03:36.516000,ERI,9,0 days 00:01:35.459000,7.0,1.0,,,21.26,43.905,30.294,0 days 01:02:22.317000,0 days 01:03:06.222000,0 days 01:03:36.516000,162.0,225.0,248.0,281.0,True,WET,7.0,False,Sauber,0 days 01:02:01.057000,2018-07-21 10:58:01.065,12,,False,,False,True,95.459,95.459
