,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:10:46.399000,VET,5,,1.0,1.0,0 days 00:09:17.581000,,,44.66,25.574,,0 days 00:10:20.844000,0 days 00:10:46.520000,172.0,227.0,278.0,282.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:09:17.581000,2018-07-21 13:05:22.609,,,False,,False,False,,
1,0 days 00:11:59.164000,VET,5,0 days 00:01:12.765000,2.0,1.0,,,15.994,34.705,22.066,0 days 00:11:02.393000,0 days 00:11:37.098000,0 days 00:11:59.164000,217.0,273.0,282.0,320.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:10:46.399000,2018-07-21 13:06:51.427,,,False,,False,False,72.765,72.765
2,0 days 00:13:42.081000,VET,5,0 days 00:01:42.917000,3.0,1.0,,,23.411,46.292,33.214,0 days 00:12:22.575000,0 days 00:13:08.867000,0 days 00:13:42.081000,151.0,218.0,278.0,223.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:11:59.164000,2018-07-21 13:08:04.192,,,False,,False,False,102.917,102.917
3,0 days 00:14:54.619000,VET,5,0 days 00:01:12.538000,4.0,1.0,,,15.643,34.821,22.074,0 days 00:13:57.724000,0 days 00:14:32.545000,0 days 00:14:54.619000,219.0,271.0,278.0,314.0,True,ULTRASOFT,4.0,True,Ferrari,0 days 00:13:42.081000,2018-07-21 13:09:47.109,,,False,,False,False,72.538,72.538
4,0 days 00:16:46.238000,VET,5,0 days 00:01:51.619000,5.0,1.0,,,21.96,54.686,34.973,0 days 00:15:16.579000,0 days 00:16:11.265000,0 days 00:16:46.238000,127.0,192.0,276.0,169.0,False,ULTRASOFT,5.0,True,Ferrari,0 days 00:14:54.619000,2018-07-21 13:10:59.647,,,False,,False,False,111.619,111.619
5,0 days 00:18:07.601000,VET,5,0 days 00:01:21.363000,6.0,1.0,,0 days 00:18:05.168000,15.666,34.726,30.971,0 days 00:17:01.904000,0 days 00:17:36.630000,0 days 00:18:07.601000,220.0,271.0,,316.0,False,ULTRASOFT,6.0,True,Ferrari,0 days 00:16:46.238000,2018-07-21 13:12:51.266,,,False,,False,False,81.363,81.363
6,0 days 00:33:51.776000,VET,5,,7.0,2.0,0 days 00:32:14.327000,,,44.568,33.569,,0 days 00:33:18.225000,0 days 00:33:51.813000,152.0,217.0,280.0,245.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:18:07.601000,2018-07-21 13:14:12.629,21,,False,,False,False,,
7,0 days 00:35:04.281000,VET,5,0 days 00:01:12.505000,8.0,2.0,,,15.514,34.412,22.579,0 days 00:34:07.290000,0 days 00:34:41.702000,0 days 00:35:04.281000,223.0,273.0,280.0,318.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:33:51.776000,2018-07-21 13:29:56.804,1,,False,,False,True,72.505,72.505
8,0 days 00:36:45.963000,VET,5,0 days 00:01:41.682000,9.0,2.0,,0 days 00:36:43.382000,20.729,46.715,34.238,0 days 00:35:25.010000,0 days 00:36:11.725000,0 days 00:36:45.963000,144.0,219.0,,266.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:35:04.281000,2018-07-21 13:31:09.309,1,,False,,False,False,101.682,101.682
9,0 days 01:03:32.013000,VET,5,,10.0,3.0,0 days 01:01:56.280000,,,45.705,30.667,,0 days 01:03:01.346000,0 days 01:03:32.053000,153.0,208.0,282.0,260.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 01:01:56.280000,2018-07-21 13:58:01.308,1,,False,,False,False,,
