,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:37:23.721000,VAN,2,,1.0,,0 days 00:16:17.833000,0 days 00:18:24.842000,,,,,,,280.0,,,230.0,False,nan,,True,McLaren,0 days 00:16:17.833000,2018-08-31 13:01:17.855,125,,False,,False,False,,
1,0 days 00:39:11.371000,VAN,2,,2.0,,0 days 00:37:23.721000,,,31.917,33.195,,0 days 00:38:38.201000,0 days 00:39:11.447000,251.0,293.0,295.0,260.0,False,nan,,True,McLaren,0 days 00:37:23.721000,2018-08-31 13:22:23.743,1,,False,,False,False,,
2,0 days 00:40:37.551000,VAN,2,0 days 00:01:26.180000,3.0,1.0,,,28.676,28.947,28.557,0 days 00:39:40.047000,0 days 00:40:08.994000,0 days 00:40:37.551000,305.0,316.0,296.0,318.0,True,SOFT,1.0,True,McLaren,0 days 00:39:11.371000,2018-08-31 13:24:11.393,1,,False,,False,True,86.18,86.17999999999999
3,0 days 00:42:16.940000,VAN,2,0 days 00:01:39.389000,4.0,1.0,,,31.244,36.013,32.132,0 days 00:41:08.795000,0 days 00:41:44.808000,0 days 00:42:16.940000,275.0,248.0,299.0,293.0,False,SOFT,2.0,True,McLaren,0 days 00:40:37.551000,2018-08-31 13:25:37.573,1,,False,,False,True,99.389,99.38900000000001
4,0 days 00:43:42.166000,VAN,2,0 days 00:01:25.226000,5.0,1.0,,,28.344,28.746,28.136,0 days 00:42:45.284000,0 days 00:43:14.030000,0 days 00:43:42.166000,308.0,318.0,298.0,322.0,True,SOFT,3.0,True,McLaren,0 days 00:42:16.940000,2018-08-31 13:27:16.962,1,,False,,False,True,85.226,85.226
5,0 days 00:45:27.049000,VAN,2,0 days 00:01:44.883000,6.0,1.0,,,31.72,40.105,33.058,0 days 00:44:13.886000,0 days 00:44:53.991000,0 days 00:45:27.049000,276.0,192.0,298.0,291.0,False,SOFT,4.0,True,McLaren,0 days 00:43:42.166000,2018-08-31 13:28:42.188,1,,False,,False,True,104.883,104.88299999999998
6,0 days 00:46:51.999000,VAN,2,0 days 00:01:24.950000,7.0,1.0,,,28.224,28.596,28.13,0 days 00:45:55.273000,0 days 00:46:23.869000,0 days 00:46:51.999000,307.0,319.0,300.0,322.0,True,SOFT,5.0,True,McLaren,0 days 00:45:27.049000,2018-08-31 13:30:27.071,1,,False,,False,True,84.95,84.95
7,0 days 00:48:36.606000,VAN,2,0 days 00:01:44.607000,8.0,1.0,,,32.864,37.171,34.572,0 days 00:47:24.863000,0 days 00:48:02.034000,0 days 00:48:36.606000,274.0,250.0,299.0,293.0,False,SOFT,6.0,True,McLaren,0 days 00:46:51.999000,2018-08-31 13:31:52.021,1,,False,,False,True,104.607,104.607
8,0 days 00:50:01.285000,VAN,2,0 days 00:01:24.679000,9.0,1.0,,,28.233,28.406,28.04,0 days 00:49:04.839000,0 days 00:49:33.245000,0 days 00:50:01.285000,306.0,318.0,297.0,322.0,True,SOFT,7.0,True,McLaren,0 days 00:48:36.606000,2018-08-31 13:33:36.628,1,,False,,False,True,84.679,84.679
9,0 days 00:51:41.831000,VAN,2,0 days 00:01:40.546000,10.0,1.0,,0 days 00:51:37.988000,30.842,34.749,34.955,0 days 00:50:32.127000,0 days 00:51:06.876000,0 days 00:51:41.831000,273.0,286.0,,292.0,False,SOFT,8.0,True,McLaren,0 days 00:50:01.285000,2018-08-31 13:35:01.307,1,,False,,False,False,100.546,100.546
10,0 days 01:09:01.989000,VAN,2,,11.0,2.0,0 days 01:07:24.908000,,,33.067,33.579,,0 days 01:08:30.664000,0 days 01:09:02.087000,278.0,283.0,298.0,243.0,False,SUPERSOFT,2.0,False,McLaren,0 days 00:51:41.831000,2018-08-31 13:36:41.853,1,,False,,False,False,,
11,0 days 01:10:26.073000,VAN,2,0 days 00:01:24.084000,12.0,2.0,,,28.152,28.114,27.818,0 days 01:09:30.141000,0 days 01:09:58.255000,0 days 01:10:26.073000,308.0,319.0,296.0,320.0,True,SUPERSOFT,3.0,False,McLaren,0 days 01:09:01.989000,2018-08-31 13:54:02.011,1,,False,,False,True,84.084,84.084
12,0 days 01:12:08.674000,VAN,2,0 days 00:01:42.601000,13.0,2.0,,,32.51,37.051,33.04,0 days 01:10:58.583000,0 days 01:11:35.634000,0 days 01:12:08.674000,266.0,283.0,296.0,278.0,False,SUPERSOFT,4.0,False,McLaren,0 days 01:10:26.073000,2018-08-31 13:55:26.095,1,,False,,False,True,102.601,102.601
