,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:31.006000,GAS,10,0 days 00:02:00.688000,1.0,,,,,33.112,55.266,,0 days 00:19:35.740000,0 days 00:20:31.136000,325.0,327.0,221.0,252.0,False,nan,,True,Toro Rosso,0 days 00:18:30.135000,2018-09-02 13:13:30.160,126,11.0,False,,False,False,120.688,
1,0 days 00:22:48.377000,GAS,10,0 days 00:02:17.371000,2.0,1.0,,,45.449,46.278,45.644,0 days 00:21:16.455000,0 days 00:22:02.733000,0 days 00:22:48.377000,117.0,198.0,192.0,123.0,True,SUPERSOFT,4.0,False,Toro Rosso,0 days 00:20:31.006000,2018-09-02 13:15:31.031,674,11.0,False,,False,False,137.371,137.371
2,0 days 00:24:49.388000,GAS,10,0 days 00:02:01.011000,3.0,1.0,,,45.96,42.015,33.036,0 days 00:23:34.337000,0 days 00:24:16.352000,0 days 00:24:49.388000,164.0,123.0,312.0,104.0,True,SUPERSOFT,5.0,False,Toro Rosso,0 days 00:22:48.377000,2018-09-02 13:17:48.402,41,11.0,False,,False,False,121.011,121.011
3,0 days 00:26:18.554000,GAS,10,0 days 00:01:29.166000,4.0,1.0,,,29.369,30.811,28.986,0 days 00:25:18.757000,0 days 00:25:49.568000,0 days 00:26:18.554000,318.0,328.0,309.0,346.0,True,SUPERSOFT,6.0,False,Toro Rosso,0 days 00:24:49.388000,2018-09-02 13:19:49.413,1,11.0,False,,False,True,89.166,89.166
4,0 days 00:27:45.799000,GAS,10,0 days 00:01:27.245000,5.0,1.0,,,28.247,29.853,29.145,0 days 00:26:46.801000,0 days 00:27:16.654000,0 days 00:27:45.799000,318.0,329.0,306.0,326.0,True,SUPERSOFT,7.0,False,Toro Rosso,0 days 00:26:18.554000,2018-09-02 13:21:18.579,1,11.0,False,,False,True,87.245,87.245
5,0 days 00:29:13.074000,GAS,10,0 days 00:01:27.275000,6.0,1.0,,,28.679,29.785,28.811,0 days 00:28:14.478000,0 days 00:28:44.263000,0 days 00:29:13.074000,319.0,337.0,309.0,322.0,False,SUPERSOFT,8.0,False,Toro Rosso,0 days 00:27:45.799000,2018-09-02 13:22:45.824,1,12.0,False,,False,True,87.275,87.275
6,0 days 00:30:41.170000,GAS,10,0 days 00:01:28.096000,7.0,1.0,,,28.135,30.291,29.67,0 days 00:29:41.209000,0 days 00:30:11.500000,0 days 00:30:41.170000,321.0,338.0,309.0,341.0,False,SUPERSOFT,9.0,False,Toro Rosso,0 days 00:29:13.074000,2018-09-02 13:24:13.099,1,12.0,False,,False,True,88.096,88.096
7,0 days 00:32:09.160000,GAS,10,0 days 00:01:27.990000,8.0,1.0,,,28.42,30.457,29.113,0 days 00:31:09.590000,0 days 00:31:40.047000,0 days 00:32:09.160000,331.0,341.0,312.0,336.0,False,SUPERSOFT,10.0,False,Toro Rosso,0 days 00:30:41.170000,2018-09-02 13:25:41.195,1,13.0,False,,False,True,87.99,87.99000000000001
8,0 days 00:33:36.075000,GAS,10,0 days 00:01:26.915000,9.0,1.0,,,28.15,29.954,28.811,0 days 00:32:37.310000,0 days 00:33:07.264000,0 days 00:33:36.075000,328.0,321.0,302.0,343.0,True,SUPERSOFT,11.0,False,Toro Rosso,0 days 00:32:09.160000,2018-09-02 13:27:09.185,1,11.0,False,,False,True,86.915,86.91499999999999
9,0 days 00:35:03.567000,GAS,10,0 days 00:01:27.492000,10.0,1.0,,,28.837,29.772,28.883,0 days 00:34:04.912000,0 days 00:34:34.684000,0 days 00:35:03.567000,318.0,330.0,306.0,319.0,False,SUPERSOFT,12.0,False,Toro Rosso,0 days 00:33:36.075000,2018-09-02 13:28:36.100,1,12.0,False,,False,True,87.492,87.49199999999999
