,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:09.775000,21.6,80.1,1021.0,True,24.9,17,0.7
1,0 days 00:01:09.787000,21.7,80.3,1020.9,True,24.9,298,0.8
2,0 days 00:02:09.799000,21.8,80.1,1020.9,True,25.0,174,0.0
3,0 days 00:03:09.811000,21.9,79.5,1020.9,False,25.1,183,0.5
4,0 days 00:04:09.825000,22.0,79.1,1020.8,False,25.2,93,0.5
5,0 days 00:05:09.837000,22.1,79.0,1020.8,False,25.3,36,0.6
6,0 days 00:06:09.849000,21.9,80.0,1020.8,False,25.1,70,1.2
7,0 days 00:07:09.862000,21.8,80.1,1020.8,False,25.0,39,1.5
8,0 days 00:08:09.875000,21.7,80.5,1020.8,False,25.0,56,1.2
9,0 days 00:09:10.002000,21.7,81.0,1020.9,False,25.0,30,0.9
10,0 days 00:10:09.901000,21.8,79.7,1020.8,True,25.0,77,1.2
11,0 days 00:11:09.914000,21.8,79.7,1020.9,True,25.1,47,1.0
12,0 days 00:12:09.929000,21.7,80.2,1020.9,True,25.1,9,0.8
13,0 days 00:13:09.945000,21.7,80.5,1020.8,False,24.9,44,0.8
14,0 days 00:14:09.960000,21.8,80.7,1020.8,False,24.9,52,0.9
15,0 days 00:15:09.975000,21.8,80.0,1020.8,False,25.0,310,0.7
16,0 days 00:16:09.988000,21.9,79.8,1020.7,False,25.1,3,0.4
17,0 days 00:17:10.004000,21.9,80.0,1020.8,False,25.3,352,0.6
18,0 days 00:18:10.024000,22.1,79.8,1020.7,False,25.5,0,0.5
19,0 days 00:19:10.099000,22.3,78.8,1020.7,False,25.6,60,0.6
20,0 days 00:20:10.277000,22.4,77.9,1020.8,False,26.2,83,0.7
21,0 days 00:21:10.065000,22.3,77.8,1020.7,False,26.5,131,0.7
22,0 days 00:22:10.079000,22.4,77.5,1020.7,False,26.0,179,0.6
23,0 days 00:23:10.100000,22.5,77.1,1020.7,False,26.0,122,0.9
24,0 days 00:24:10.109000,22.5,77.4,1020.7,False,26.0,200,1.1
25,0 days 00:25:10.174000,22.5,77.2,1020.7,False,25.9,121,1.0
26,0 days 00:26:10.141000,22.5,74.9,1020.7,False,25.9,13,1.0
27,0 days 00:27:10.154000,22.4,75.2,1020.6,False,25.7,0,0.5
28,0 days 00:28:10.168000,22.4,76.4,1020.7,True,25.7,110,0.6
29,0 days 00:29:10.190000,22.4,72.6,1020.6,True,25.9,6,0.8
30,0 days 00:30:10.199000,22.4,72.5,1020.6,False,26.4,25,0.6
31,0 days 00:31:10.213000,22.5,73.6,1020.7,False,26.4,11,0.8
32,0 days 00:32:10.229000,22.6,73.7,1020.6,False,26.4,14,0.9
33,0 days 00:33:10.243000,22.5,70.9,1020.7,False,26.4,4,1.0
34,0 days 00:34:10.292000,22.5,72.2,1020.7,False,26.2,10,1.2
35,0 days 00:35:10.305000,22.4,73.5,1020.7,False,26.1,22,1.3
36,0 days 00:36:10.511000,22.3,72.3,1020.6,False,25.7,14,0.9
37,0 days 00:37:10.423000,22.3,72.2,1020.7,False,25.5,20,0.6
38,0 days 00:38:10.332000,22.3,72.6,1020.6,False,25.6,33,0.5
39,0 days 00:39:10.333000,22.3,72.1,1020.6,False,25.6,15,0.7
40,0 days 00:40:10.345000,22.4,72.7,1020.6,False,25.5,176,0.0
41,0 days 00:41:10.362000,22.6,72.1,1020.5,False,25.6,132,1.0
42,0 days 00:42:10.385000,22.6,72.6,1020.5,False,25.8,84,0.6
43,0 days 00:43:10.390000,22.6,73.6,1020.6,False,25.7,338,0.6
44,0 days 00:44:10.405000,22.6,73.7,1020.5,False,25.7,133,0.6
45,0 days 00:45:10.421000,22.8,73.0,1020.5,False,26.0,193,0.8
46,0 days 00:46:10.759000,22.8,72.9,1020.5,False,26.0,42,1.0
47,0 days 00:47:10.452000,22.7,72.3,1020.5,False,26.0,9,1.0
48,0 days 00:48:10.547000,22.7,73.4,1020.5,False,25.8,349,0.9
49,0 days 00:49:10.481000,22.7,73.3,1020.5,False,25.7,117,0.7
50,0 days 00:50:10.494000,22.8,73.2,1020.4,False,25.8,7,0.7
51,0 days 00:51:10.509000,22.7,74.2,1020.5,False,25.8,357,1.1
52,0 days 00:52:10.526000,22.7,74.0,1020.4,False,25.7,0,0.8
53,0 days 00:53:10.540000,22.7,74.0,1020.5,False,25.7,356,1.1
54,0 days 00:54:10.555000,22.7,74.2,1020.4,False,25.7,359,0.5
55,0 days 00:55:10.566000,22.7,74.0,1020.3,False,25.6,6,0.9
56,0 days 00:56:10.577000,22.6,74.0,1020.3,False,25.5,18,1.0
57,0 days 00:57:10.589000,22.5,73.5,1020.4,False,25.4,34,1.2
58,0 days 00:58:10.603000,22.4,75.0,1020.3,False,25.4,90,1.3
59,0 days 00:59:10.615000,22.4,74.8,1020.3,False,25.4,41,0.9
60,0 days 01:00:10.625000,22.4,73.6,1020.3,False,25.5,26,0.8
61,0 days 01:01:10.637000,22.3,73.0,1020.3,False,25.7,38,1.3
62,0 days 01:02:10.650000,22.2,71.9,1020.2,False,25.7,0,1.0
63,0 days 01:03:10.685000,22.3,71.7,1020.1,False,25.7,12,0.3
64,0 days 01:04:10.675000,22.3,73.2,1020.1,False,25.7,24,0.9
65,0 days 01:05:10.812000,22.4,72.7,1020.1,False,25.9,5,0.8
66,0 days 01:06:11.411000,22.5,71.8,1020.1,False,26.2,22,0.7
67,0 days 01:07:10.709000,22.6,72.2,1020.1,False,26.1,351,0.0
68,0 days 01:08:10.763000,22.6,72.9,1020.1,False,26.0,26,0.5
69,0 days 01:09:10.835000,22.6,73.2,1020.1,False,26.0,0,0.5
70,0 days 01:10:10.746000,22.7,71.6,1020.1,False,26.1,0,0.4
71,0 days 01:11:10.759000,22.8,71.6,1020.1,False,26.2,37,0.7
72,0 days 01:12:10.777000,22.9,71.5,1020.0,False,26.3,35,0.8
73,0 days 01:13:10.810000,22.9,72.1,1020.1,False,26.4,14,0.8
74,0 days 01:14:10.852000,22.9,72.8,1020.1,False,26.5,8,0.8
75,0 days 01:15:10.936000,22.7,72.5,1020.0,False,26.4,36,0.8
76,0 days 01:16:10.851000,22.6,73.2,1020.0,False,26.2,43,0.9
77,0 days 01:17:10.899000,22.7,73.0,1020.0,False,26.2,53,0.4
78,0 days 01:18:10.847000,22.7,73.4,1019.9,False,26.6,22,0.4
79,0 days 01:19:10.883000,22.7,74.0,1020.0,False,26.7,57,0.6
80,0 days 01:20:10.873000,22.9,73.7,1019.9,False,26.9,69,0.4
81,0 days 01:21:11.113000,22.9,73.6,1020.0,False,26.9,32,0.8
82,0 days 01:22:11.056000,22.7,74.2,1019.9,False,26.9,152,0.6
83,0 days 01:23:10.910000,22.7,74.7,1019.9,False,26.7,36,0.8
84,0 days 01:24:10.927000,22.7,75.3,1019.9,False,26.5,26,0.6
85,0 days 01:25:11.077000,22.6,76.2,1020.0,False,26.3,17,1.0
86,0 days 01:26:10.948000,22.5,76.2,1019.9,False,26.3,34,1.4
87,0 days 01:27:10.962000,22.5,76.4,1019.9,False,26.1,58,1.3
88,0 days 01:28:10.975000,22.4,76.6,1019.9,False,26.1,358,1.5
89,0 days 01:29:10.985000,22.4,76.9,1019.8,False,26.2,38,1.1
