,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:12.600000,22.1,69.5,1017.4,False,38.8,152,0.9
1,0 days 00:01:12.615000,21.7,70.4,1017.4,False,39.6,331,0.7
2,0 days 00:02:12.628000,21.3,72.4,1017.5,False,39.2,290,0.7
3,0 days 00:03:12.642000,21.2,72.8,1017.4,False,39.2,199,0.7
4,0 days 00:04:12.659000,21.1,73.9,1017.4,False,39.6,171,0.7
5,0 days 00:05:12.671000,21.3,72.7,1017.4,False,40.0,184,0.6
6,0 days 00:06:12.685000,21.5,72.0,1017.4,False,39.8,0,0.8
7,0 days 00:07:12.699000,21.5,72.3,1017.3,False,39.9,160,0.5
8,0 days 00:08:12.713000,21.3,73.0,1017.4,False,39.3,194,1.6
9,0 days 00:09:12.747000,21.3,73.1,1017.4,False,39.4,152,0.7
10,0 days 00:10:12.741000,21.5,72.2,1017.4,False,39.7,151,1.3
11,0 days 00:11:12.757000,21.9,71.1,1017.3,False,40.5,181,1.3
12,0 days 00:12:12.769000,22.4,69.2,1017.4,False,40.8,151,1.4
13,0 days 00:13:12.782000,22.7,68.4,1017.4,False,41.2,168,1.3
14,0 days 00:14:12.796000,23.3,66.3,1017.3,False,42.1,170,0.8
15,0 days 00:15:12.812000,23.7,64.5,1017.4,False,42.1,176,0.8
16,0 days 00:16:12.825000,23.9,64.1,1017.4,False,42.1,171,1.3
17,0 days 00:17:12.842000,23.7,64.9,1017.3,False,42.0,173,1.7
18,0 days 00:18:12.853000,23.3,65.6,1017.3,False,41.2,166,1.5
19,0 days 00:19:12.868000,23.3,65.6,1017.3,False,40.2,214,1.3
20,0 days 00:20:12.884000,23.2,66.0,1017.2,False,38.5,168,0.8
21,0 days 00:21:12.895000,23.2,65.7,1017.2,False,38.4,175,0.8
22,0 days 00:22:12.933000,23.3,65.1,1017.3,False,37.3,204,1.7
23,0 days 00:23:12.930000,22.7,67.8,1017.2,False,36.9,28,1.4
24,0 days 00:24:12.937000,22.9,67.1,1017.2,False,36.9,162,0.6
25,0 days 00:25:12.951000,22.7,67.5,1017.2,False,36.8,204,0.9
26,0 days 00:26:12.965000,22.4,68.5,1017.2,False,35.9,259,0.9
27,0 days 00:27:12.980000,22.4,68.5,1017.2,False,35.9,259,0.9
28,0 days 00:28:12.994000,22.2,70.0,1017.3,False,35.9,185,0.9
29,0 days 00:29:13.016000,22.4,69.6,1017.3,False,37.3,150,0.7
30,0 days 00:30:13.021000,22.7,68.1,1017.3,False,38.8,262,0.9
31,0 days 00:31:13.036000,22.7,68.4,1017.2,False,38.8,0,0.8
32,0 days 00:32:13.048000,22.7,68.3,1017.3,False,38.8,316,0.5
33,0 days 00:33:13.064000,22.6,68.8,1017.3,False,38.5,292,1.1
34,0 days 00:34:13.078000,22.1,70.3,1017.2,False,37.9,315,0.9
35,0 days 00:35:13.092000,21.8,71.8,1017.3,False,36.5,346,1.0
36,0 days 00:36:13.104000,22.1,70.6,1017.3,False,37.9,316,1.4
37,0 days 00:37:13.118000,22.1,70.1,1017.3,False,37.9,312,1.6
38,0 days 00:38:13.131000,22.1,70.1,1017.3,False,37.2,318,1.4
39,0 days 00:39:13.147000,21.9,70.6,1017.3,False,36.9,300,1.6
40,0 days 00:40:13.160000,21.7,71.6,1017.2,False,35.9,316,1.3
41,0 days 00:41:13.173000,21.5,72.7,1017.3,False,35.5,312,1.2
42,0 days 00:42:13.187000,21.6,72.1,1017.3,False,35.5,300,1.5
43,0 days 00:43:13.201000,21.7,72.3,1017.2,False,35.5,310,1.3
44,0 days 00:44:13.223000,21.8,71.7,1017.3,False,36.3,306,1.5
45,0 days 00:45:13.230000,21.7,72.1,1017.2,False,36.3,304,1.0
46,0 days 00:46:13.244000,21.8,71.6,1017.1,False,36.3,308,1.0
47,0 days 00:47:13.258000,22.0,71.0,1017.2,False,36.3,320,1.2
48,0 days 00:48:13.272000,22.3,70.7,1017.1,False,36.6,52,1.0
49,0 days 00:49:13.284000,22.7,68.1,1017.1,False,37.6,198,0.6
50,0 days 00:50:13.303000,22.9,67.7,1017.1,False,38.5,0,1.5
51,0 days 00:51:13.316000,23.0,66.9,1017.1,False,38.1,247,0.9
52,0 days 00:52:13.330000,23.2,67.0,1017.1,False,38.5,227,1.1
53,0 days 00:53:13.342000,23.4,66.4,1017.1,False,39.0,210,1.1
54,0 days 00:54:13.358000,23.4,66.2,1017.1,False,38.9,177,1.7
55,0 days 00:55:13.370000,23.4,66.1,1017.1,False,39.0,182,1.3
56,0 days 00:56:13.383000,23.4,66.1,1017.1,False,39.0,177,1.3
57,0 days 00:57:13.397000,23.4,64.8,1017.0,False,39.1,160,2.4
58,0 days 00:58:13.410000,22.8,67.3,1017.0,False,39.0,167,1.6
59,0 days 00:59:13.426000,23.0,66.9,1017.0,False,39.3,258,1.5
60,0 days 01:00:13.439000,23.3,65.7,1017.0,False,39.4,264,0.9
61,0 days 01:01:13.453000,23.3,65.5,1017.0,False,39.1,148,0.5
62,0 days 01:02:13.468000,23.3,65.2,1017.0,False,38.9,282,0.8
63,0 days 01:03:13.483000,23.3,65.4,1017.0,False,38.4,277,0.9
64,0 days 01:04:13.498000,23.3,65.3,1017.0,False,38.6,262,0.7
65,0 days 01:05:13.511000,23.4,64.7,1017.0,False,38.7,0,0.8
66,0 days 01:06:13.525000,23.3,65.2,1016.9,False,39.5,229,0.0
67,0 days 01:07:13.538000,23.2,65.9,1016.9,False,39.5,304,0.7
68,0 days 01:08:13.553000,23.5,64.6,1016.9,False,39.9,244,0.5
69,0 days 01:09:13.568000,23.3,65.9,1016.8,False,40.5,169,0.8
70,0 days 01:10:13.580000,23.3,65.7,1016.8,False,40.1,158,0.9
71,0 days 01:11:13.595000,23.5,65.3,1016.8,False,39.6,0,0.8
72,0 days 01:12:13.609000,23.4,65.4,1016.9,False,38.5,209,1.1
73,0 days 01:13:13.625000,23.0,67.0,1016.9,False,38.2,201,1.2
74,0 days 01:14:13.636000,22.9,67.8,1017.0,False,37.1,169,1.4
75,0 days 01:15:13.650000,23.1,66.4,1016.9,False,36.6,189,1.0
76,0 days 01:16:13.664000,23.1,66.5,1017.0,False,36.4,178,0.9
77,0 days 01:17:13.680000,23.3,65.6,1016.8,False,36.8,182,0.9
78,0 days 01:18:13.694000,23.3,65.7,1016.9,False,36.8,199,0.8
79,0 days 01:19:13.708000,22.9,66.9,1016.8,False,35.8,173,0.8
80,0 days 01:20:13.722000,22.7,67.5,1016.9,False,35.3,162,1.2
81,0 days 01:21:13.736000,22.7,67.5,1016.9,False,35.3,162,1.2
82,0 days 01:22:13.752000,22.8,66.7,1016.9,False,34.4,207,1.1
83,0 days 01:23:13.766000,22.5,68.2,1016.9,False,34.4,156,1.5
84,0 days 01:24:13.779000,22.4,68.8,1016.7,False,34.2,169,1.9
85,0 days 01:25:13.793000,22.2,70.1,1016.6,False,34.5,166,2.0
86,0 days 01:26:13.808000,22.4,69.4,1016.7,False,35.3,167,1.1
87,0 days 01:27:13.822000,22.9,68.3,1016.7,False,36.6,152,1.8
