,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:05:23.316000,VAN,2,0 days 00:01:31.205000,1.0,,0 days 00:03:53.119000,,28.3,41.245,21.66,0 days 00:04:20.418000,0 days 00:05:01.656000,0 days 00:05:23.356000,166.0,171.0,266.0,236.0,False,nan,,True,McLaren,0 days 00:03:53.119000,2018-05-26 10:00:04.135,,,False,,False,False,91.205,91.205
1,0 days 00:18:04.387000,VAN,2,,2.0,1.0,,0 days 00:06:35.971000,20.325,36.115,,0 days 00:05:43.650000,0 days 00:06:19.758000,,207.0,188.0,,276.0,False,HYPERSOFT,1.0,True,McLaren,0 days 00:05:23.316000,2018-05-26 10:01:34.332,21,,False,,False,False,,
2,0 days 00:19:35.701000,VAN,2,0 days 00:01:31.314000,3.0,2.0,0 days 00:18:05.010000,,26.289,39.367,25.658,0 days 00:18:30.676000,0 days 00:19:10.043000,0 days 00:19:35.701000,188.0,166.0,268.0,248.0,False,HYPERSOFT,3.0,False,McLaren,0 days 00:18:04.387000,2018-05-26 10:14:15.403,1,,False,,False,False,91.314,91.31400000000001
3,0 days 00:20:49.181000,VAN,2,0 days 00:01:13.480000,4.0,2.0,,,19.413,34.514,19.553,0 days 00:19:55.114000,0 days 00:20:29.628000,0 days 00:20:49.181000,217.0,198.0,268.0,280.0,True,HYPERSOFT,4.0,False,McLaren,0 days 00:19:35.701000,2018-05-26 10:15:46.717,1,,False,,False,True,73.48,73.48
4,0 days 00:22:20.723000,VAN,2,0 days 00:01:31.542000,5.0,2.0,,,24.97,43.44,23.132,0 days 00:21:14.151000,0 days 00:21:57.591000,0 days 00:22:20.723000,162.0,135.0,266.0,222.0,False,HYPERSOFT,5.0,False,McLaren,0 days 00:20:49.181000,2018-05-26 10:17:00.197,1,,False,,False,True,91.542,91.542
5,0 days 00:23:33.914000,VAN,2,0 days 00:01:13.191000,6.0,2.0,,,19.318,34.448,19.425,0 days 00:22:40.041000,0 days 00:23:14.489000,0 days 00:23:33.914000,219.0,199.0,267.0,277.0,True,HYPERSOFT,6.0,False,McLaren,0 days 00:22:20.723000,2018-05-26 10:18:31.739,1,,False,,False,True,73.191,73.191
6,0 days 00:25:04.633000,VAN,2,0 days 00:01:30.719000,7.0,2.0,,,24.445,41.915,24.359,0 days 00:23:58.359000,0 days 00:24:40.274000,0 days 00:25:04.633000,164.0,167.0,269.0,253.0,False,HYPERSOFT,7.0,False,McLaren,0 days 00:23:33.914000,2018-05-26 10:19:44.930,1,,False,,False,True,90.719,90.719
7,0 days 00:26:28.696000,VAN,2,0 days 00:01:24.063000,8.0,2.0,,,19.27,37.335,27.458,0 days 00:25:23.903000,0 days 00:26:01.238000,0 days 00:26:28.696000,221.0,140.0,196.0,281.0,False,HYPERSOFT,8.0,False,McLaren,0 days 00:25:04.633000,2018-05-26 10:21:15.649,1,,False,,False,True,84.063,84.063
8,0 days 00:28:01.737000,VAN,2,0 days 00:01:33.041000,9.0,2.0,,,25.211,40.724,27.106,0 days 00:26:53.907000,0 days 00:27:34.631000,0 days 00:28:01.737000,177.0,175.0,268.0,247.0,False,HYPERSOFT,9.0,False,McLaren,0 days 00:26:28.696000,2018-05-26 10:22:39.712,1,,False,,False,True,93.041,93.041
9,0 days 00:29:15.511000,VAN,2,0 days 00:01:13.774000,10.0,2.0,,,19.545,34.673,19.556,0 days 00:28:21.282000,0 days 00:28:55.955000,0 days 00:29:15.511000,216.0,201.0,266.0,278.0,False,HYPERSOFT,10.0,False,McLaren,0 days 00:28:01.737000,2018-05-26 10:24:12.753,1,,False,,False,True,73.774,73.774
10,0 days 00:40:41.798000,VAN,2,,11.0,2.0,,0 days 00:30:33.273000,22.55,39.048,,0 days 00:29:38.066000,0 days 00:30:17.117000,,176.0,178.0,,254.0,False,HYPERSOFT,11.0,False,McLaren,0 days 00:29:15.511000,2018-05-26 10:25:26.527,12,,False,,False,False,,
11,0 days 00:42:10.782000,VAN,2,0 days 00:01:28.984000,12.0,3.0,0 days 00:40:42.415000,,26.52,40.356,22.108,0 days 00:41:08.318000,0 days 00:41:48.674000,0 days 00:42:10.782000,185.0,164.0,266.0,221.0,False,HYPERSOFT,1.0,True,McLaren,0 days 00:40:41.798000,2018-05-26 10:36:52.814,1,,False,,False,False,88.984,88.98400000000001
12,0 days 00:43:23.656000,VAN,2,0 days 00:01:12.874000,13.0,3.0,,,19.25,34.293,19.331,0 days 00:42:30.032000,0 days 00:43:04.325000,0 days 00:43:23.656000,218.0,203.0,265.0,277.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:42:10.782000,2018-05-26 10:38:21.798,1,,False,,False,True,72.874,72.874
13,0 days 00:44:58.118000,VAN,2,0 days 00:01:34.462000,14.0,3.0,,,25.18,43.152,26.13,0 days 00:43:48.836000,0 days 00:44:31.988000,0 days 00:44:58.118000,171.0,156.0,267.0,252.0,False,HYPERSOFT,3.0,True,McLaren,0 days 00:43:23.656000,2018-05-26 10:39:34.672,1,,False,,False,True,94.462,94.46199999999999
14,0 days 00:46:11.426000,VAN,2,0 days 00:01:13.308000,15.0,3.0,,,19.187,34.459,19.662,0 days 00:45:17.305000,0 days 00:45:51.764000,0 days 00:46:11.426000,220.0,199.0,268.0,280.0,False,HYPERSOFT,4.0,True,McLaren,0 days 00:44:58.118000,2018-05-26 10:41:09.134,1,,False,,False,True,73.308,73.30799999999999
15,0 days 00:47:45.825000,VAN,2,0 days 00:01:34.399000,16.0,3.0,,,23.643,45.692,25.064,0 days 00:46:35.069000,0 days 00:47:20.761000,0 days 00:47:45.825000,168.0,166.0,268.0,253.0,False,HYPERSOFT,5.0,True,McLaren,0 days 00:46:11.426000,2018-05-26 10:42:22.442,1,,False,,False,True,94.399,94.399
16,0 days 00:48:59.191000,VAN,2,0 days 00:01:13.366000,17.0,3.0,,,19.328,34.624,19.414,0 days 00:48:05.153000,0 days 00:48:39.777000,0 days 00:48:59.191000,219.0,200.0,269.0,281.0,False,HYPERSOFT,6.0,True,McLaren,0 days 00:47:45.825000,2018-05-26 10:43:56.841,1,,False,,False,True,73.366,73.366
17,0 days 00:50:34.619000,VAN,2,0 days 00:01:35.428000,18.0,3.0,,,25.403,46.7,23.325,0 days 00:49:24.594000,0 days 00:50:11.294000,0 days 00:50:34.619000,121.0,167.0,268.0,200.0,False,HYPERSOFT,7.0,True,McLaren,0 days 00:48:59.191000,2018-05-26 10:45:10.207,1,,False,,False,True,95.428,95.42800000000001
18,0 days 00:51:52.445000,VAN,2,0 days 00:01:17.826000,19.0,3.0,,,19.191,34.729,23.906,0 days 00:50:53.810000,0 days 00:51:28.539000,0 days 00:51:52.445000,219.0,201.0,243.0,280.0,False,HYPERSOFT,8.0,True,McLaren,0 days 00:50:34.619000,2018-05-26 10:46:45.635,12,,False,,False,True,77.826,77.826
