,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:08:19.100000,GAS,10,0 days 00:01:31.614000,1.0,,,,,39.994,22.473,,0 days 00:07:56.688000,0 days 00:08:19.214000,164.0,182.0,251.0,273.0,False,nan,,True,Toro Rosso,0 days 00:06:47.319000,2018-05-27 13:12:47.349,2,10.0,False,,False,False,91.614,
1,0 days 00:09:39.719000,GAS,10,0 days 00:01:20.619000,2.0,1.0,,,21.571,37.371,21.677,0 days 00:08:40.682000,0 days 00:09:18.053000,0 days 00:09:39.730000,188.0,182.0,251.0,276.0,True,HYPERSOFT,6.0,False,Toro Rosso,0 days 00:08:19.100000,2018-05-27 13:14:19.130,21,10.0,False,,False,True,80.619,80.619
2,0 days 00:10:59.531000,GAS,10,0 days 00:01:19.812000,3.0,1.0,,,21.179,37.273,21.36,0 days 00:10:00.909000,0 days 00:10:38.182000,0 days 00:10:59.542000,195.0,183.0,257.0,272.0,True,HYPERSOFT,7.0,False,Toro Rosso,0 days 00:09:39.719000,2018-05-27 13:15:39.749,1,10.0,False,,False,True,79.812,79.812
3,0 days 00:12:19.093000,GAS,10,0 days 00:01:19.562000,4.0,1.0,,,21.05,37.245,21.267,0 days 00:11:20.592000,0 days 00:11:57.837000,0 days 00:12:19.104000,192.0,182.0,250.0,270.0,True,HYPERSOFT,8.0,False,Toro Rosso,0 days 00:10:59.531000,2018-05-27 13:16:59.561,1,10.0,False,,False,True,79.562,79.562
4,0 days 00:13:38.493000,GAS,10,0 days 00:01:19.400000,5.0,1.0,,,21.054,37.039,21.307,0 days 00:12:40.158000,0 days 00:13:17.197000,0 days 00:13:38.504000,193.0,185.0,257.0,272.0,True,HYPERSOFT,9.0,False,Toro Rosso,0 days 00:12:19.093000,2018-05-27 13:18:19.123,1,10.0,False,,False,True,79.4,79.4
5,0 days 00:14:57.982000,GAS,10,0 days 00:01:19.489000,6.0,1.0,,,21.065,37.066,21.358,0 days 00:13:59.569000,0 days 00:14:36.635000,0 days 00:14:57.993000,194.0,181.0,255.0,273.0,False,HYPERSOFT,10.0,False,Toro Rosso,0 days 00:13:38.493000,2018-05-27 13:19:38.523,1,10.0,False,,False,True,79.489,79.489
6,0 days 00:16:17.748000,GAS,10,0 days 00:01:19.766000,7.0,1.0,,,20.983,37.224,21.559,0 days 00:15:18.976000,0 days 00:15:56.200000,0 days 00:16:17.759000,192.0,185.0,253.0,272.0,False,HYPERSOFT,11.0,False,Toro Rosso,0 days 00:14:57.982000,2018-05-27 13:20:58.012,1,10.0,False,,False,True,79.766,79.76599999999999
7,0 days 00:17:37.245000,GAS,10,0 days 00:01:19.497000,8.0,1.0,,,21.03,37.135,21.332,0 days 00:16:38.789000,0 days 00:17:15.924000,0 days 00:17:37.256000,194.0,187.0,252.0,269.0,False,HYPERSOFT,12.0,False,Toro Rosso,0 days 00:16:17.748000,2018-05-27 13:22:17.778,1,10.0,False,,False,True,79.497,79.497
8,0 days 00:18:56.591000,GAS,10,0 days 00:01:19.346000,9.0,1.0,,,20.944,36.986,21.416,0 days 00:17:58.200000,0 days 00:18:35.186000,0 days 00:18:56.602000,196.0,186.0,251.0,269.0,True,HYPERSOFT,13.0,False,Toro Rosso,0 days 00:17:37.245000,2018-05-27 13:23:37.275,1,10.0,False,,False,True,79.346,79.34599999999999
9,0 days 00:20:15.784000,GAS,10,0 days 00:01:19.193000,10.0,1.0,,,20.824,37.136,21.233,0 days 00:19:17.426000,0 days 00:19:54.562000,0 days 00:20:15.795000,199.0,186.0,251.0,275.0,True,HYPERSOFT,14.0,False,Toro Rosso,0 days 00:18:56.591000,2018-05-27 13:24:56.621,1,10.0,False,,False,True,79.193,79.19300000000001
10,0 days 00:21:35.498000,GAS,10,0 days 00:01:19.714000,11.0,1.0,,,21.002,37.239,21.473,0 days 00:20:36.797000,0 days 00:21:14.036000,0 days 00:21:35.509000,195.0,184.0,251.0,273.0,False,HYPERSOFT,15.0,False,Toro Rosso,0 days 00:20:15.784000,2018-05-27 13:26:15.814,1,10.0,False,,False,True,79.714,79.714
11,0 days 00:22:54.616000,GAS,10,0 days 00:01:19.118000,12.0,1.0,,,20.958,36.96,21.2,0 days 00:21:56.467000,0 days 00:22:33.427000,0 days 00:22:54.627000,198.0,188.0,250.0,271.0,True,HYPERSOFT,16.0,False,Toro Rosso,0 days 00:21:35.498000,2018-05-27 13:27:35.528,1,10.0,False,,False,True,79.118,79.118
