,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:01.264000,23.1,62.8,1016.7,False,31.1,175,2.2
1,0 days 00:01:01.279000,23.4,62.9,1016.7,False,31.7,174,1.5
2,0 days 00:02:01.293000,23.3,62.5,1016.7,False,31.2,181,2.3
3,0 days 00:03:01.308000,23.3,62.8,1016.7,False,31.2,176,1.6
4,0 days 00:04:01.321000,23.4,62.5,1016.7,False,31.0,164,1.7
5,0 days 00:05:01.335000,23.5,61.7,1016.8,False,31.6,168,1.7
6,0 days 00:06:01.347000,23.4,61.8,1016.8,False,31.9,191,1.8
7,0 days 00:07:01.363000,23.4,62.4,1016.8,False,31.8,173,1.7
8,0 days 00:08:01.378000,23.5,61.5,1016.7,False,32.6,184,1.9
9,0 days 00:09:01.391000,23.5,61.5,1016.7,False,32.6,184,1.9
10,0 days 00:10:01.406000,23.5,61.6,1016.8,False,32.0,175,2.3
11,0 days 00:11:01.422000,23.3,61.8,1016.8,False,31.6,173,2.4
12,0 days 00:12:01.437000,23.2,62.3,1016.7,False,31.4,171,2.1
13,0 days 00:13:01.447000,23.2,62.1,1016.8,False,31.2,167,2.0
14,0 days 00:14:01.462000,23.2,62.3,1016.8,False,31.1,184,1.7
15,0 days 00:15:01.477000,23.1,62.2,1016.7,False,30.7,165,2.4
16,0 days 00:16:01.491000,23.0,62.7,1016.8,False,30.5,162,2.1
17,0 days 00:17:01.504000,23.0,62.7,1016.8,False,30.6,182,2.1
18,0 days 00:18:01.518000,23.0,63.3,1016.8,False,30.4,203,1.8
19,0 days 00:19:01.537000,23.0,62.9,1016.7,False,30.4,185,1.5
20,0 days 00:20:01.546000,23.2,62.8,1016.8,False,30.1,160,2.0
21,0 days 00:21:01.569000,23.2,62.5,1016.8,False,30.1,154,2.3
22,0 days 00:22:01.576000,23.2,62.4,1016.7,False,30.0,179,1.9
23,0 days 00:23:01.588000,23.2,62.5,1016.8,False,30.1,178,1.5
24,0 days 00:24:01.602000,23.2,62.2,1016.8,False,30.0,194,1.6
25,0 days 00:25:01.616000,23.2,62.5,1016.7,False,30.4,193,1.7
26,0 days 00:26:01.630000,23.2,62.1,1016.7,False,30.6,194,1.6
27,0 days 00:27:01.643000,23.2,62.0,1016.7,False,30.6,186,2.0
28,0 days 00:28:01.657000,23.2,62.2,1016.7,False,31.1,191,1.9
29,0 days 00:29:01.670000,23.1,62.2,1016.7,False,31.7,160,1.6
30,0 days 00:30:01.686000,23.0,62.6,1016.6,False,31.9,159,0.8
31,0 days 00:31:01.698000,23.1,62.3,1016.6,False,31.9,78,0.5
32,0 days 00:32:01.711000,23.0,62.4,1016.6,False,32.4,168,0.7
33,0 days 00:33:01.725000,23.2,62.4,1016.6,False,32.7,156,1.6
34,0 days 00:34:01.739000,23.1,62.8,1016.6,False,32.7,158,1.6
35,0 days 00:35:01.752000,23.3,62.0,1016.5,False,32.7,181,1.7
36,0 days 00:36:01.768000,23.4,61.2,1016.6,False,33.3,183,1.9
37,0 days 00:37:01.782000,23.4,61.5,1016.6,False,33.3,164,1.4
38,0 days 00:38:01.794000,23.3,61.5,1016.5,False,32.9,126,0.8
39,0 days 00:39:01.809000,23.2,61.9,1016.5,False,33.1,127,0.8
40,0 days 00:40:01.820000,23.3,61.6,1016.5,False,33.2,96,0.7
41,0 days 00:41:01.835000,23.5,60.9,1016.5,False,33.8,163,1.0
42,0 days 00:42:01.848000,23.7,60.5,1016.4,False,34.1,178,1.1
43,0 days 00:43:01.863000,23.8,60.1,1016.5,False,34.3,185,1.8
44,0 days 00:44:01.875000,23.9,59.8,1016.5,False,34.3,190,1.1
45,0 days 00:45:01.891000,24.0,59.0,1016.4,False,34.3,181,1.8
46,0 days 00:46:01.903000,23.9,59.5,1016.4,False,34.3,172,1.3
47,0 days 00:47:01.917000,23.7,60.1,1016.5,False,34.2,182,2.1
48,0 days 00:48:01.932000,23.6,60.3,1016.5,False,34.0,158,2.1
49,0 days 00:49:01.969000,23.5,60.9,1016.5,False,34.4,164,2.0
50,0 days 00:50:01.961000,23.7,60.2,1016.5,False,34.6,173,1.9
51,0 days 00:51:01.976000,23.8,60.1,1016.5,False,34.9,156,1.6
52,0 days 00:52:01.986000,23.8,60.0,1016.5,False,34.9,167,1.0
53,0 days 00:53:02,23.8,60.1,1016.5,False,34.9,171,1.2
54,0 days 00:54:02.017000,23.9,59.8,1016.4,False,35.0,189,1.8
55,0 days 00:55:02.030000,23.9,59.4,1016.5,False,35.5,174,1.9
56,0 days 00:56:02.042000,23.6,60.5,1016.4,False,35.0,135,2.0
57,0 days 00:57:02.053000,23.6,60.5,1016.4,False,35.0,135,2.0
58,0 days 00:58:02.067000,23.6,60.1,1016.5,False,35.2,166,2.1
59,0 days 00:59:02.081000,23.6,60.4,1016.4,False,35.6,167,1.7
60,0 days 01:00:02.094000,23.9,59.5,1016.4,False,35.6,174,1.8
61,0 days 01:01:02.205000,23.8,59.5,1016.4,False,35.6,149,2.0
62,0 days 01:02:02.120000,23.5,60.7,1016.4,False,35.1,84,1.2
63,0 days 01:03:02.134000,23.3,61.5,1016.4,False,35.1,172,1.3
64,0 days 01:04:02.149000,23.4,61.1,1016.3,False,35.3,213,1.7
65,0 days 01:05:02.159000,23.7,60.2,1016.3,False,35.8,171,1.5
66,0 days 01:06:02.173000,23.6,60.2,1016.3,False,35.8,171,2.3
67,0 days 01:07:02.188000,23.7,59.9,1016.3,False,35.9,193,1.8
68,0 days 01:08:02.199000,23.8,59.6,1016.3,False,36.2,172,1.4
69,0 days 01:09:02.213000,24.0,59.0,1016.3,False,36.3,176,1.3
70,0 days 01:10:02.225000,24.1,58.3,1016.4,False,36.2,191,1.3
71,0 days 01:11:02.237000,24.0,58.7,1016.3,False,36.2,184,1.7
72,0 days 01:12:02.251000,24.0,59.0,1016.3,False,36.1,16,1.0
73,0 days 01:13:02.264000,24.0,58.8,1016.3,False,36.2,163,0.6
74,0 days 01:14:02.279000,24.2,58.7,1016.3,False,36.7,172,1.2
75,0 days 01:15:02.292000,24.2,58.9,1016.3,False,36.8,199,1.4
76,0 days 01:16:02.306000,24.2,59.2,1016.3,False,36.8,124,1.3
77,0 days 01:17:02.390000,24.1,58.9,1016.2,False,36.8,153,1.5
78,0 days 01:18:02.332000,24.0,59.3,1016.3,False,36.8,155,1.5
79,0 days 01:19:02.346000,23.8,60.4,1016.3,False,36.5,178,1.8
