,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:01:00.128000,18.6,81.0,1003.6,False,20.2,315,2.1
1,0 days 00:02:00.146000,18.6,81.2,1003.7,False,20.3,302,1.5
2,0 days 00:03:00.154000,18.6,81.3,1003.7,False,20.4,268,0.7
3,0 days 00:04:00.167000,18.6,81.2,1003.6,False,20.6,247,1.2
4,0 days 00:05:00.184000,18.6,81.2,1003.6,False,20.5,240,1.1
5,0 days 00:06:00.196000,18.6,81.4,1003.7,False,20.4,277,1.2
6,0 days 00:07:00.207000,18.6,81.3,1003.7,False,20.4,273,0.7
7,0 days 00:08:00.221000,18.6,81.3,1003.7,False,20.4,273,0.7
8,0 days 00:09:00.237000,18.7,81.2,1003.6,False,20.7,284,1.6
9,0 days 00:10:00.250000,18.6,80.7,1003.8,False,20.4,298,1.5
10,0 days 00:11:00.264000,18.6,80.8,1003.6,False,20.6,300,1.8
11,0 days 00:12:00.277000,18.6,80.9,1003.6,False,20.4,307,2.5
12,0 days 00:13:00.292000,18.6,81.1,1003.7,False,20.5,278,1.4
13,0 days 00:14:00.305000,18.6,80.9,1003.6,False,20.5,192,1.8
14,0 days 00:15:00.319000,18.5,81.4,1003.6,False,20.5,277,1.3
15,0 days 00:16:00.330000,18.5,81.4,1003.5,False,20.5,247,1.8
16,0 days 00:17:00.344000,18.5,81.4,1003.5,False,20.5,281,1.7
17,0 days 00:18:00.429000,18.5,81.1,1003.5,False,20.5,277,1.5
18,0 days 00:19:00.481000,18.6,80.9,1003.6,False,20.6,286,2.5
19,0 days 00:20:00.570000,18.6,80.7,1003.5,False,20.8,281,1.9
20,0 days 00:21:00.400000,18.7,80.4,1003.6,False,20.7,280,1.7
21,0 days 00:22:00.414000,18.7,80.7,1003.5,False,20.7,271,1.7
22,0 days 00:23:00.428000,18.7,80.5,1003.6,False,20.7,281,2.9
23,0 days 00:24:00.439000,18.7,80.6,1003.5,False,20.7,285,1.9
24,0 days 00:25:00.453000,18.7,80.4,1003.6,False,20.6,266,2.5
25,0 days 00:26:00.468000,18.6,80.5,1003.5,False,20.6,304,2.3
26,0 days 00:27:00.482000,18.6,80.8,1003.4,False,20.4,309,2.6
27,0 days 00:28:00.494000,18.6,80.8,1003.5,False,20.4,294,3.0
28,0 days 00:29:00.515000,18.5,80.9,1003.5,False,20.3,289,2.2
29,0 days 00:30:00.522000,18.5,80.9,1003.5,False,20.3,289,2.2
30,0 days 00:31:00.539000,18.6,81.3,1003.4,False,20.4,293,1.3
31,0 days 00:32:00.551000,18.6,81.1,1003.4,False,20.4,250,2.1
32,0 days 00:33:00.564000,18.5,81.4,1003.4,False,20.5,287,1.5
33,0 days 00:34:00.577000,18.5,81.4,1003.4,False,20.5,271,2.2
34,0 days 00:35:00.590000,18.6,81.1,1003.4,False,20.5,280,1.9
35,0 days 00:36:00.603000,18.5,81.0,1003.3,False,20.6,302,1.8
36,0 days 00:37:00.618000,18.6,80.8,1003.3,False,20.7,284,2.0
37,0 days 00:38:00.630000,18.6,80.8,1003.3,False,20.7,284,2.0
38,0 days 00:39:00.644000,18.6,81.1,1003.3,False,20.7,302,1.8
39,0 days 00:40:00.657000,18.6,81.0,1003.2,False,20.7,275,1.2
