,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:31.035000,GAS,10,0 days 00:01:52.851000,1.0,1.0,,,,43.282,36.885,,0 days 00:34:54.292000,0 days 00:35:31.152000,177.0,169.0,200.0,318.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:33:38.006000,2018-10-21 18:13:38.071,12,14.0,False,,False,False,112.851,
1,0 days 00:37:16.544000,GAS,10,0 days 00:01:45.509000,2.0,1.0,,,28.895,41.218,35.396,0 days 00:35:59.930000,0 days 00:36:41.148000,0 days 00:37:16.544000,194.0,174.0,199.0,309.0,True,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:35:31.035000,2018-10-21 18:15:31.100,1,15.0,False,,False,True,105.509,105.509
2,0 days 00:39:01.413000,GAS,10,0 days 00:01:44.869000,3.0,1.0,,,27.912,41.315,35.642,0 days 00:37:44.456000,0 days 00:38:25.771000,0 days 00:39:01.413000,202.0,170.0,197.0,330.0,True,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:37:16.544000,2018-10-21 18:17:16.609,12,15.0,False,,False,True,104.869,104.869
3,0 days 00:40:46.515000,GAS,10,0 days 00:01:45.102000,4.0,1.0,,,28.886,41.256,34.96,0 days 00:39:30.299000,0 days 00:40:11.555000,0 days 00:40:46.515000,204.0,170.0,199.0,307.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 00:39:01.413000,2018-10-21 18:19:01.478,1,16.0,False,,False,True,105.102,105.102
4,0 days 00:42:30.174000,GAS,10,0 days 00:01:43.659000,5.0,1.0,,,27.593,41.366,34.7,0 days 00:41:14.108000,0 days 00:41:55.474000,0 days 00:42:30.174000,204.0,171.0,199.0,305.0,True,SUPERSOFT,5.0,True,Toro Rosso,0 days 00:40:46.515000,2018-10-21 18:20:46.580,1,16.0,False,,False,True,103.659,103.659
5,0 days 00:44:14.102000,GAS,10,0 days 00:01:43.928000,6.0,1.0,,,27.631,41.239,35.058,0 days 00:42:57.805000,0 days 00:43:39.044000,0 days 00:44:14.102000,202.0,170.0,199.0,322.0,False,SUPERSOFT,6.0,True,Toro Rosso,0 days 00:42:30.174000,2018-10-21 18:22:30.239,1,16.0,False,,False,True,103.928,103.928
6,0 days 00:45:57.750000,GAS,10,0 days 00:01:43.648000,7.0,1.0,,,27.715,40.995,34.938,0 days 00:44:41.817000,0 days 00:45:22.812000,0 days 00:45:57.750000,198.0,175.0,199.0,319.0,True,SUPERSOFT,7.0,True,Toro Rosso,0 days 00:44:14.102000,2018-10-21 18:24:14.167,1,16.0,False,,False,True,103.648,103.648
7,0 days 00:47:41.817000,GAS,10,0 days 00:01:44.067000,8.0,1.0,,,27.712,41.372,34.983,0 days 00:46:25.462000,0 days 00:47:06.834000,0 days 00:47:41.817000,186.0,175.0,201.0,325.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 00:45:57.750000,2018-10-21 18:25:57.815,1,16.0,False,,False,True,104.067,104.06700000000001
8,0 days 00:49:25.753000,GAS,10,0 days 00:01:43.936000,9.0,1.0,,,27.68,41.334,34.922,0 days 00:48:09.497000,0 days 00:48:50.831000,0 days 00:49:25.753000,200.0,176.0,199.0,297.0,False,SUPERSOFT,9.0,True,Toro Rosso,0 days 00:47:41.817000,2018-10-21 18:27:41.882,12,15.0,False,,False,True,103.936,103.936
9,0 days 00:51:21.085000,GAS,10,0 days 00:01:55.332000,10.0,1.0,,0 days 00:51:20.085000,27.381,46.32,41.631,0 days 00:49:53.134000,0 days 00:50:39.454000,0 days 00:51:21.085000,195.0,93.0,,267.0,False,SUPERSOFT,10.0,True,Toro Rosso,0 days 00:49:25.753000,2018-10-21 18:29:25.818,26,14.0,False,,False,False,115.332,115.332
10,0 days 00:53:46.260000,GAS,10,0 days 00:02:25.175000,11.0,2.0,0 days 00:51:44.039000,,53.435,55.847,35.893,0 days 00:52:14.520000,0 days 00:53:10.367000,0 days 00:53:46.260000,133.0,171.0,201.0,257.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:51:21.085000,2018-10-21 18:31:21.150,671,15.0,False,,False,False,145.175,145.175
11,0 days 00:55:27.014000,GAS,10,0 days 00:01:40.754000,12.0,2.0,,,27.022,40.322,33.41,0 days 00:54:13.282000,0 days 00:54:53.604000,0 days 00:55:27.014000,217.0,178.0,201.0,302.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:53:46.260000,2018-10-21 18:33:46.325,1,15.0,False,,False,True,100.754,100.75399999999999
