,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:32:46.281000,RIC,3,,1.0,1.0,0 days 00:30:37.506000,,,51.257,53.698,,0 days 00:31:52.600000,0 days 00:32:46.409000,233.0,162.0,220.0,253.0,False,MEDIUM,1.0,True,Renault,0 days 00:30:37.506000,2019-11-29 13:15:37.655,1,,False,,False,False,,
1,0 days 00:34:25.480000,RIC,3,0 days 00:01:39.199000,2.0,1.0,,,17.644,42.118,39.437,0 days 00:33:03.925000,0 days 00:33:46.043000,0 days 00:34:25.480000,281.0,310.0,220.0,317.0,True,MEDIUM,2.0,True,Renault,0 days 00:32:46.281000,2019-11-29 13:17:46.430,1,,False,,False,True,99.199,99.199
2,0 days 00:36:52.535000,RIC,3,0 days 00:02:27.055000,3.0,1.0,,,25.715,63.86,57.48,0 days 00:34:51.195000,0 days 00:35:55.055000,0 days 00:36:52.535000,238.0,240.0,221.0,181.0,False,MEDIUM,3.0,True,Renault,0 days 00:34:25.480000,2019-11-29 13:19:25.629,1,,False,,False,True,147.055,147.055
3,0 days 00:38:31.657000,RIC,3,0 days 00:01:39.122000,4.0,1.0,,,17.609,42.196,39.317,0 days 00:37:10.144000,0 days 00:37:52.340000,0 days 00:38:31.657000,280.0,307.0,214.0,312.0,True,MEDIUM,4.0,True,Renault,0 days 00:36:52.535000,2019-11-29 13:21:52.684,1,,False,,False,True,99.122,99.122
4,0 days 00:40:36.569000,RIC,3,0 days 00:02:04.912000,5.0,1.0,,0 days 00:40:36.267000,21.711,52.664,50.537,0 days 00:38:53.368000,0 days 00:39:46.032000,0 days 00:40:36.569000,250.0,253.0,,198.0,False,MEDIUM,5.0,True,Renault,0 days 00:38:31.657000,2019-11-29 13:23:31.806,1,,False,,False,False,124.912,124.912
5,0 days 00:57:36.445000,RIC,3,,6.0,2.0,0 days 00:55:17.108000,,,60.408,54.213,,0 days 00:56:42.256000,0 days 00:57:36.569000,231.0,227.0,223.0,193.0,False,SOFT,1.0,True,Renault,0 days 00:40:36.569000,2019-11-29 13:25:36.718,1,,False,,False,False,,
6,0 days 00:59:15.068000,RIC,3,0 days 00:01:38.623000,7.0,2.0,,,17.613,41.957,39.053,0 days 00:57:54.058000,0 days 00:58:36.015000,0 days 00:59:15.068000,286.0,314.0,222.0,323.0,True,SOFT,2.0,True,Renault,0 days 00:57:36.445000,2019-11-29 13:42:36.594,1,,False,,False,True,98.623,98.62299999999999
7,0 days 01:01:38.178000,RIC,3,0 days 00:02:23.110000,8.0,2.0,,,23.171,64.096,55.843,0 days 00:59:38.239000,0 days 01:00:42.335000,0 days 01:01:38.178000,244.0,241.0,221.0,158.0,False,SOFT,3.0,True,Renault,0 days 00:59:15.068000,2019-11-29 13:44:15.217,1,,False,,False,True,143.11,143.11
8,0 days 01:03:16.578000,RIC,3,0 days 00:01:38.400000,9.0,2.0,,,17.547,41.918,38.935,0 days 01:01:55.725000,0 days 01:02:37.643000,0 days 01:03:16.578000,287.0,313.0,220.0,320.0,True,SOFT,4.0,True,Renault,0 days 01:01:38.178000,2019-11-29 13:46:38.327,1,,False,,False,True,98.4,98.4
9,0 days 01:05:21.112000,RIC,3,0 days 00:02:04.534000,10.0,2.0,,0 days 01:05:20.061000,20.803,54.236,49.495,0 days 01:03:37.381000,0 days 01:04:31.617000,0 days 01:05:21.112000,249.0,235.0,,198.0,False,SOFT,5.0,True,Renault,0 days 01:03:16.578000,2019-11-29 13:48:16.727,12,,False,,False,False,124.534,124.53399999999999
