,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:21:16.195000,HAM,44,,1.0,1.0,0 days 00:18:55.386000,,,54.332,62.583,,0 days 00:20:13.612000,0 days 00:21:16.418000,108.0,218.0,224.0,260.0,False,SOFT,1.0,True,Mercedes,0 days 00:18:55.386000,2019-11-30 13:03:55.501,1,,False,,False,False,,
1,0 days 00:22:52.426000,HAM,44,0 days 00:01:36.231000,2.0,1.0,,,17.236,41.088,37.907,0 days 00:21:33.431000,0 days 00:22:14.519000,0 days 00:22:52.426000,281.0,317.0,225.0,316.0,True,SOFT,2.0,True,Mercedes,0 days 00:21:16.195000,2019-11-30 13:06:16.310,12,,False,,False,True,96.231,96.231
2,0 days 00:25:32.477000,HAM,44,,3.0,1.0,,,30.958,64.771,64.35,0 days 00:23:23.452000,0 days 00:24:28.191000,0 days 00:25:32.728000,97.0,98.0,189.0,176.0,False,SOFT,3.0,True,Mercedes,0 days 00:22:52.426000,2019-11-30 13:07:52.541,1,,False,,False,False,,160.079
3,0 days 00:27:39.133000,HAM,44,0 days 00:02:06.656000,4.0,1.0,,,24.353,53.581,48.722,0 days 00:25:56.830000,0 days 00:26:50.411000,0 days 00:27:39.133000,251.0,220.0,227.0,245.0,False,SOFT,4.0,True,Mercedes,0 days 00:25:32.477000,2019-11-30 13:10:32.592,1,,False,,False,True,126.656,126.656
4,0 days 00:29:14.984000,HAM,44,0 days 00:01:35.851000,5.0,1.0,,,17.106,41.13,37.615,0 days 00:27:56.239000,0 days 00:28:37.369000,0 days 00:29:14.984000,282.0,315.0,225.0,318.0,True,SOFT,5.0,True,Mercedes,0 days 00:27:39.133000,2019-11-30 13:12:39.248,1,,False,,False,True,95.851,95.851
5,0 days 00:31:13.606000,HAM,44,0 days 00:01:58.622000,6.0,1.0,,0 days 00:31:11.796000,19.046,47.373,52.203,0 days 00:29:34.030000,0 days 00:30:21.403000,0 days 00:31:13.606000,253.0,216.0,,273.0,False,SOFT,6.0,True,Mercedes,0 days 00:29:14.984000,2019-11-30 13:14:15.099,1,,False,,False,False,118.622,118.622
6,0 days 00:43:51.423000,HAM,44,,7.0,2.0,0 days 00:41:50.071000,,,49.949,48.149,,0 days 00:43:03.294000,0 days 00:43:51.788000,245.0,223.0,228.0,247.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:31:13.606000,2019-11-30 13:16:13.721,1,,False,,False,False,,
7,0 days 00:45:27.057000,HAM,44,0 days 00:01:35.634000,8.0,2.0,,,17.023,40.819,37.792,0 days 00:44:08.446000,0 days 00:44:49.265000,0 days 00:45:27.057000,286.0,317.0,222.0,318.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:43:51.423000,2019-11-30 13:28:51.538,1,,False,,False,True,95.634,95.634
8,0 days 00:47:38.572000,HAM,44,0 days 00:02:11.515000,9.0,2.0,,0 days 00:47:37.345000,23.175,54.111,54.229,0 days 00:45:50.232000,0 days 00:46:44.343000,0 days 00:47:38.572000,179.0,189.0,,194.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:45:27.057000,2019-11-30 13:30:27.172,1,,False,,False,False,131.515,131.515
9,0 days 00:54:46.061000,HAM,44,,10.0,3.0,0 days 00:52:42.170000,,,49.351,51.635,,0 days 00:53:54.426000,0 days 00:54:46.087000,254.0,189.0,227.0,263.0,False,SOFT,1.0,True,Mercedes,0 days 00:47:38.572000,2019-11-30 13:32:38.687,1,,False,,False,False,,
