,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:15.751000,HAM,44,0 days 00:01:44.369000,1.0,1.0,,,,43.43,40.714,,0 days 00:34:35.110000,0 days 00:35:15.912000,279.0,289.0,219.0,293.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:31.194000,2019-12-01 13:13:31.397,12,1.0,False,,False,False,104.369,
1,0 days 00:36:58.491000,HAM,44,0 days 00:01:42.740000,2.0,1.0,,,18.14,43.937,40.663,0 days 00:35:33.904000,0 days 00:36:17.841000,0 days 00:36:58.504000,269.0,273.0,217.0,286.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:35:15.751000,2019-12-01 13:15:15.954,1,1.0,False,,False,True,102.74,102.74
2,0 days 00:38:40.994000,HAM,44,0 days 00:01:42.503000,3.0,1.0,,,18.213,43.681,40.609,0 days 00:37:16.717000,0 days 00:38:00.398000,0 days 00:38:41.007000,271.0,280.0,216.0,291.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:36:58.491000,2019-12-01 13:16:58.694,1,1.0,False,,False,True,102.503,102.503
3,0 days 00:40:23.910000,HAM,44,0 days 00:01:42.916000,4.0,1.0,,,18.293,43.899,40.724,0 days 00:38:59.300000,0 days 00:39:43.199000,0 days 00:40:23.923000,267.0,279.0,216.0,287.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:38:40.994000,2019-12-01 13:18:41.197,1,1.0,False,,False,True,102.916,102.916
4,0 days 00:42:07.040000,HAM,44,0 days 00:01:43.130000,5.0,1.0,,,18.129,43.867,41.134,0 days 00:40:42.052000,0 days 00:41:25.919000,0 days 00:42:07.053000,273.0,286.0,218.0,296.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:40:23.910000,2019-12-01 13:20:24.113,1,1.0,False,,False,True,103.13,103.13
5,0 days 00:43:49.898000,HAM,44,0 days 00:01:42.858000,6.0,1.0,,,18.138,43.956,40.764,0 days 00:42:25.191000,0 days 00:43:09.147000,0 days 00:43:49.911000,271.0,279.0,217.0,291.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:42:07.040000,2019-12-01 13:22:07.243,1,1.0,False,,False,True,102.858,102.858
6,0 days 00:45:32.779000,HAM,44,0 days 00:01:42.881000,7.0,1.0,,,18.224,43.978,40.679,0 days 00:44:08.135000,0 days 00:44:52.113000,0 days 00:45:32.792000,271.0,280.0,217.0,288.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:43:49.898000,2019-12-01 13:23:50.101,1,1.0,False,,False,True,102.881,102.881
7,0 days 00:47:15.512000,HAM,44,0 days 00:01:42.733000,8.0,1.0,,,18.224,44.056,40.453,,0 days 00:46:35.072000,0 days 00:47:15.525000,271.0,280.0,217.0,284.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:45:32.779000,2019-12-01 13:25:32.982,1,1.0,False,,False,True,102.733,102.733
8,0 days 00:48:58.386000,HAM,44,0 days 00:01:42.874000,9.0,1.0,,,18.053,44.144,40.677,0 days 00:47:33.578000,0 days 00:48:17.722000,0 days 00:48:58.399000,270.0,280.0,217.0,288.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:47:15.512000,2019-12-01 13:27:15.715,1,1.0,False,,False,True,102.874,102.874
9,0 days 00:50:41.293000,HAM,44,0 days 00:01:42.907000,10.0,1.0,,,18.148,44.096,40.663,0 days 00:49:16.547000,0 days 00:50:00.643000,0 days 00:50:41.306000,271.0,280.0,217.0,290.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:48:58.386000,2019-12-01 13:28:58.589,1,1.0,False,,False,True,102.907,102.907
10,0 days 00:52:24.072000,HAM,44,0 days 00:01:42.779000,11.0,1.0,,,18.081,44.061,40.637,0 days 00:50:59.387000,0 days 00:51:43.448000,0 days 00:52:24.085000,274.0,281.0,216.0,291.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:50:41.293000,2019-12-01 13:30:41.496,1,1.0,False,,False,True,102.779,102.779
11,0 days 00:54:07.139000,HAM,44,0 days 00:01:43.067000,12.0,1.0,,,18.125,44.127,40.815,0 days 00:52:42.210000,0 days 00:53:26.337000,0 days 00:54:07.152000,272.0,279.0,217.0,289.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:52:24.072000,2019-12-01 13:32:24.275,1,1.0,False,,False,True,103.067,103.06700000000001
12,0 days 00:55:49.759000,HAM,44,0 days 00:01:42.620000,13.0,1.0,,,18.081,43.951,40.588,0 days 00:54:25.233000,0 days 00:55:09.184000,0 days 00:55:49.772000,273.0,283.0,216.0,289.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:54:07.139000,2019-12-01 13:34:07.342,1,1.0,False,,False,True,102.62,102.62
13,0 days 00:57:32.294000,HAM,44,0 days 00:01:42.535000,14.0,1.0,,,17.943,43.991,40.601,0 days 00:56:07.715000,0 days 00:56:51.706000,0 days 00:57:32.307000,273.0,284.0,217.0,289.0,False,MEDIUM,17.0,False,Mercedes,0 days 00:55:49.759000,2019-12-01 13:35:49.962,1,1.0,False,,False,True,102.535,102.535
14,0 days 00:59:14.738000,HAM,44,0 days 00:01:42.444000,15.0,1.0,,,17.874,44.089,40.481,0 days 00:57:50.181000,0 days 00:58:34.270000,0 days 00:59:14.751000,277.0,287.0,217.0,289.0,True,MEDIUM,18.0,False,Mercedes,0 days 00:57:32.294000,2019-12-01 13:37:32.497,1,1.0,False,,False,True,102.444,102.44399999999999
15,0 days 01:00:57.030000,HAM,44,0 days 00:01:42.292000,16.0,1.0,,,17.898,43.926,40.468,0 days 00:59:32.649000,0 days 01:00:16.575000,0 days 01:00:57.043000,274.0,285.0,218.0,290.0,True,MEDIUM,19.0,False,Mercedes,0 days 00:59:14.738000,2019-12-01 13:39:14.941,1,1.0,False,,False,True,102.292,102.292
16,0 days 01:02:39.504000,HAM,44,0 days 00:01:42.474000,17.0,1.0,,,17.912,44.05,40.512,0 days 01:01:14.955000,0 days 01:01:59.005000,0 days 01:02:39.517000,275.0,285.0,217.0,292.0,False,MEDIUM,20.0,False,Mercedes,0 days 01:00:57.030000,2019-12-01 13:40:57.233,1,1.0,False,,False,True,102.474,102.47399999999999
17,0 days 01:04:21.914000,HAM,44,0 days 00:01:42.410000,18.0,1.0,,,17.95,43.942,40.518,0 days 01:02:57.467000,0 days 01:03:41.409000,0 days 01:04:21.927000,274.0,286.0,217.0,290.0,False,MEDIUM,21.0,False,Mercedes,0 days 01:02:39.504000,2019-12-01 13:42:39.707,1,1.0,False,,False,True,102.41,102.41
