,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:28.356000,26.3,51.6,1009.9,False,40.5,1,2.2
1,0 days 00:01:28.372000,26.4,51.5,1009.7,False,40.4,25,2.9
2,0 days 00:02:28.384000,26.3,51.4,1009.8,False,40.2,1,2.9
3,0 days 00:03:28.400000,26.2,51.8,1009.7,False,40.2,19,2.8
4,0 days 00:04:28.414000,26.2,52.3,1009.7,False,40.3,359,3.1
5,0 days 00:05:28.429000,26.1,52.3,1009.8,False,40.0,6,3.1
6,0 days 00:06:28.440000,26.2,52.0,1009.7,False,40.0,358,2.6
7,0 days 00:07:28.495000,26.2,51.7,1009.7,False,40.0,21,3.0
8,0 days 00:08:28.475000,26.0,51.9,1009.7,False,40.0,359,3.4
9,0 days 00:09:28.644000,26.0,51.8,1009.7,False,39.6,14,3.1
10,0 days 00:10:28.498000,26.0,51.7,1009.7,False,39.4,43,2.4
11,0 days 00:11:28.514000,25.9,52.0,1009.7,False,39.8,358,2.3
12,0 days 00:12:28.526000,26.0,52.0,1009.6,False,40.0,38,2.2
13,0 days 00:13:28.539000,26.1,51.5,1009.7,False,40.2,21,2.1
14,0 days 00:14:28.553000,26.1,51.2,1009.5,False,40.2,9,2.7
15,0 days 00:15:28.566000,26.1,51.5,1009.7,False,39.3,35,3.0
16,0 days 00:16:28.583000,26.0,51.6,1009.7,False,38.8,4,2.1
17,0 days 00:17:28.596000,26.0,51.5,1009.7,False,38.8,24,2.0
18,0 days 00:18:28.613000,26.0,51.5,1009.8,False,38.8,29,2.1
19,0 days 00:19:28.625000,26.1,51.7,1009.7,False,39.1,352,1.9
20,0 days 00:20:28.637000,26.2,51.5,1009.8,False,39.3,9,1.9
21,0 days 00:21:28.652000,26.2,51.9,1009.7,False,39.7,59,2.1
22,0 days 00:22:28.673000,26.2,51.5,1009.7,False,39.5,34,2.4
23,0 days 00:23:28.681000,26.2,51.8,1009.8,False,39.5,348,2.3
24,0 days 00:24:28.698000,26.0,51.7,1009.8,False,39.0,34,2.6
25,0 days 00:25:28.709000,25.9,52.1,1009.7,False,38.6,350,2.4
26,0 days 00:26:28.723000,25.9,52.3,1009.8,False,38.6,1,2.0
27,0 days 00:27:28.736000,25.9,52.8,1009.7,False,38.6,359,2.1
28,0 days 00:28:28.755000,25.9,53.0,1009.7,False,38.6,3,1.8
29,0 days 00:29:28.836000,26.1,52.1,1009.7,False,39.0,5,2.4
30,0 days 00:30:28.779000,26.2,51.9,1009.7,False,39.2,359,2.4
31,0 days 00:31:28.800000,26.1,52.1,1009.8,False,38.6,355,2.1
32,0 days 00:32:28.807000,26.0,52.3,1009.6,False,38.3,5,2.7
33,0 days 00:33:28.821000,26.0,52.0,1009.7,False,38.3,6,2.6
34,0 days 00:34:28.836000,26.0,51.9,1009.8,False,38.4,13,2.2
35,0 days 00:35:28.864000,26.0,51.6,1009.8,False,38.2,6,2.4
36,0 days 00:36:28.864000,25.9,52.0,1009.8,False,38.0,20,2.5
37,0 days 00:37:29.014000,25.9,52.1,1009.7,False,38.1,12,2.2
38,0 days 00:38:28.893000,26.0,51.8,1009.8,False,38.4,2,2.1
39,0 days 00:39:28.905000,26.1,51.5,1009.8,False,38.4,33,2.0
40,0 days 00:40:28.923000,26.1,51.4,1009.8,False,38.0,1,2.2
41,0 days 00:41:28.940000,26.0,51.5,1009.8,False,37.9,29,2.7
42,0 days 00:42:28.948000,26.0,51.9,1009.8,False,38.0,357,2.5
43,0 days 00:43:28.962000,26.1,52.0,1009.8,False,38.0,0,2.6
44,0 days 00:44:28.975000,25.9,52.6,1009.8,False,37.8,8,1.9
45,0 days 00:45:28.990000,25.9,52.6,1009.8,False,37.8,8,1.9
46,0 days 00:46:29.004000,25.9,53.0,1009.6,False,38.0,5,2.4
47,0 days 00:47:29.017000,26.1,52.7,1009.8,False,38.4,345,1.7
48,0 days 00:48:29.035000,26.1,52.2,1009.9,False,38.4,357,2.0
49,0 days 00:49:29.051000,26.1,51.8,1009.8,False,38.4,37,1.6
50,0 days 00:50:29.060000,26.2,52.2,1009.8,False,38.4,15,2.4
51,0 days 00:51:29.074000,26.3,52.8,1009.8,False,38.3,18,2.1
52,0 days 00:52:29.089000,26.3,52.7,1009.8,False,38.2,346,2.3
53,0 days 00:53:29.100000,26.3,52.8,1009.7,False,37.8,17,2.2
54,0 days 00:54:29.116000,26.3,52.7,1009.7,False,37.8,14,2.1
55,0 days 00:55:29.132000,26.3,52.9,1009.7,False,37.6,5,2.2
56,0 days 00:56:29.145000,26.3,53.2,1009.7,False,37.6,55,2.2
57,0 days 00:57:29.158000,26.2,53.7,1009.6,False,37.5,37,2.2
58,0 days 00:58:29.172000,26.2,54.1,1009.6,False,37.4,28,2.4
59,0 days 00:59:29.187000,26.1,54.5,1009.7,False,37.4,1,2.1
60,0 days 01:00:29.201000,26.2,54.1,1009.6,False,37.4,9,1.9
61,0 days 01:01:29.213000,26.2,53.6,1009.7,False,37.4,30,1.9
62,0 days 01:02:29.229000,26.3,53.7,1009.7,False,37.0,7,2.4
63,0 days 01:03:29.243000,26.2,53.9,1009.6,False,37.0,36,2.1
