,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:16.901000,GAS,10,0 days 00:01:45.321000,1.0,1.0,,,,45.05,24.597,,0 days 00:34:52.360000,0 days 00:35:17.110000,233.0,240.0,276.0,238.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:31.386000,2019-03-31 15:13:31.471,12,12.0,False,,False,False,105.321,
1,0 days 00:36:56.017000,GAS,10,0 days 00:01:39.116000,2.0,1.0,,,31.173,43.41,24.533,0 days 00:35:48.088000,0 days 00:36:31.498000,0 days 00:36:56.031000,236.0,243.0,277.0,288.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:35:16.901000,2019-03-31 15:15:16.986,12,12.0,False,,False,True,99.116,99.116
2,0 days 00:38:34.811000,GAS,10,0 days 00:01:38.794000,3.0,1.0,,,31.088,43.26,24.446,0 days 00:37:27.119000,0 days 00:38:10.379000,0 days 00:38:34.825000,237.0,241.0,288.0,297.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:36:56.017000,2019-03-31 15:16:56.102,1,12.0,False,,False,True,98.794,98.794
3,0 days 00:40:14.814000,GAS,10,0 days 00:01:40.003000,4.0,1.0,,,30.658,44.753,24.592,0 days 00:39:05.483000,0 days 00:39:50.236000,0 days 00:40:14.828000,237.0,240.0,286.0,318.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:38:34.811000,2019-03-31 15:18:34.896,12,11.0,False,,False,True,100.003,100.003
4,0 days 00:41:53.388000,GAS,10,0 days 00:01:38.574000,5.0,1.0,,,30.852,43.327,24.395,0 days 00:40:45.680000,0 days 00:41:29.007000,0 days 00:41:53.402000,237.0,245.0,287.0,313.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:40:14.814000,2019-03-31 15:20:14.899,1,11.0,False,,False,True,98.574,98.574
5,0 days 00:43:32.731000,GAS,10,0 days 00:01:39.343000,6.0,1.0,,,30.859,43.662,24.822,0 days 00:42:24.261000,0 days 00:43:07.923000,0 days 00:43:32.745000,233.0,238.0,290.0,319.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:41:53.388000,2019-03-31 15:21:53.473,12,11.0,False,,False,True,99.343,99.343
6,0 days 00:45:12.843000,GAS,10,0 days 00:01:40.112000,7.0,1.0,,,31.091,44.741,24.28,0 days 00:44:03.836000,0 days 00:44:48.577000,0 days 00:45:12.857000,227.0,242.0,291.0,323.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:43:32.731000,2019-03-31 15:23:32.816,1,12.0,False,,False,True,100.112,100.112
7,0 days 00:46:52.032000,GAS,10,0 days 00:01:39.189000,8.0,1.0,,,31.139,43.515,24.535,0 days 00:45:43.996000,0 days 00:46:27.511000,0 days 00:46:52.046000,232.0,247.0,289.0,299.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:45:12.843000,2019-03-31 15:25:12.928,1,12.0,False,,False,True,99.189,99.189
8,0 days 00:48:34.229000,GAS,10,0 days 00:01:42.197000,9.0,1.0,,0 days 00:48:33.019000,30.94,44.23,27.027,0 days 00:47:22.986000,0 days 00:48:07.216000,0 days 00:48:34.243000,237.0,248.0,,324.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:46:52.032000,2019-03-31 15:26:52.117,1,13.0,False,,False,False,102.197,102.197
9,0 days 00:50:33.876000,GAS,10,0 days 00:01:59.647000,10.0,2.0,0 days 00:49:00.214000,,54.237,41.858,23.552,0 days 00:49:28.480000,0 days 00:50:10.338000,0 days 00:50:33.890000,239.0,247.0,291.0,217.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:48:34.229000,2019-03-31 15:28:34.314,1,17.0,False,,False,False,119.647,119.64699999999999
10,0 days 00:52:11.055000,GAS,10,0 days 00:01:37.179000,11.0,2.0,,,31.193,42.211,23.775,0 days 00:51:05.083000,0 days 00:51:47.294000,0 days 00:52:11.069000,235.0,249.0,290.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:50:33.876000,2019-03-31 15:30:33.961,1,17.0,False,,False,True,97.179,97.179
11,0 days 00:53:47.548000,GAS,10,0 days 00:01:36.493000,12.0,2.0,,,30.389,42.253,23.851,0 days 00:52:41.458000,0 days 00:53:23.711000,0 days 00:53:47.562000,235.0,247.0,280.0,324.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:52:11.055000,2019-03-31 15:32:11.140,12,14.0,False,,False,True,96.493,96.493
12,0 days 00:55:24.367000,GAS,10,0 days 00:01:36.819000,13.0,2.0,,,30.639,42.222,23.958,0 days 00:54:18.201000,0 days 00:55:00.423000,0 days 00:55:24.381000,234.0,247.0,278.0,300.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:53:47.548000,2019-03-31 15:33:47.633,1,13.0,False,,False,True,96.819,96.819
13,0 days 00:57:00.934000,GAS,10,0 days 00:01:36.567000,14.0,2.0,,,30.493,42.233,23.841,0 days 00:55:54.874000,0 days 00:56:37.107000,0 days 00:57:00.948000,236.0,253.0,286.0,300.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:55:24.367000,2019-03-31 15:35:24.452,1,13.0,False,,False,True,96.567,96.56700000000001
14,0 days 00:58:38.601000,GAS,10,0 days 00:01:37.667000,15.0,2.0,,,30.683,42.987,23.997,0 days 00:57:31.631000,0 days 00:58:14.618000,0 days 00:58:38.615000,237.0,250.0,286.0,315.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:57:00.934000,2019-03-31 15:37:01.019,1,13.0,False,,False,True,97.667,97.667
15,0 days 01:00:16.166000,GAS,10,0 days 00:01:37.565000,16.0,2.0,,,30.728,42.971,23.866,0 days 00:59:09.343000,0 days 00:59:52.314000,0 days 01:00:16.180000,237.0,247.0,291.0,316.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:58:38.601000,2019-03-31 15:38:38.686,1,13.0,False,,False,True,97.565,97.565
16,0 days 01:01:54.236000,GAS,10,0 days 00:01:38.070000,17.0,2.0,,,31.162,43.059,23.849,0 days 01:00:47.342000,0 days 01:01:30.401000,0 days 01:01:54.250000,234.0,251.0,278.0,326.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:00:16.166000,2019-03-31 15:40:16.251,1,11.0,False,,False,True,98.07,98.07000000000001
17,0 days 01:03:31.709000,GAS,10,0 days 00:01:37.473000,18.0,2.0,,,30.835,42.823,23.815,0 days 01:02:25.085000,0 days 01:03:07.908000,0 days 01:03:31.723000,237.0,243.0,278.0,294.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:01:54.236000,2019-03-31 15:41:54.321,1,11.0,False,,False,True,97.473,97.473
18,0 days 01:05:09.761000,GAS,10,0 days 00:01:38.052000,19.0,2.0,,,30.822,43.092,24.138,0 days 01:04:02.545000,0 days 01:04:45.637000,0 days 01:05:09.775000,236.0,237.0,277.0,297.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:03:31.709000,2019-03-31 15:43:31.794,1,11.0,False,,False,True,98.052,98.052
19,0 days 01:06:47.442000,GAS,10,0 days 00:01:37.681000,20.0,2.0,,,30.761,42.982,23.938,0 days 01:05:40.536000,0 days 01:06:23.518000,0 days 01:06:47.456000,238.0,252.0,278.0,298.0,False,SOFT,11.0,True,Red Bull Racing,0 days 01:05:09.761000,2019-03-31 15:45:09.846,1,11.0,False,,False,True,97.681,97.681
20,0 days 01:08:25.065000,GAS,10,0 days 00:01:37.623000,21.0,2.0,,,30.875,42.68,24.068,0 days 01:07:18.331000,0 days 01:08:01.011000,0 days 01:08:25.079000,237.0,252.0,289.0,300.0,False,SOFT,12.0,True,Red Bull Racing,0 days 01:06:47.442000,2019-03-31 15:46:47.527,1,11.0,False,,False,True,97.623,97.623
21,0 days 01:10:03.152000,GAS,10,0 days 00:01:38.087000,22.0,2.0,,,30.532,43.682,23.873,0 days 01:08:55.611000,0 days 01:09:39.293000,0 days 01:10:03.166000,237.0,252.0,277.0,327.0,False,SOFT,13.0,True,Red Bull Racing,0 days 01:08:25.065000,2019-03-31 15:48:25.150,1,10.0,False,,False,True,98.087,98.087
22,0 days 01:11:41.581000,GAS,10,0 days 00:01:38.429000,23.0,2.0,,,31.009,43.411,24.009,0 days 01:10:34.175000,0 days 01:11:17.586000,0 days 01:11:41.595000,237.0,243.0,277.0,300.0,False,SOFT,14.0,True,Red Bull Racing,0 days 01:10:03.152000,2019-03-31 15:50:03.237,1,10.0,False,,False,True,98.429,98.429
23,0 days 01:13:19.546000,GAS,10,0 days 00:01:37.965000,24.0,2.0,,,30.935,43.139,23.891,0 days 01:12:12.530000,0 days 01:12:55.669000,0 days 01:13:19.560000,237.0,241.0,279.0,296.0,False,SOFT,15.0,True,Red Bull Racing,0 days 01:11:41.581000,2019-03-31 15:51:41.666,1,10.0,False,,False,True,97.965,97.965
24,0 days 01:14:57.565000,GAS,10,0 days 00:01:38.019000,25.0,2.0,,,30.973,42.991,24.055,0 days 01:13:50.533000,0 days 01:14:33.524000,0 days 01:14:57.579000,236.0,245.0,278.0,297.0,False,SOFT,16.0,True,Red Bull Racing,0 days 01:13:19.546000,2019-03-31 15:53:19.631,1,9.0,False,,False,True,98.019,98.019
25,0 days 01:16:35.525000,GAS,10,0 days 00:01:37.960000,26.0,2.0,,,30.929,43.133,23.898,0 days 01:15:28.508000,0 days 01:16:11.641000,0 days 01:16:35.539000,236.0,237.0,278.0,298.0,False,SOFT,17.0,True,Red Bull Racing,0 days 01:14:57.565000,2019-03-31 15:54:57.650,1,9.0,False,,False,True,97.96,97.96
26,0 days 01:18:13.585000,GAS,10,0 days 00:01:38.060000,27.0,2.0,,,30.964,43.19,23.906,0 days 01:17:06.503000,0 days 01:17:49.693000,0 days 01:18:13.599000,235.0,242.0,279.0,301.0,False,SOFT,18.0,True,Red Bull Racing,0 days 01:16:35.525000,2019-03-31 15:56:35.610,1,9.0,False,,False,True,98.06,98.06
27,0 days 01:19:52.337000,GAS,10,0 days 00:01:38.752000,28.0,2.0,,,31.18,43.521,24.051,0 days 01:18:44.779000,0 days 01:19:28.300000,0 days 01:19:52.351000,236.0,246.0,278.0,303.0,False,SOFT,19.0,True,Red Bull Racing,0 days 01:18:13.585000,2019-03-31 15:58:13.670,1,9.0,False,,False,True,98.752,98.752
