,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:59.391000,GAS,10,0 days 00:02:32.560000,1.0,1.0,,,,73.37,41.947,,0 days 00:35:17.621000,0 days 00:35:59.993000,303.0,167.0,180.0,279.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:33:26.693000,2019-09-01 13:13:26.907,124,9.0,False,,False,False,152.56,
1,0 days 00:38:57.094000,GAS,10,,2.0,1.0,,,62.961,73.159,41.609,0 days 00:37:02.503000,0 days 00:38:15.679000,0 days 00:38:57.376000,242.0,122.0,203.0,89.0,False,SOFT,2.0,True,Toro Rosso,0 days 00:35:59.391000,2019-09-01 13:15:59.605,4,9.0,False,,False,False,,177.729
2,0 days 00:41:56.109000,GAS,10,,3.0,1.0,,,54.315,69.692,54.984,0 days 00:39:51.699000,0 days 00:41:01.302000,0 days 00:41:56.339000,237.0,157.0,159.0,177.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:38:57.094000,2019-09-01 13:18:57.308,4,9.0,False,,False,False,,178.99099999999999
3,0 days 00:44:43.758000,GAS,10,,4.0,1.0,,,44.212,72.377,51.156,0 days 00:42:40.421000,0 days 00:43:52.788000,0 days 00:44:45.886000,280.0,131.0,218.0,275.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:41:56.109000,2019-09-01 13:21:56.323,41,9.0,False,,False,False,,167.745
4,0 days 00:46:37.579000,GAS,10,0 days 00:01:53.821000,5.0,1.0,,,31.625,51.972,30.224,0 days 00:45:15.560000,0 days 00:46:07.532000,0 days 00:46:37.756000,325.0,196.0,218.0,312.0,True,SOFT,5.0,True,Toro Rosso,0 days 00:44:43.758000,2019-09-01 13:24:43.972,1,9.0,False,,False,True,113.821,113.82100000000001
5,0 days 00:48:30.054000,GAS,10,0 days 00:01:52.475000,6.0,1.0,,,31.545,51.077,29.853,0 days 00:47:09.301000,0 days 00:48:00.378000,0 days 00:48:30.231000,314.0,194.0,216.0,313.0,True,SOFT,6.0,True,Toro Rosso,0 days 00:46:37.579000,2019-09-01 13:26:37.793,1,9.0,False,,False,True,112.475,112.475
6,0 days 00:50:22.562000,GAS,10,0 days 00:01:52.508000,7.0,1.0,,,31.583,50.96,29.965,0 days 00:49:01.814000,0 days 00:49:52.774000,0 days 00:50:22.739000,327.0,196.0,217.0,309.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:48:30.054000,2019-09-01 13:28:30.268,1,9.0,False,,False,True,112.508,112.50800000000001
7,0 days 00:52:14.717000,GAS,10,0 days 00:01:52.155000,8.0,1.0,,,31.262,51.038,29.855,0 days 00:50:54.001000,0 days 00:51:45.039000,0 days 00:52:14.894000,331.0,196.0,218.0,311.0,True,SOFT,8.0,True,Toro Rosso,0 days 00:50:22.562000,2019-09-01 13:30:22.776,1,9.0,False,,False,True,112.155,112.155
8,0 days 00:54:06.435000,GAS,10,0 days 00:01:51.718000,9.0,1.0,,,31.374,50.493,29.851,0 days 00:52:46.268000,0 days 00:53:36.761000,0 days 00:54:06.612000,327.0,196.0,218.0,309.0,True,SOFT,9.0,True,Toro Rosso,0 days 00:52:14.717000,2019-09-01 13:32:14.931,1,9.0,False,,False,True,111.718,111.718
9,0 days 00:55:58.838000,GAS,10,0 days 00:01:52.403000,10.0,1.0,,,31.356,51.011,30.036,0 days 00:54:37.968000,0 days 00:55:28.979000,0 days 00:55:59.015000,330.0,193.0,218.0,311.0,False,SOFT,10.0,True,Toro Rosso,0 days 00:54:06.435000,2019-09-01 13:34:06.649,1,9.0,False,,False,True,112.403,112.403
10,0 days 00:57:49.454000,GAS,10,0 days 00:01:50.616000,11.0,1.0,,,31.122,49.555,29.939,0 days 00:56:30.137000,0 days 00:57:19.692000,0 days 00:57:49.631000,340.0,198.0,216.0,313.0,True,SOFT,11.0,True,Toro Rosso,0 days 00:55:58.838000,2019-09-01 13:35:59.052,1,8.0,False,,False,True,110.616,110.61599999999999
11,0 days 00:59:40.246000,GAS,10,0 days 00:01:50.792000,12.0,1.0,,,31.977,48.877,29.938,0 days 00:58:21.608000,0 days 00:59:10.485000,0 days 00:59:40.423000,302.0,200.0,216.0,305.0,False,SOFT,12.0,True,Toro Rosso,0 days 00:57:49.454000,2019-09-01 13:37:49.668,1,8.0,False,,False,True,110.792,110.792
12,0 days 01:01:35.134000,GAS,10,0 days 00:01:54.888000,13.0,1.0,,0 days 01:01:31.631000,31.956,48.808,34.124,0 days 01:00:12.379000,0 days 01:01:01.187000,0 days 01:01:35.311000,305.0,195.0,,305.0,False,SOFT,13.0,True,Toro Rosso,0 days 00:59:40.246000,2019-09-01 13:39:40.460,1,9.0,False,,False,False,114.888,114.888
13,0 days 01:03:38.138000,GAS,10,0 days 00:02:03.004000,14.0,2.0,0 days 01:01:54.707000,,45.339,48.273,29.392,0 days 01:02:20.650000,0 days 01:03:08.923000,0 days 01:03:38.315000,339.0,203.0,219.0,307.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 01:01:35.134000,2019-09-01 13:41:35.348,1,16.0,False,,False,False,123.004,123.00399999999999
14,0 days 01:05:28.145000,GAS,10,0 days 00:01:50.007000,15.0,2.0,,,31.525,49.146,29.336,0 days 01:04:09.840000,0 days 01:04:58.986000,0 days 01:05:28.322000,310.0,193.0,220.0,308.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 01:03:38.138000,2019-09-01 13:43:38.352,1,14.0,False,,False,True,110.007,110.00699999999999
15,0 days 01:07:19.609000,GAS,10,0 days 00:01:51.464000,16.0,2.0,,,30.907,50.914,29.643,0 days 01:05:59.229000,0 days 01:06:50.143000,0 days 01:07:19.786000,337.0,195.0,222.0,317.0,False,MEDIUM,3.0,True,Toro Rosso,0 days 01:05:28.145000,2019-09-01 13:45:28.359,1,14.0,False,,False,True,111.464,111.464
16,0 days 01:09:11.110000,GAS,10,0 days 00:01:51.501000,17.0,2.0,,,31.227,50.552,29.722,0 days 01:07:51.013000,0 days 01:08:41.565000,0 days 01:09:11.287000,337.0,201.0,219.0,301.0,False,MEDIUM,4.0,True,Toro Rosso,0 days 01:07:19.609000,2019-09-01 13:47:19.823,1,13.0,False,,False,True,111.501,111.501
17,0 days 01:11:02.640000,GAS,10,0 days 00:01:51.530000,18.0,2.0,,,31.577,50.305,29.648,0 days 01:09:42.864000,0 days 01:10:33.169000,0 days 01:11:02.817000,317.0,193.0,223.0,309.0,False,MEDIUM,5.0,True,Toro Rosso,0 days 01:09:11.110000,2019-09-01 13:49:11.324,1,12.0,False,,False,True,111.53,111.53
18,0 days 01:12:53.691000,GAS,10,0 days 00:01:51.051000,19.0,2.0,,,31.747,49.58,29.724,0 days 01:11:34.564000,0 days 01:12:24.144000,0 days 01:12:53.868000,306.0,202.0,218.0,306.0,False,MEDIUM,6.0,True,Toro Rosso,0 days 01:11:02.640000,2019-09-01 13:51:02.854,1,12.0,False,,False,True,111.051,111.051
19,0 days 01:14:43.460000,GAS,10,0 days 00:01:49.769000,20.0,2.0,,,31.81,48.298,29.661,0 days 01:13:25.678000,0 days 01:14:13.976000,0 days 01:14:43.637000,304.0,201.0,219.0,307.0,True,MEDIUM,7.0,True,Toro Rosso,0 days 01:12:53.691000,2019-09-01 13:52:53.905,1,12.0,False,,False,True,109.769,109.769
20,0 days 01:16:33.160000,GAS,10,0 days 00:01:49.700000,21.0,2.0,,,31.774,48.222,29.704,0 days 01:15:15.411000,0 days 01:16:03.633000,0 days 01:16:33.337000,304.0,200.0,218.0,308.0,True,MEDIUM,8.0,True,Toro Rosso,0 days 01:14:43.460000,2019-09-01 13:54:43.674,1,12.0,False,,False,True,109.7,109.70000000000002
21,0 days 01:18:22.996000,GAS,10,0 days 00:01:49.836000,22.0,2.0,,,31.766,48.214,29.856,0 days 01:17:05.103000,0 days 01:17:53.317000,0 days 01:18:23.173000,305.0,198.0,218.0,305.0,False,MEDIUM,9.0,True,Toro Rosso,0 days 01:16:33.160000,2019-09-01 13:56:33.374,1,12.0,False,,False,True,109.836,109.83599999999998
22,0 days 01:20:12.883000,GAS,10,0 days 00:01:49.887000,23.0,2.0,,,31.75,48.459,29.678,0 days 01:18:54.923000,0 days 01:19:43.382000,0 days 01:20:13.060000,310.0,196.0,219.0,305.0,False,MEDIUM,10.0,True,Toro Rosso,0 days 01:18:22.996000,2019-09-01 13:58:23.210,1,12.0,False,,False,True,109.887,109.887
23,0 days 01:22:04.284000,GAS,10,0 days 00:01:51.401000,24.0,2.0,,,31.653,49.97,29.778,0 days 01:20:44.713000,0 days 01:21:34.683000,0 days 01:22:04.461000,312.0,198.0,217.0,308.0,False,MEDIUM,11.0,True,Toro Rosso,0 days 01:20:12.883000,2019-09-01 14:00:13.097,1,11.0,False,,False,True,111.401,111.40099999999998
24,0 days 01:23:54.523000,GAS,10,0 days 00:01:50.239000,25.0,2.0,,,31.735,48.994,29.51,0 days 01:22:36.196000,0 days 01:23:25.190000,0 days 01:23:54.700000,308.0,198.0,220.0,308.0,False,MEDIUM,12.0,True,Toro Rosso,0 days 01:22:04.284000,2019-09-01 14:02:04.498,1,10.0,False,,False,True,110.239,110.239
25,0 days 01:25:44.639000,GAS,10,0 days 00:01:50.116000,26.0,2.0,,,31.491,49.01,29.615,0 days 01:24:26.191000,0 days 01:25:15.201000,0 days 01:25:44.816000,311.0,199.0,222.0,312.0,False,MEDIUM,13.0,True,Toro Rosso,0 days 01:23:54.523000,2019-09-01 14:03:54.737,1,10.0,False,,False,True,110.116,110.116
26,0 days 01:27:35.208000,GAS,10,0 days 00:01:50.569000,27.0,2.0,,,31.156,49.746,29.667,0 days 01:26:15.972000,0 days 01:27:05.718000,0 days 01:27:35.385000,333.0,198.0,223.0,309.0,False,MEDIUM,14.0,True,Toro Rosso,0 days 01:25:44.639000,2019-09-01 14:05:44.853,1,10.0,False,,False,True,110.569,110.569
27,0 days 01:29:25.905000,GAS,10,0 days 00:01:50.697000,28.0,2.0,,,31.09,49.979,29.628,0 days 01:28:06.475000,0 days 01:28:56.454000,0 days 01:29:26.082000,340.0,200.0,223.0,312.0,False,MEDIUM,15.0,True,Toro Rosso,0 days 01:27:35.208000,2019-09-01 14:07:35.422,1,10.0,False,,False,True,110.697,110.697
