,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:19.827000,GAS,10,0 days 00:01:20.480000,1.0,1.0,,,,39.742,16.899,,0 days 00:34:03.090000,0 days 00:34:20.111000,316.0,248.0,309.0,231.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:32:59.284000,2019-11-17 17:13:00.100,1,6.0,False,,False,False,80.48,
1,0 days 00:35:34.700000,GAS,10,0 days 00:01:14.873000,2.0,1.0,,,19.324,38.434,17.115,0 days 00:34:39.241000,0 days 00:35:17.675000,0 days 00:35:34.790000,304.0,254.0,306.0,289.0,True,SOFT,5.0,True,Toro Rosso,0 days 00:34:19.827000,2019-11-17 17:14:20.643,1,6.0,False,,False,True,74.873,74.87299999999999
2,0 days 00:36:48.912000,GAS,10,0 days 00:01:14.212000,3.0,1.0,,,19.11,38.178,16.924,0 days 00:35:53.900000,0 days 00:36:32.078000,0 days 00:36:49.002000,309.0,256.0,308.0,301.0,True,SOFT,6.0,True,Toro Rosso,0 days 00:35:34.700000,2019-11-17 17:15:35.516,1,6.0,False,,False,True,74.212,74.21199999999999
3,0 days 00:38:03.529000,GAS,10,0 days 00:01:14.617000,4.0,1.0,,,19.067,38.495,17.055,0 days 00:37:08.069000,0 days 00:37:46.564000,0 days 00:38:03.619000,308.0,251.0,305.0,301.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:36:48.912000,2019-11-17 17:16:49.728,1,6.0,False,,False,True,74.617,74.61699999999999
4,0 days 00:39:17.901000,GAS,10,0 days 00:01:14.372000,5.0,1.0,,,19.04,38.304,17.028,0 days 00:38:22.659000,0 days 00:39:00.963000,0 days 00:39:17.991000,308.0,255.0,304.0,302.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:38:03.529000,2019-11-17 17:18:04.345,1,6.0,False,,False,True,74.372,74.372
5,0 days 00:40:32.686000,GAS,10,0 days 00:01:14.785000,6.0,1.0,,,19.013,38.589,17.183,0 days 00:39:37.004000,0 days 00:40:15.593000,0 days 00:40:32.776000,309.0,248.0,302.0,299.0,False,SOFT,9.0,True,Toro Rosso,0 days 00:39:17.901000,2019-11-17 17:19:18.717,1,6.0,False,,False,True,74.785,74.785
6,0 days 00:41:47.625000,GAS,10,0 days 00:01:14.939000,7.0,1.0,,,19.093,38.64,17.206,0 days 00:40:51.869000,0 days 00:41:30.509000,0 days 00:41:47.715000,309.0,249.0,303.0,301.0,False,SOFT,10.0,True,Toro Rosso,0 days 00:40:32.686000,2019-11-17 17:20:33.502,1,6.0,False,,False,True,74.939,74.93900000000001
7,0 days 00:43:02.425000,GAS,10,0 days 00:01:14.800000,8.0,1.0,,,19.02,38.674,17.106,0 days 00:42:06.735000,0 days 00:42:45.409000,0 days 00:43:02.515000,309.0,250.0,304.0,306.0,False,SOFT,11.0,True,Toro Rosso,0 days 00:41:47.625000,2019-11-17 17:21:48.441,12,6.0,False,,False,True,74.8,74.80000000000001
8,0 days 00:44:17.408000,GAS,10,0 days 00:01:14.983000,9.0,1.0,,,19.104,38.75,17.129,0 days 00:43:21.619000,0 days 00:44:00.369000,0 days 00:44:17.498000,309.0,249.0,304.0,306.0,False,SOFT,12.0,True,Toro Rosso,0 days 00:43:02.425000,2019-11-17 17:23:03.241,1,6.0,False,,False,True,74.983,74.983
9,0 days 00:45:33.248000,GAS,10,0 days 00:01:15.840000,10.0,1.0,,,19.495,39.221,17.124,0 days 00:44:36.993000,0 days 00:45:16.214000,0 days 00:45:33.338000,323.0,252.0,307.0,302.0,False,SOFT,13.0,True,Toro Rosso,0 days 00:44:17.408000,2019-11-17 17:24:18.224,1,7.0,False,,False,True,75.84,75.83999999999999
