,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:29.363000,GAS,10,0 days 00:01:25.163000,1.0,1.0,,,,25.362,31.246,,0 days 00:33:58.824000,0 days 00:34:29.545000,242.0,278.0,270.0,307.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:04.006000,2019-06-09 18:13:04.084,12,5.0,False,,False,False,85.163,
1,0 days 00:35:47.997000,GAS,10,0 days 00:01:18.634000,2.0,1.0,,,22.248,25.09,31.296,0 days 00:34:51.636000,0 days 00:35:16.726000,0 days 00:35:48.022000,243.0,281.0,280.0,312.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:34:29.363000,2019-06-09 18:14:29.441,21,5.0,False,,False,True,78.634,78.634
2,0 days 00:37:05.951000,GAS,10,0 days 00:01:17.954000,3.0,1.0,,,21.941,24.957,31.056,0 days 00:36:09.963000,0 days 00:36:34.920000,0 days 00:37:05.976000,243.0,281.0,287.0,322.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:35:47.997000,2019-06-09 18:15:48.075,1,5.0,False,,False,True,77.954,77.954
3,0 days 00:38:23.718000,GAS,10,0 days 00:01:17.767000,4.0,1.0,,,21.71,24.903,31.154,0 days 00:37:27.686000,0 days 00:37:52.589000,0 days 00:38:23.743000,247.0,280.0,279.0,308.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:37:05.951000,2019-06-09 18:17:06.029,1,5.0,False,,False,True,77.767,77.767
4,0 days 00:39:41.763000,GAS,10,0 days 00:01:18.045000,5.0,1.0,,,21.774,25.084,31.187,0 days 00:38:45.517000,0 days 00:39:10.601000,0 days 00:39:41.788000,249.0,280.0,286.0,320.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:38:23.718000,2019-06-09 18:18:23.796,1,5.0,False,,False,True,78.045,78.045
5,0 days 00:41:00.110000,GAS,10,0 days 00:01:18.347000,6.0,1.0,,,21.908,25.144,31.295,0 days 00:40:03.696000,0 days 00:40:28.840000,0 days 00:41:00.135000,241.0,280.0,280.0,306.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:39:41.763000,2019-06-09 18:19:41.841,1,5.0,False,,False,True,78.347,78.34700000000001
6,0 days 00:42:33.904000,GAS,10,0 days 00:01:33.794000,7.0,1.0,,0 days 00:42:12.698000,21.837,25.243,46.714,0 days 00:41:21.972000,0 days 00:41:47.215000,0 days 00:42:33.929000,236.0,279.0,,306.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:41:00.110000,2019-06-09 18:21:00.188,1,13.0,False,,False,False,93.794,93.794
7,0 days 00:43:54.032000,GAS,10,0 days 00:01:20.128000,8.0,2.0,0 days 00:42:35.338000,,23.84,24.842,31.446,0 days 00:42:57.769000,0 days 00:43:22.611000,0 days 00:43:54.057000,248.0,279.0,278.0,304.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:42:33.904000,2019-06-09 18:22:33.982,1,13.0,False,,False,False,80.128,80.128
8,0 days 00:45:11.250000,GAS,10,0 days 00:01:17.218000,9.0,2.0,,,21.589,24.746,30.883,0 days 00:44:15.646000,0 days 00:44:40.392000,0 days 00:45:11.275000,248.0,282.0,285.0,332.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:43:54.032000,2019-06-09 18:23:54.110,12,12.0,False,,False,True,77.218,77.21799999999999
9,0 days 00:46:29.944000,GAS,10,0 days 00:01:18.694000,10.0,2.0,,,22.387,25.357,30.95,0 days 00:45:33.662000,0 days 00:45:59.019000,0 days 00:46:29.969000,246.0,281.0,291.0,325.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:45:11.250000,2019-06-09 18:25:11.328,2,12.0,False,,False,True,78.694,78.694
10,0 days 00:47:49.366000,GAS,10,0 days 00:01:19.422000,11.0,2.0,,,22.903,25.256,31.263,0 days 00:46:52.872000,0 days 00:47:18.128000,0 days 00:47:49.391000,243.0,284.0,287.0,326.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:46:29.944000,2019-06-09 18:26:30.022,21,10.0,False,,False,True,79.422,79.422
11,0 days 00:49:07.514000,GAS,10,0 days 00:01:18.148000,12.0,2.0,,,21.901,25.056,31.191,0 days 00:48:11.292000,0 days 00:48:36.348000,0 days 00:49:07.539000,239.0,280.0,280.0,307.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:47:49.366000,2019-06-09 18:27:49.444,12,9.0,False,,False,True,78.148,78.148
12,0 days 00:50:25.612000,GAS,10,0 days 00:01:18.098000,13.0,2.0,,,22.052,24.841,31.205,0 days 00:49:29.591000,0 days 00:49:54.432000,0 days 00:50:25.637000,246.0,281.0,280.0,307.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:49:07.514000,2019-06-09 18:29:07.592,21,9.0,False,,False,True,78.098,78.098
13,0 days 00:51:43.051000,GAS,10,0 days 00:01:17.439000,14.0,2.0,,,21.742,24.902,30.795,0 days 00:50:47.379000,0 days 00:51:12.281000,0 days 00:51:43.076000,248.0,281.0,290.0,325.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:50:25.612000,2019-06-09 18:30:25.690,1,9.0,False,,False,True,77.439,77.43900000000001
14,0 days 00:53:01.215000,GAS,10,0 days 00:01:18.164000,15.0,2.0,,,22.258,25.047,30.859,0 days 00:52:05.334000,0 days 00:52:30.381000,0 days 00:53:01.240000,247.0,279.0,289.0,324.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:51:43.051000,2019-06-09 18:31:43.129,1,9.0,False,,False,True,78.164,78.164
15,0 days 00:54:19.062000,GAS,10,0 days 00:01:17.847000,16.0,2.0,,,22.073,24.798,30.976,0 days 00:53:23.313000,0 days 00:53:48.111000,0 days 00:54:19.087000,250.0,281.0,288.0,322.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:53:01.215000,2019-06-09 18:33:01.293,1,9.0,False,,False,True,77.847,77.847
16,0 days 00:55:37.081000,GAS,10,0 days 00:01:18.019000,17.0,2.0,,,22.043,24.809,31.167,0 days 00:54:41.130000,0 days 00:55:05.939000,0 days 00:55:37.106000,251.0,279.0,287.0,327.0,False,HARD,10.0,True,Red Bull Racing,0 days 00:54:19.062000,2019-06-09 18:34:19.140,1,9.0,False,,False,True,78.019,78.019
17,0 days 00:56:55.138000,GAS,10,0 days 00:01:18.057000,18.0,2.0,,,22.099,24.943,31.015,0 days 00:55:59.205000,0 days 00:56:24.148000,0 days 00:56:55.163000,251.0,280.0,287.0,322.0,False,HARD,11.0,True,Red Bull Racing,0 days 00:55:37.081000,2019-06-09 18:35:37.159,1,9.0,False,,False,True,78.057,78.057
18,0 days 00:58:12.621000,GAS,10,0 days 00:01:17.483000,19.0,2.0,,,21.825,24.774,30.884,0 days 00:57:16.988000,0 days 00:57:41.762000,0 days 00:58:12.646000,249.0,280.0,289.0,320.0,False,HARD,12.0,True,Red Bull Racing,0 days 00:56:55.138000,2019-06-09 18:36:55.216,1,9.0,False,,False,True,77.483,77.483
19,0 days 00:59:30.500000,GAS,10,0 days 00:01:17.879000,20.0,2.0,,,21.773,24.756,31.35,0 days 00:58:34.419000,0 days 00:58:59.175000,0 days 00:59:30.525000,253.0,277.0,288.0,316.0,False,HARD,13.0,True,Red Bull Racing,0 days 00:58:12.621000,2019-06-09 18:38:12.699,1,9.0,False,,False,True,77.879,77.87899999999999
20,0 days 01:00:48.447000,GAS,10,0 days 00:01:17.947000,21.0,2.0,,,21.757,24.865,31.325,0 days 00:59:52.282000,0 days 01:00:17.147000,0 days 01:00:48.472000,249.0,276.0,279.0,298.0,False,HARD,14.0,True,Red Bull Racing,0 days 00:59:30.500000,2019-06-09 18:39:30.578,1,9.0,False,,False,True,77.947,77.947
