,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:19:26.916000,RIC,3,,1.0,1.0,0 days 00:17:10.307000,0 days 00:19:25.484000,,36.335,59.754,,0 days 00:18:27.162000,0 days 00:19:27.208000,234.0,237.0,,252.0,False,MEDIUM,1.0,True,Renault,0 days 00:17:10.307000,2019-04-12 02:02:10.477,1,,False,,False,False,,
1,0 days 00:22:05.294000,RIC,3,,2.0,2.0,0 days 00:19:57.700000,0 days 00:22:03.733000,70.429,34.26,53.707,0 days 00:20:37.327000,0 days 00:21:11.587000,0 days 00:22:05.495000,252.0,251.0,,281.0,False,MEDIUM,2.0,False,Renault,0 days 00:19:26.916000,2019-04-12 02:04:27.086,1,,False,,False,False,,158.396
2,0 days 00:41:10.467000,RIC,3,,3.0,3.0,0 days 00:39:00.915000,,,37.938,47.767,,0 days 00:40:22.703000,0 days 00:41:10.536000,247.0,176.0,257.0,281.0,False,MEDIUM,3.0,False,Renault,0 days 00:22:05.294000,2019-04-12 02:07:05.464,1,,False,,False,False,,
3,0 days 00:42:47.688000,RIC,3,0 days 00:01:37.221000,4.0,3.0,,,25.64,28.956,42.625,0 days 00:41:36.107000,0 days 00:42:05.063000,0 days 00:42:47.688000,270.0,264.0,261.0,312.0,True,MEDIUM,4.0,False,Renault,0 days 00:41:10.467000,2019-04-12 02:26:10.637,1,,False,,False,True,97.221,97.221
4,0 days 00:44:59.966000,RIC,3,0 days 00:02:12.278000,5.0,3.0,,,32.361,43.941,55.976,0 days 00:43:20.049000,0 days 00:44:03.990000,0 days 00:44:59.966000,193.0,221.0,259.0,241.0,False,MEDIUM,5.0,False,Renault,0 days 00:42:47.688000,2019-04-12 02:27:47.858,1,,False,,False,True,132.278,132.278
5,0 days 00:46:36.564000,RIC,3,0 days 00:01:36.598000,6.0,3.0,,,25.58,28.715,42.303,0 days 00:45:25.546000,0 days 00:45:54.261000,0 days 00:46:36.564000,268.0,265.0,264.0,316.0,True,MEDIUM,6.0,False,Renault,0 days 00:44:59.966000,2019-04-12 02:30:00.136,1,,False,,False,True,96.598,96.598
6,0 days 00:48:54.877000,RIC,3,0 days 00:02:18.313000,7.0,3.0,,,34.006,44.109,60.198,0 days 00:47:10.570000,0 days 00:47:54.679000,0 days 00:48:54.877000,190.0,182.0,256.0,248.0,False,MEDIUM,7.0,False,Renault,0 days 00:46:36.564000,2019-04-12 02:31:36.734,1,,False,,False,True,138.313,138.31300000000002
7,0 days 00:50:31.623000,RIC,3,0 days 00:01:36.746000,8.0,3.0,,,25.62,28.971,42.155,0 days 00:49:20.497000,0 days 00:49:49.468000,0 days 00:50:31.623000,267.0,262.0,264.0,312.0,False,MEDIUM,8.0,False,Renault,0 days 00:48:54.877000,2019-04-12 02:33:55.047,1,,False,,False,True,96.746,96.74600000000001
8,0 days 00:52:27.293000,RIC,3,0 days 00:01:55.670000,9.0,3.0,,0 days 00:52:25.483000,29.844,37.077,48.749,0 days 00:51:01.467000,0 days 00:51:38.544000,0 days 00:52:27.293000,224.0,253.0,,291.0,False,MEDIUM,9.0,False,Renault,0 days 00:50:31.623000,2019-04-12 02:35:31.793,1,,False,,False,False,115.67,115.66999999999999
9,0 days 01:10:31.343000,RIC,3,,10.0,4.0,0 days 01:08:19.825000,,,38.054,52.051,,0 days 01:09:39.468000,0 days 01:10:31.451000,239.0,249.0,259.0,250.0,False,SOFT,1.0,True,Renault,0 days 00:52:27.293000,2019-04-12 02:37:27.463,1,,False,,False,False,,
