,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:35.183000,37.1,24.5,996.2,False,50.1,149,0.8
1,0 days 00:01:35.212000,37.0,24.8,996.3,False,50.1,161,1.4
2,0 days 00:02:35.209000,37.1,24.7,996.3,False,50.1,20,1.2
3,0 days 00:03:35.238000,37.1,23.8,996.3,False,50.4,352,2.1
4,0 days 00:04:35.251000,37.1,24.7,996.3,False,50.4,349,1.9
5,0 days 00:05:35.264000,36.9,24.5,996.2,False,50.0,353,1.8
6,0 days 00:06:35.277000,36.9,25.3,996.2,False,50.0,337,1.6
7,0 days 00:07:35.290000,36.9,25.3,996.3,False,49.7,56,1.1
8,0 days 00:08:35.303000,36.9,25.0,996.3,False,49.9,244,1.5
9,0 days 00:09:35.316000,36.8,23.5,996.2,False,50.5,7,1.0
10,0 days 00:10:35.329000,36.8,24.0,996.2,False,50.3,18,0.5
11,0 days 00:11:35.342000,36.7,23.7,996.2,False,50.2,356,1.4
12,0 days 00:12:35.355000,36.7,24.2,996.1,False,50.7,34,1.6
13,0 days 00:13:35.368000,36.7,24.4,996.0,False,50.8,23,1.8
14,0 days 00:14:35.381000,36.8,25.1,996.1,False,50.8,256,1.6
15,0 days 00:15:35.394000,37.0,25.0,996.1,False,50.8,329,1.1
16,0 days 00:16:35.407000,37.2,24.8,996.0,False,51.0,0,1.0
17,0 days 00:17:35.420000,37.4,24.7,996.0,False,51.0,298,1.3
18,0 days 00:18:35.433000,37.2,24.2,996.0,False,50.9,104,1.1
19,0 days 00:19:35.446000,37.2,24.4,996.0,False,50.9,110,1.8
20,0 days 00:20:35.459000,37.3,24.1,995.9,False,50.9,358,1.3
21,0 days 00:21:35.488000,37.5,23.9,995.9,False,51.0,329,0.4
22,0 days 00:22:35.594000,37.6,23.7,995.9,False,51.0,258,1.5
23,0 days 00:23:35.514000,37.7,23.0,995.9,False,51.0,88,1.1
24,0 days 00:24:35.511000,37.9,23.1,995.9,False,50.8,128,0.7
25,0 days 00:25:35.524000,38.1,22.7,996.0,False,51.0,125,0.7
26,0 days 00:26:35.537000,38.1,22.4,995.9,False,51.1,273,1.6
27,0 days 00:27:35.550000,38.2,21.7,996.0,False,51.0,356,1.3
28,0 days 00:28:35.579000,37.8,21.8,995.8,False,51.0,28,1.5
29,0 days 00:29:35.592000,37.5,22.1,995.9,False,50.5,257,1.1
30,0 days 00:30:35.605000,37.5,22.6,995.9,False,50.8,26,1.8
31,0 days 00:31:35.618000,37.5,23.9,995.9,False,50.9,12,1.9
32,0 days 00:32:35.631000,37.2,23.0,995.8,False,50.9,126,1.9
33,0 days 00:33:35.644000,37.2,23.8,995.9,False,50.8,129,1.8
34,0 days 00:34:35.657000,37.3,24.4,995.8,False,50.7,315,0.8
35,0 days 00:35:35.670000,37.4,24.2,995.8,False,50.7,325,1.6
36,0 days 00:36:35.683000,37.3,24.0,995.8,False,50.7,359,1.0
37,0 days 00:37:35.696000,37.1,24.8,995.7,False,50.2,164,3.2
38,0 days 00:38:35.709000,37.1,24.2,995.7,False,50.2,3,3.2
39,0 days 00:39:35.722000,37.4,23.7,995.7,False,50.3,305,1.1
40,0 days 00:40:35.735000,37.5,23.2,995.7,False,51.0,178,1.5
41,0 days 00:41:35.748000,37.3,23.8,995.6,False,50.2,0,1.0
42,0 days 00:42:35.761000,37.5,23.3,995.6,False,50.2,359,0.7
43,0 days 00:43:35.774000,37.7,22.8,995.5,False,50.9,109,1.1
44,0 days 00:44:35.787000,37.7,23.0,995.7,False,51.0,100,1.1
45,0 days 00:45:35.816000,37.8,22.2,995.5,False,51.3,117,1.7
46,0 days 00:46:35.813000,37.6,22.6,995.5,False,51.1,125,2.4
47,0 days 00:47:35.827000,37.7,22.4,995.6,False,51.0,0,1.7
48,0 days 00:48:35.840000,37.9,21.8,995.6,False,51.0,15,0.8
49,0 days 00:49:35.853000,37.9,22.1,995.6,False,50.8,328,0.8
50,0 days 00:50:35.990000,37.9,21.9,995.6,False,50.8,350,2.1
51,0 days 00:51:35.879000,37.9,21.2,995.6,False,50.8,340,2.2
52,0 days 00:52:35.892000,37.9,22.4,995.5,False,50.8,179,1.6
53,0 days 00:53:35.905000,37.8,22.9,995.6,False,51.0,120,1.2
54,0 days 00:54:35.917000,37.8,22.7,995.5,False,50.7,46,1.6
55,0 days 00:55:35.931000,37.5,23.6,995.6,False,50.6,0,2.1
56,0 days 00:56:35.944000,37.5,23.8,995.5,False,50.5,144,0.9
57,0 days 00:57:35.973000,37.5,23.7,995.6,False,50.6,76,1.0
58,0 days 00:58:35.970000,37.7,23.8,995.5,False,50.8,0,1.2
59,0 days 00:59:35.999000,37.5,24.0,995.5,False,50.7,108,1.2
60,0 days 01:00:35.996000,37.3,24.8,995.4,False,50.6,47,1.1
61,0 days 01:01:36.025000,37.5,24.7,995.4,False,51.3,0,0.8
62,0 days 01:02:36.038000,37.5,24.6,995.4,False,51.3,351,0.5
63,0 days 01:03:36.050000,37.5,25.0,995.4,False,50.9,346,2.0
64,0 days 01:04:36.064000,37.6,24.5,995.5,False,50.9,328,2.5
65,0 days 01:05:36.076000,37.5,24.6,995.4,False,50.9,328,1.3
66,0 days 01:06:36.090000,37.7,23.9,995.4,False,50.7,85,0.9
67,0 days 01:07:36.102000,37.7,23.2,995.4,False,50.7,108,1.5
68,0 days 01:08:36.116000,37.6,23.3,995.4,False,50.8,112,1.2
69,0 days 01:09:36.128000,37.5,23.4,995.4,False,50.8,240,2.0
70,0 days 01:10:36.142000,37.6,23.8,995.4,False,51.0,29,0.9
71,0 days 01:11:36.154000,37.9,23.4,995.4,False,51.1,0,0.9
72,0 days 01:12:36.168000,37.8,23.4,995.4,False,51.1,0,0.8
73,0 days 01:13:36.180000,37.8,22.4,995.3,False,50.8,96,0.6
74,0 days 01:14:36.194000,37.5,23.1,995.3,False,50.8,150,1.5
75,0 days 01:15:36.206000,37.3,23.5,995.3,False,50.5,119,2.9
76,0 days 01:16:36.220000,37.5,23.4,995.3,False,50.9,127,2.6
77,0 days 01:17:36.232000,37.9,22.8,995.2,False,51.1,77,1.9
78,0 days 01:18:36.324000,38.1,22.4,995.3,False,51.4,65,1.1
79,0 days 01:19:36.258000,38.0,22.2,995.3,False,51.5,159,2.4
80,0 days 01:20:36.272000,37.7,22.7,995.3,False,51.5,113,2.7
81,0 days 01:21:36.284000,37.7,22.4,995.2,False,51.0,125,0.8
82,0 days 01:22:36.298000,37.9,22.4,995.3,False,51.1,175,1.2
83,0 days 01:23:36.310000,38.3,21.7,995.2,False,51.5,45,1.0
84,0 days 01:24:36.324000,38.6,21.0,995.2,False,50.9,328,1.3
85,0 days 01:25:36.337000,38.4,21.1,995.2,False,50.9,263,0.6
86,0 days 01:26:36.365000,38.4,21.4,995.2,False,50.4,327,0.9
87,0 days 01:27:36.378000,38.1,21.6,995.1,False,50.1,338,1.5
88,0 days 01:28:36.391000,37.8,22.3,995.1,False,50.1,20,2.4
89,0 days 01:29:36.405000,37.9,22.3,995.1,False,50.4,6,1.5
90,0 days 01:30:36.418000,38.0,22.1,995.2,False,50.5,103,1.3
91,0 days 01:31:36.431000,38.0,21.9,995.2,False,50.4,109,0.6
92,0 days 01:32:36.444000,38.0,21.8,995.1,False,50.3,12,0.7
93,0 days 01:33:36.457000,37.8,22.4,995.1,False,50.2,293,2.1
94,0 days 01:34:36.470000,37.6,22.5,995.1,False,50.1,148,1.1
95,0 days 01:35:36.483000,37.7,22.4,995.1,False,50.1,0,0.9
96,0 days 01:36:36.496000,37.8,22.3,995.1,False,50.0,157,0.9
