,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:41:50.259000,GAS,10,,1.0,1.0,,,,47.155,33.41,,0 days 00:41:16.942000,0 days 00:41:50.459000,148.0,226.0,247.0,300.0,False,WET,1.0,True,Red Bull Racing,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,8.0,False,,False,False,,
1,0 days 00:43:34.452000,GAS,10,0 days 00:01:44.193000,2.0,1.0,,,22.479,44.297,37.417,0 days 00:42:12.760000,0 days 00:42:57.057000,0 days 00:43:34.474000,173.0,227.0,103.0,300.0,True,WET,2.0,True,Red Bull Racing,0 days 00:41:50.259000,2019-07-28 13:21:50.421,14,8.0,False,,False,False,104.193,104.193
2,0 days 00:45:36.067000,GAS,10,0 days 00:02:01.615000,3.0,1.0,,0 days 00:45:33.687000,26.604,53.79,41.221,0 days 00:44:01.078000,0 days 00:44:54.868000,0 days 00:45:36.089000,156.0,195.0,,152.0,False,WET,3.0,True,Red Bull Racing,0 days 00:43:34.452000,2019-07-28 13:23:34.614,4,9.0,False,,False,False,121.615,121.61500000000001
3,0 days 00:47:55.714000,GAS,10,0 days 00:02:19.647000,4.0,2.0,0 days 00:46:03.327000,,48.87,53.513,37.264,0 days 00:46:24.959000,0 days 00:47:18.472000,0 days 00:47:55.736000,139.0,220.0,246.0,161.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:45:36.067000,2019-07-28 13:25:36.229,41,18.0,False,,False,False,139.647,139.647
4,0 days 00:49:35.530000,GAS,10,0 days 00:01:39.816000,5.0,2.0,,,22.405,44.69,32.721,0 days 00:48:18.141000,0 days 00:49:02.831000,0 days 00:49:35.552000,173.0,224.0,254.0,313.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:47:55.714000,2019-07-28 13:27:55.876,1,18.0,False,,False,True,99.816,99.816
5,0 days 00:51:16.716000,GAS,10,0 days 00:01:41.186000,6.0,2.0,,,22.541,46.339,32.306,0 days 00:49:58.093000,0 days 00:50:44.432000,0 days 00:51:16.738000,167.0,231.0,245.0,311.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:49:35.530000,2019-07-28 13:29:35.692,1,19.0,False,,False,True,101.186,101.18599999999999
6,0 days 00:52:53.919000,GAS,10,0 days 00:01:37.203000,7.0,2.0,,,22.105,43.686,31.412,0 days 00:51:38.843000,0 days 00:52:22.529000,0 days 00:52:53.941000,173.0,231.0,249.0,311.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:51:16.716000,2019-07-28 13:31:16.878,1,16.0,False,,False,True,97.203,97.203
7,0 days 00:54:27.640000,GAS,10,0 days 00:01:33.721000,8.0,2.0,,,21.365,42.646,29.71,0 days 00:53:15.306000,0 days 00:53:57.952000,0 days 00:54:27.662000,174.0,229.0,252.0,307.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:52:53.919000,2019-07-28 13:32:54.081,1,15.0,False,,False,True,93.721,93.721
8,0 days 00:56:01.574000,GAS,10,0 days 00:01:33.934000,9.0,2.0,,,21.087,42.928,29.919,0 days 00:54:48.749000,0 days 00:55:31.677000,0 days 00:56:01.596000,175.0,234.0,251.0,309.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 00:54:27.640000,2019-07-28 13:34:27.802,1,14.0,False,,False,True,93.934,93.934
9,0 days 00:57:34.478000,GAS,10,0 days 00:01:32.904000,10.0,2.0,,,20.492,42.714,29.698,0 days 00:56:22.088000,0 days 00:57:04.802000,0 days 00:57:34.500000,184.0,237.0,251.0,314.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 00:56:01.574000,2019-07-28 13:36:01.736,1,14.0,False,,False,True,92.904,92.904
