,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:08.766000,24.5,55.7,982.3,False,40.9,301,1.4
1,0 days 00:01:08.779000,24.6,54.9,982.3,False,41.5,272,1.1
2,0 days 00:02:08.792000,24.5,55.3,982.3,False,42.0,192,1.1
3,0 days 00:03:08.805000,24.4,56.7,982.3,False,42.1,246,0.7
4,0 days 00:04:08.818000,24.6,55.2,982.3,False,43.3,260,0.6
5,0 days 00:05:08.831000,24.7,54.6,982.3,False,43.6,287,2.2
6,0 days 00:06:08.844000,24.8,52.8,982.4,False,42.5,244,1.0
7,0 days 00:07:08.857000,24.6,53.6,982.3,False,42.5,231,0.6
8,0 days 00:08:08.870000,24.3,55.2,982.3,False,42.8,84,0.7
9,0 days 00:09:08.883000,24.3,55.5,982.3,False,43.2,183,0.6
10,0 days 00:10:08.896000,24.1,56.1,982.3,False,43.9,189,1.1
11,0 days 00:11:08.909000,24.2,56.2,982.2,False,44.0,158,0.7
12,0 days 00:12:08.938000,24.3,56.0,982.1,False,44.8,322,0.7
13,0 days 00:13:08.935000,24.6,54.3,982.2,False,45.6,261,1.4
14,0 days 00:14:08.964000,24.9,52.8,982.2,False,45.9,255,1.7
15,0 days 00:15:08.961000,25.1,52.0,982.1,False,45.9,256,0.7
16,0 days 00:16:08.990000,25.1,52.2,982.2,False,44.8,212,1.1
17,0 days 00:17:09.003000,25.0,52.1,982.2,False,42.8,246,0.8
18,0 days 00:18:09.016000,24.9,52.5,982.2,False,42.5,324,0.7
19,0 days 00:19:09.029000,25.1,51.8,982.2,False,42.5,323,1.0
20,0 days 00:20:09.042000,25.0,52.6,982.2,False,43.3,274,1.4
21,0 days 00:21:09.055000,24.8,53.2,982.3,False,43.3,287,2.0
22,0 days 00:22:09.146000,24.8,53.5,982.2,False,41.2,291,0.6
23,0 days 00:23:09.081000,24.9,53.9,982.3,False,40.2,296,1.1
24,0 days 00:24:09.094000,24.9,52.8,982.2,False,40.0,319,1.0
25,0 days 00:25:09.107000,24.9,53.3,982.2,False,39.3,307,1.4
26,0 days 00:26:09.572000,24.8,52.9,982.2,False,39.1,300,1.2
27,0 days 00:27:09.133000,24.8,52.1,982.1,False,39.0,0,1.3
28,0 days 00:28:09.146000,24.9,52.0,982.1,False,38.4,273,0.8
29,0 days 00:29:09.159000,24.7,49.7,982.2,False,38.3,319,1.5
30,0 days 00:30:09.172000,24.6,48.6,982.2,False,38.1,274,2.1
31,0 days 00:31:09.185000,24.9,48.9,982.2,False,37.8,282,2.1
32,0 days 00:32:09.198000,24.9,48.6,982.2,False,37.5,314,1.4
33,0 days 00:33:09.211000,24.7,48.3,982.2,False,37.4,305,0.9
34,0 days 00:34:09.224000,24.8,48.4,982.3,False,37.5,341,1.0
35,0 days 00:35:09.237000,24.9,48.9,982.2,False,37.3,0,1.0
36,0 days 00:36:09.250000,25.0,49.6,982.2,False,37.3,262,0.9
37,0 days 00:37:09.263000,25.0,47.2,982.2,False,38.0,301,1.7
38,0 days 00:38:09.276000,25.1,47.6,982.2,False,38.0,298,0.8
39,0 days 00:39:09.289000,25.2,45.7,982.2,False,37.5,256,1.9
40,0 days 00:40:09.302000,25.2,44.0,982.2,False,37.1,260,1.3
41,0 days 00:41:09.315000,25.2,44.5,982.2,False,36.6,281,1.8
42,0 days 00:42:09.329000,25.2,44.5,982.2,False,36.5,297,1.5
43,0 days 00:43:09.342000,25.2,43.4,982.1,False,36.3,306,1.8
44,0 days 00:44:09.355000,25.1,44.5,982.2,False,36.3,282,1.4
45,0 days 00:45:09.367000,25.1,44.6,982.2,False,35.9,266,1.9
46,0 days 00:46:09.396000,25.0,46.0,982.3,False,35.9,278,1.3
47,0 days 00:47:09.409000,25.1,46.4,982.3,False,35.8,279,1.3
48,0 days 00:48:09.485000,24.9,46.9,982.3,False,35.5,279,2.0
49,0 days 00:49:09.435000,24.9,47.8,982.3,False,35.3,294,1.2
50,0 days 00:50:09.558000,24.9,47.6,982.3,False,35.3,308,2.2
51,0 days 00:51:09.492000,24.8,45.5,982.2,False,35.3,291,2.3
52,0 days 00:52:09.506000,24.7,45.6,982.2,False,35.3,273,2.2
53,0 days 00:53:09.518000,24.6,46.2,982.3,False,35.2,262,1.0
54,0 days 00:54:09.625000,24.7,45.8,982.2,False,35.2,215,1.2
55,0 days 00:55:09.513000,24.7,46.6,982.2,False,35.2,314,0.8
56,0 days 00:56:09.526000,24.7,46.3,982.3,False,35.1,275,0.7
57,0 days 00:57:09.555000,24.7,46.9,982.2,False,35.0,267,1.5
58,0 days 00:58:09.552000,24.7,47.3,982.2,False,35.0,151,0.9
59,0 days 00:59:09.565000,24.7,48.0,982.3,False,35.0,254,1.1
60,0 days 01:00:09.578000,24.8,49.2,982.3,False,35.5,274,1.6
61,0 days 01:01:09.591000,24.7,50.1,982.3,False,35.2,316,1.8
62,0 days 01:02:09.604000,24.6,51.0,982.2,False,35.1,317,1.5
63,0 days 01:03:09.617000,24.4,51.9,982.2,False,34.9,295,1.3
64,0 days 01:04:09.630000,24.4,52.3,982.2,False,34.7,304,1.0
65,0 days 01:05:09.643000,24.3,52.6,982.2,False,34.7,269,1.5
66,0 days 01:06:09.656000,24.2,53.4,982.2,False,34.9,292,1.4
67,0 days 01:07:09.669000,24.1,51.8,982.1,False,35.0,272,1.2
68,0 days 01:08:09.682000,24.2,51.9,982.1,False,35.1,276,0.8
69,0 days 01:09:09.695000,24.2,52.4,982.1,False,34.7,312,1.4
70,0 days 01:10:09.708000,24.3,51.9,982.1,False,34.8,264,0.7
71,0 days 01:11:09.721000,24.3,52.1,982.1,False,34.8,177,1.1
72,0 days 01:12:09.734000,24.5,51.7,982.1,False,34.8,267,1.1
73,0 days 01:13:09.747000,24.6,52.4,982.1,False,34.8,139,0.9
74,0 days 01:14:09.760000,24.5,53.2,982.2,False,34.5,333,0.5
75,0 days 01:15:09.774000,24.5,53.0,982.2,False,34.5,333,0.8
76,0 days 01:16:09.849000,24.5,53.2,982.1,False,34.6,295,0.8
77,0 days 01:17:09.800000,24.5,53.2,982.1,False,36.6,29,0.6
78,0 days 01:18:09.891000,24.5,53.2,982.2,False,38.8,0,0.5
