,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:16.691000,HAM,44,0 days 00:01:27.403000,1.0,1.0,,,,30.046,23.087,,0 days 00:33:53.727000,0 days 00:34:16.960000,275.0,238.0,249.0,250.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,2.0,False,,False,False,87.403,
1,0 days 00:35:39.026000,HAM,44,0 days 00:01:22.335000,2.0,1.0,,,29.502,29.662,23.171,0 days 00:34:46.231000,0 days 00:35:15.893000,0 days 00:35:39.064000,273.0,239.0,248.0,288.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:34:16.691000,2019-08-04 13:14:16.720,12,2.0,False,,False,True,82.335,82.33500000000001
2,0 days 00:37:00.972000,HAM,44,0 days 00:01:21.946000,3.0,1.0,,,29.428,29.407,23.111,0 days 00:36:08.492000,0 days 00:36:37.899000,0 days 00:37:01.010000,274.0,239.0,247.0,282.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:35:39.026000,2019-08-04 13:15:39.055,1,2.0,False,,False,True,81.946,81.946
3,0 days 00:38:22.618000,HAM,44,0 days 00:01:21.646000,4.0,1.0,,,29.418,29.228,23.0,0 days 00:37:30.428000,0 days 00:37:59.656000,0 days 00:38:22.656000,271.0,241.0,247.0,282.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:37:00.972000,2019-08-04 13:17:01.001,1,2.0,False,,False,True,81.646,81.646
4,0 days 00:39:44.385000,HAM,44,0 days 00:01:21.767000,5.0,1.0,,,29.441,29.228,23.098,0 days 00:38:52.097000,0 days 00:39:21.325000,0 days 00:39:44.423000,273.0,239.0,247.0,287.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:38:22.618000,2019-08-04 13:18:22.647,1,2.0,False,,False,True,81.767,81.767
5,0 days 00:41:05.987000,HAM,44,0 days 00:01:21.602000,6.0,1.0,,,29.394,29.157,23.051,0 days 00:40:13.817000,0 days 00:40:42.974000,0 days 00:41:06.025000,276.0,243.0,247.0,288.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:39:44.385000,2019-08-04 13:19:44.414,1,2.0,False,,False,True,81.602,81.602
6,0 days 00:42:27.645000,HAM,44,0 days 00:01:21.658000,7.0,1.0,,,29.42,29.203,23.035,0 days 00:41:35.445000,0 days 00:42:04.648000,0 days 00:42:27.683000,273.0,243.0,248.0,289.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:41:05.987000,2019-08-04 13:21:06.016,1,2.0,False,,False,True,81.658,81.658
7,0 days 00:43:48.938000,HAM,44,0 days 00:01:21.293000,8.0,1.0,,,29.34,29.008,22.945,0 days 00:42:57.023000,0 days 00:43:26.031000,0 days 00:43:48.976000,277.0,244.0,248.0,289.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:42:27.645000,2019-08-04 13:22:27.674,1,2.0,False,,False,True,81.293,81.293
8,0 days 00:45:10.473000,HAM,44,0 days 00:01:21.535000,9.0,1.0,,,29.288,29.152,23.095,0 days 00:44:18.264000,0 days 00:44:47.416000,0 days 00:45:10.511000,274.0,241.0,248.0,289.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:43:48.938000,2019-08-04 13:23:48.967,1,2.0,False,,False,True,81.535,81.535
9,0 days 00:46:31.957000,HAM,44,0 days 00:01:21.484000,10.0,1.0,,,29.331,29.062,23.091,0 days 00:45:39.842000,0 days 00:46:08.904000,0 days 00:46:31.995000,277.0,243.0,247.0,289.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:45:10.473000,2019-08-04 13:25:10.502,1,2.0,False,,False,True,81.484,81.48400000000001
