,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:39.589000,HAM,44,0 days 00:01:39.041000,1.0,1.0,,,,33.7,32.027,,0 days 00:34:09.529000,0 days 00:34:40.553000,282.0,284.0,151.0,316.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:01.144000,2019-10-27 19:13:01.464,16,5.0,False,,False,False,99.041,
1,0 days 00:36:25.593000,HAM,44,0 days 00:01:46.004000,2.0,1.0,,,37.047,41.599,27.358,0 days 00:35:17.407000,0 days 00:35:59.006000,0 days 00:36:26.364000,194.0,218.0,160.0,284.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:34:39.589000,2019-10-27 19:14:39.909,67,5.0,False,,False,False,106.004,106.00399999999999
2,0 days 00:37:52.075000,HAM,44,0 days 00:01:26.482000,3.0,1.0,,,32.916,32.198,21.368,0 days 00:36:59.280000,0 days 00:37:31.478000,0 days 00:37:52.846000,272.0,291.0,249.0,257.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:36:25.593000,2019-10-27 19:16:25.913,71,5.0,False,,False,False,86.482,86.482
3,0 days 00:39:13.350000,HAM,44,0 days 00:01:21.275000,4.0,1.0,,,28.3,31.769,21.206,0 days 00:38:21.146000,0 days 00:38:52.915000,0 days 00:39:14.121000,279.0,284.0,246.0,352.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:37:52.075000,2019-10-27 19:17:52.395,1,4.0,False,,False,True,81.275,81.275
4,0 days 00:40:35.332000,HAM,44,0 days 00:01:21.982000,5.0,1.0,,,28.804,31.763,21.415,0 days 00:39:42.925000,0 days 00:40:14.688000,0 days 00:40:36.103000,284.0,284.0,248.0,329.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:39:13.350000,2019-10-27 19:19:13.670,12,4.0,False,,False,True,81.982,81.982
5,0 days 00:41:56.973000,HAM,44,0 days 00:01:21.641000,6.0,1.0,,,28.771,31.733,21.137,0 days 00:41:04.874000,0 days 00:41:36.607000,0 days 00:41:57.744000,288.0,282.0,247.0,330.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:40:35.332000,2019-10-27 19:20:35.652,1,4.0,False,,False,True,81.641,81.641
6,0 days 00:43:18.803000,HAM,44,0 days 00:01:21.830000,7.0,1.0,,,28.686,31.811,21.333,0 days 00:42:26.430000,0 days 00:42:58.241000,0 days 00:43:19.574000,290.0,282.0,247.0,332.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:41:56.973000,2019-10-27 19:21:57.293,1,4.0,False,,False,True,81.83,81.83
7,0 days 00:44:40.618000,HAM,44,0 days 00:01:21.815000,8.0,1.0,,,28.75,31.81,21.255,0 days 00:43:48.324000,0 days 00:44:20.134000,0 days 00:44:41.389000,285.0,282.0,247.0,334.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:43:18.803000,2019-10-27 19:23:19.123,1,4.0,False,,False,True,81.815,81.815
8,0 days 00:46:02.472000,HAM,44,0 days 00:01:21.854000,9.0,1.0,,,28.68,31.781,21.393,0 days 00:45:10.069000,0 days 00:45:41.850000,0 days 00:46:03.243000,282.0,282.0,247.0,334.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:44:40.618000,2019-10-27 19:24:40.938,1,4.0,False,,False,True,81.854,81.854
9,0 days 00:47:24.098000,HAM,44,0 days 00:01:21.626000,10.0,1.0,,,28.424,31.859,21.343,0 days 00:46:31.667000,0 days 00:47:03.526000,0 days 00:47:24.869000,284.0,290.0,246.0,350.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:46:02.472000,2019-10-27 19:26:02.792,1,4.0,False,,False,True,81.626,81.626
