,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:36.908000,HAM,44,0 days 00:02:09.204000,1.0,1.0,,,,51.079,39.919,,0 days 00:34:57.002000,0 days 00:35:37.114000,220.0,180.0,151.0,281.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:27.500000,2019-09-29 11:13:27.792,124,3.0,False,,False,False,129.204,
1,0 days 00:38:16.809000,HAM,44,,2.0,1.0,,,65.578,50.762,43.561,0 days 00:36:42.693000,0 days 00:37:33.261000,0 days 00:38:17.442000,98.0,192.0,129.0,236.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:35:36.908000,2019-09-29 11:15:37.200,4,3.0,False,,False,False,,159.901
2,0 days 00:40:58.885000,HAM,44,,3.0,1.0,,,58.765,55.847,47.48,0 days 00:39:15.651000,0 days 00:40:11.497000,0 days 00:40:59.750000,173.0,113.0,160.0,109.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:38:16.809000,2019-09-29 11:18:17.101,41,3.0,False,,False,False,,162.09199999999998
3,0 days 00:42:39.936000,HAM,44,0 days 00:01:41.051000,4.0,1.0,,,36.238,35.112,29.701,0 days 00:41:35.136000,0 days 00:42:10.248000,0 days 00:42:39.949000,235.0,295.0,164.0,300.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:40:58.885000,2019-09-29 11:20:59.177,1,3.0,False,,False,True,101.051,101.05099999999999
4,0 days 00:44:20.061000,HAM,44,0 days 00:01:40.125000,5.0,1.0,,,35.94,34.842,29.343,0 days 00:43:15.889000,0 days 00:43:50.731000,0 days 00:44:20.074000,245.0,293.0,165.0,289.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:42:39.936000,2019-09-29 11:22:40.228,1,3.0,False,,False,True,100.125,100.125
5,0 days 00:46:00.029000,HAM,44,0 days 00:01:39.968000,6.0,1.0,,,36.039,34.705,29.224,0 days 00:44:56.113000,0 days 00:45:30.818000,0 days 00:46:00.042000,253.0,290.0,161.0,294.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:44:20.061000,2019-09-29 11:24:20.353,1,3.0,False,,False,True,99.968,99.968
6,0 days 00:47:39.610000,HAM,44,0 days 00:01:39.581000,7.0,1.0,,,35.836,34.404,29.341,0 days 00:46:35.878000,0 days 00:47:10.282000,0 days 00:47:39.623000,259.0,296.0,165.0,288.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:46:00.029000,2019-09-29 11:26:00.321,1,3.0,False,,False,True,99.581,99.58100000000002
7,0 days 00:49:18.992000,HAM,44,0 days 00:01:39.382000,8.0,1.0,,,35.67,34.345,29.367,0 days 00:48:15.293000,0 days 00:48:49.638000,0 days 00:49:19.005000,259.0,294.0,158.0,295.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:47:39.610000,2019-09-29 11:27:39.902,1,3.0,False,,False,True,99.382,99.382
8,0 days 00:50:58.183000,HAM,44,0 days 00:01:39.191000,9.0,1.0,,,35.686,34.414,29.091,0 days 00:49:54.691000,0 days 00:50:29.105000,0 days 00:50:58.196000,258.0,294.0,164.0,293.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:49:18.992000,2019-09-29 11:29:19.284,1,3.0,False,,False,True,99.191,99.191
9,0 days 00:52:38.508000,HAM,44,0 days 00:01:40.325000,10.0,1.0,,,35.603,35.443,29.279,0 days 00:51:33.799000,0 days 00:52:09.242000,0 days 00:52:38.521000,259.0,296.0,165.0,295.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:50:58.183000,2019-09-29 11:30:58.475,1,3.0,False,,False,True,100.325,100.32499999999999
10,0 days 00:54:17.843000,HAM,44,0 days 00:01:39.335000,11.0,1.0,,,35.696,34.5,29.139,0 days 00:53:14.217000,0 days 00:53:48.717000,0 days 00:54:17.856000,258.0,292.0,160.0,295.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:52:38.508000,2019-09-29 11:32:38.800,1,3.0,False,,False,True,99.335,99.335
