,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:23.642000,RIC,3,,1.0,1.0,0 days 00:16:10.195000,0 days 00:18:22.609000,,56.873,45.129,,0 days 00:17:38.513000,0 days 00:18:23.706000,162.0,159.0,,224.0,False,SOFT,1.0,True,Renault,0 days 00:16:10.195000,2019-11-01 16:01:10.301,1,,False,,False,False,,
1,0 days 00:21:13.686000,RIC,3,,2.0,2.0,0 days 00:19:11.302000,0 days 00:21:12.616000,76.238,49.676,44.139,0 days 00:19:39.874000,0 days 00:20:29.547000,0 days 00:21:14.124000,188.0,163.0,,200.0,False,TEST,1.0,True,Renault,0 days 00:18:23.642000,2019-11-01 16:03:23.748,1,,False,,False,False,,170.053
2,0 days 00:37:33.820000,RIC,3,,3.0,3.0,0 days 00:35:42.616000,,,46.528,35.28,,0 days 00:36:59.866000,0 days 00:37:34.980000,187.0,175.0,210.0,157.0,False,SOFT,2.0,False,Renault,0 days 00:21:13.686000,2019-11-01 16:06:13.792,1,,False,,False,False,,
3,0 days 00:39:11.588000,RIC,3,0 days 00:01:37.768000,4.0,3.0,,,26.533,39.356,31.879,0 days 00:38:00.353000,0 days 00:38:39.709000,0 days 00:39:11.588000,223.0,187.0,209.0,307.0,True,SOFT,3.0,False,Renault,0 days 00:37:33.820000,2019-11-01 16:22:33.926,1,,False,,False,True,97.768,97.76800000000001
4,0 days 00:41:17.754000,RIC,3,0 days 00:02:06.166000,5.0,3.0,,,30.465,55.336,40.365,0 days 00:39:42.053000,0 days 00:40:37.389000,0 days 00:41:17.754000,173.0,165.0,209.0,172.0,False,SOFT,4.0,False,Renault,0 days 00:39:11.588000,2019-11-01 16:24:11.694,1,,False,,False,True,126.166,126.166
5,0 days 00:42:55.075000,RIC,3,0 days 00:01:37.321000,6.0,3.0,,,26.424,38.992,31.905,0 days 00:41:44.178000,0 days 00:42:23.170000,0 days 00:42:55.075000,233.0,187.0,209.0,309.0,True,SOFT,5.0,False,Renault,0 days 00:41:17.754000,2019-11-01 16:26:17.860,1,,False,,False,True,97.321,97.321
6,0 days 00:44:59.452000,RIC,3,0 days 00:02:04.377000,7.0,3.0,,,34.03,52.008,38.339,0 days 00:43:29.105000,0 days 00:44:21.113000,0 days 00:44:59.452000,178.0,164.0,211.0,224.0,False,SOFT,6.0,False,Renault,0 days 00:42:55.075000,2019-11-01 16:27:55.181,1,,False,,False,True,124.377,124.37700000000001
7,0 days 00:46:36.058000,RIC,3,0 days 00:01:36.606000,8.0,3.0,,,26.26,38.77,31.576,0 days 00:45:25.712000,0 days 00:46:04.482000,0 days 00:46:36.058000,232.0,189.0,211.0,309.0,True,SOFT,7.0,False,Renault,0 days 00:44:59.452000,2019-11-01 16:29:59.558,1,,False,,False,True,96.606,96.606
8,0 days 00:48:31.945000,RIC,3,0 days 00:01:55.887000,9.0,3.0,,0 days 00:48:31.443000,29.779,48.823,37.285,0 days 00:47:05.837000,0 days 00:47:54.660000,0 days 00:48:31.945000,157.0,172.0,,195.0,False,SOFT,8.0,False,Renault,0 days 00:46:36.058000,2019-11-01 16:31:36.164,12,,False,,False,False,115.887,115.887
9,0 days 00:54:09.137000,RIC,3,,10.0,4.0,0 days 00:52:19.843000,,,44.559,37.217,,0 days 00:53:31.936000,0 days 00:54:09.253000,196.0,167.0,211.0,287.0,False,TEST,2.0,False,Renault,0 days 00:48:31.945000,2019-11-01 16:33:32.051,1,,False,,False,False,,
10,0 days 00:55:45.983000,RIC,3,0 days 00:01:36.846000,11.0,4.0,,,26.296,38.877,31.673,0 days 00:54:35.433000,0 days 00:55:14.310000,0 days 00:55:45.983000,230.0,186.0,209.0,308.0,False,TEST,3.0,False,Renault,0 days 00:54:09.137000,2019-11-01 16:39:09.243,1,,False,,False,True,96.846,96.846
11,0 days 00:57:51.075000,RIC,3,0 days 00:02:05.092000,12.0,4.0,,,34.507,49.87,40.715,0 days 00:56:20.490000,0 days 00:57:10.360000,0 days 00:57:51.075000,172.0,151.0,211.0,172.0,False,TEST,4.0,False,Renault,0 days 00:55:45.983000,2019-11-01 16:40:46.089,1,,False,,False,True,125.092,125.092
12,0 days 00:59:27.537000,RIC,3,0 days 00:01:36.462000,13.0,4.0,,,26.296,38.632,31.534,0 days 00:58:17.371000,0 days 00:58:56.003000,0 days 00:59:27.537000,226.0,187.0,208.0,307.0,True,TEST,5.0,False,Renault,0 days 00:57:51.075000,2019-11-01 16:42:51.181,1,,False,,False,True,96.462,96.46199999999999
13,0 days 01:01:26.895000,RIC,3,0 days 00:01:59.358000,14.0,4.0,,,34.43,49.28,35.648,0 days 01:00:01.967000,0 days 01:00:51.247000,0 days 01:01:26.895000,168.0,148.0,211.0,268.0,False,TEST,6.0,False,Renault,0 days 00:59:27.537000,2019-11-01 16:44:27.643,1,,False,,False,True,119.358,119.358
14,0 days 01:03:03.102000,RIC,3,0 days 00:01:36.207000,15.0,4.0,,,26.162,38.454,31.591,0 days 01:01:53.057000,0 days 01:02:31.511000,0 days 01:03:03.102000,230.0,187.0,212.0,310.0,True,TEST,7.0,False,Renault,0 days 01:01:26.895000,2019-11-01 16:46:27.001,1,,False,,False,True,96.207,96.207
15,0 days 01:04:50.512000,RIC,3,0 days 00:01:47.410000,16.0,4.0,,0 days 01:04:49.451000,27.392,43.341,36.677,0 days 01:03:30.494000,0 days 01:04:13.835000,0 days 01:04:50.512000,221.0,178.0,,292.0,False,TEST,8.0,False,Renault,0 days 01:03:03.102000,2019-11-01 16:48:03.208,1,,False,,False,False,107.41,107.41
16,0 days 01:18:39.294000,RIC,3,,17.0,5.0,0 days 01:16:45.942000,,,46.377,36.702,,0 days 01:18:02.700000,0 days 01:18:39.322000,173.0,155.0,213.0,286.0,False,SOFT,1.0,True,Renault,0 days 01:04:50.512000,2019-11-01 16:49:50.618,1,,False,,False,False,,
17,0 days 01:20:14.557000,RIC,3,0 days 00:01:35.263000,18.0,5.0,,,25.699,38.114,31.45,0 days 01:19:04.993000,0 days 01:19:43.107000,0 days 01:20:14.557000,232.0,188.0,212.0,313.0,True,SOFT,2.0,True,Renault,0 days 01:18:39.294000,2019-11-01 17:03:39.400,1,,False,,False,True,95.263,95.263
