,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:23.879000,24.0,63.7,1003.6,False,33.1,39,3.0
1,0 days 00:01:23.882000,24.1,63.0,1003.6,False,33.2,356,3.4
2,0 days 00:02:23.879000,23.9,63.3,1003.6,False,33.1,9,2.4
3,0 days 00:03:23.879000,24.1,62.8,1003.6,False,33.1,15,1.5
4,0 days 00:04:23.872000,23.9,63.1,1003.6,False,33.3,32,3.5
5,0 days 00:05:23.875000,24.0,63.7,1003.6,False,33.6,16,2.8
6,0 days 00:06:23.883000,24.1,63.0,1003.6,False,33.9,22,2.7
7,0 days 00:07:23.883000,24.0,62.5,1003.6,False,33.9,23,3.3
8,0 days 00:08:23.875000,23.8,63.5,1003.7,False,33.9,348,1.4
9,0 days 00:09:23.889000,23.8,63.2,1003.5,False,33.5,11,2.6
10,0 days 00:10:23.890000,23.7,64.2,1003.7,False,34.1,7,2.0
11,0 days 00:11:23.883000,23.8,63.3,1003.5,False,34.6,30,2.9
12,0 days 00:12:23.902000,23.9,63.2,1003.6,False,34.7,19,3.0
13,0 days 00:13:23.894000,24.1,62.8,1003.6,False,34.6,21,3.6
14,0 days 00:14:23.910000,24.3,62.4,1003.6,False,35.4,54,3.0
15,0 days 00:15:23.910000,24.3,61.9,1003.6,False,35.2,29,2.4
16,0 days 00:16:23.928000,24.5,61.8,1003.7,False,35.2,21,3.2
17,0 days 00:17:23.945000,24.4,61.4,1003.7,False,35.1,32,3.3
18,0 days 00:18:23.951000,24.3,61.7,1003.7,False,35.0,19,3.2
19,0 days 00:19:23.956000,24.2,61.9,1003.6,False,34.9,13,2.7
20,0 days 00:20:23.976000,24.0,62.7,1003.7,False,34.8,7,2.6
21,0 days 00:21:23.996000,24.0,62.9,1003.6,False,34.9,25,2.1
22,0 days 00:22:24.004000,24.0,63.0,1003.7,False,35.0,26,1.8
23,0 days 00:23:23.997000,24.2,62.3,1003.6,False,35.5,13,3.3
24,0 days 00:24:23.993000,24.2,62.4,1003.7,False,35.5,24,3.2
25,0 days 00:25:24.022000,24.0,62.1,1003.6,False,34.6,13,3.8
26,0 days 00:26:23.984000,23.7,63.5,1003.7,False,34.2,16,2.6
27,0 days 00:27:23.988000,23.7,63.8,1003.7,False,35.2,358,2.3
28,0 days 00:28:23.991000,23.8,63.1,1003.7,False,35.4,13,2.0
29,0 days 00:29:24.001000,23.9,63.0,1003.7,False,35.5,52,1.8
30,0 days 00:30:24.003000,24.2,62.1,1003.7,False,35.6,1,1.9
31,0 days 00:31:24.005000,24.2,63.1,1003.6,False,35.9,3,3.4
32,0 days 00:32:24.010000,24.5,62.3,1003.7,False,36.8,39,3.0
33,0 days 00:33:24.017000,24.7,61.1,1003.7,False,36.8,38,2.8
34,0 days 00:34:24.034000,24.9,60.3,1003.7,False,36.5,25,3.0
35,0 days 00:35:24.027000,24.7,60.1,1003.6,False,36.5,34,4.3
36,0 days 00:36:24.035000,24.4,61.0,1003.7,False,36.7,17,4.1
37,0 days 00:37:24.025000,24.4,61.5,1003.7,False,36.7,30,3.2
38,0 days 00:38:24.036000,24.7,60.6,1003.7,False,36.9,358,3.1
39,0 days 00:39:24.033000,24.6,60.9,1003.8,False,36.5,29,3.0
40,0 days 00:40:24.030000,24.7,60.0,1003.7,False,36.6,21,3.3
41,0 days 00:41:24.034000,24.5,60.3,1003.7,False,36.8,35,3.0
42,0 days 00:42:24.040000,24.4,60.8,1003.8,False,36.4,3,2.3
43,0 days 00:43:24.039000,24.5,60.9,1003.6,False,36.8,16,3.0
44,0 days 00:44:24.058000,24.5,60.4,1003.7,False,37.0,32,4.1
45,0 days 00:45:24.034000,24.4,61.3,1003.8,False,37.6,22,2.9
46,0 days 00:46:24.050000,24.6,60.3,1003.8,False,37.6,9,3.4
47,0 days 00:47:24.026000,24.7,60.8,1003.7,False,37.3,5,2.6
48,0 days 00:48:24.040000,25.0,59.7,1003.8,False,38.0,8,2.4
49,0 days 00:49:24.038000,24.9,58.8,1003.8,False,37.7,17,2.6
50,0 days 00:50:24.032000,24.6,60.3,1003.8,False,36.7,5,1.2
51,0 days 00:51:24.031000,24.7,60.3,1003.7,False,37.2,6,1.3
52,0 days 00:52:24.042000,25.1,58.5,1003.8,False,37.4,23,3.2
53,0 days 00:53:24.030000,25.1,58.8,1003.7,False,37.4,15,2.9
54,0 days 00:54:24.033000,25.2,58.3,1003.6,False,37.8,21,3.3
55,0 days 00:55:24.038000,25.2,58.3,1003.7,False,38.1,26,3.2
56,0 days 00:56:24.042000,25.0,58.7,1003.7,False,38.3,10,2.8
57,0 days 00:57:24.051000,25.1,58.8,1003.7,False,38.4,35,3.1
58,0 days 00:58:24.051000,24.9,59.6,1003.6,False,37.6,13,3.2
59,0 days 00:59:24.046000,24.9,59.0,1003.7,False,37.0,9,2.6
60,0 days 01:00:24.049000,24.9,59.0,1003.8,False,37.1,20,2.7
61,0 days 01:01:24.047000,24.9,58.7,1003.7,False,37.8,9,3.1
62,0 days 01:02:24.055000,24.9,59.0,1003.6,False,38.4,16,2.7
63,0 days 01:03:24.056000,25.1,59.0,1003.8,False,38.6,9,2.1
64,0 days 01:04:24.090000,25.4,58.1,1003.7,False,38.6,40,1.3
65,0 days 01:05:24.095000,25.6,57.5,1003.7,False,38.6,13,1.8
66,0 days 01:06:24.099000,25.5,56.6,1003.7,False,38.3,37,2.5
67,0 days 01:07:24.103000,25.1,58.1,1003.6,False,38.0,18,3.0
68,0 days 01:08:24.098000,24.9,59.3,1003.6,False,37.6,10,1.8
69,0 days 01:09:24.101000,25.0,58.8,1003.8,False,38.5,14,3.8
70,0 days 01:10:24.106000,25.0,58.6,1003.8,False,38.8,29,3.6
71,0 days 01:11:24.112000,25.1,58.5,1003.7,False,38.9,18,3.8
72,0 days 01:12:24.092000,25.3,57.7,1003.7,False,39.3,5,2.9
73,0 days 01:13:24.112000,25.3,57.8,1003.7,False,39.3,17,3.7
74,0 days 01:14:24.129000,25.2,57.3,1003.7,False,39.3,27,3.7
75,0 days 01:15:24.131000,25.3,57.2,1003.7,False,39.4,25,3.3
76,0 days 01:16:24.140000,25.4,57.3,1003.8,False,39.6,35,3.5
77,0 days 01:17:24.150000,25.4,57.2,1003.7,False,39.3,15,2.8
78,0 days 01:18:24.162000,25.4,57.4,1003.7,False,39.6,28,3.7
79,0 days 01:19:24.163000,25.4,56.7,1003.6,False,39.5,24,3.9
80,0 days 01:20:24.170000,25.4,56.9,1003.7,False,39.5,28,3.4
81,0 days 01:21:24.188000,25.3,56.8,1003.6,False,39.3,7,3.8
