,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:41:21.769000,RIC,3,,1.0,1.0,0 days 00:39:20.399000,,,53.016,31.516,,0 days 00:40:51.001000,0 days 00:41:21.875000,250.0,206.0,250.0,157.0,False,SOFT,1.0,True,Renault,0 days 00:39:20.399000,2020-08-08 10:24:20.488,1,,False,,False,False,,
1,0 days 00:42:50.525000,RIC,3,0 days 00:01:28.756000,2.0,1.0,,,28.312,36.101,24.343,0 days 00:41:50.081000,0 days 00:42:26.182000,0 days 00:42:50.525000,306.0,265.0,249.0,320.0,True,SOFT,2.0,True,Renault,0 days 00:41:21.769000,2020-08-08 10:26:21.858,1,,False,,False,True,88.756,88.756
2,0 days 00:45:17.395000,RIC,3,0 days 00:02:26.870000,3.0,1.0,,,51.215,60.921,34.734,0 days 00:43:41.740000,0 days 00:44:42.661000,0 days 00:45:17.395000,98.0,182.0,248.0,226.0,False,SOFT,3.0,True,Renault,0 days 00:42:50.525000,2020-08-08 10:27:50.614,1,,False,,False,True,146.87,146.87
3,0 days 00:46:46.105000,RIC,3,0 days 00:01:28.710000,4.0,1.0,,,28.291,36.167,24.252,0 days 00:45:45.686000,0 days 00:46:21.853000,0 days 00:46:46.105000,304.0,264.0,249.0,320.0,True,SOFT,4.0,True,Renault,0 days 00:45:17.395000,2020-08-08 10:30:17.484,1,,False,,False,True,88.71,88.71
4,0 days 00:48:28.956000,RIC,3,0 days 00:01:42.851000,5.0,1.0,,0 days 00:48:23.613000,32.596,42.676,27.579,0 days 00:47:18.701000,0 days 00:48:01.377000,0 days 00:48:28.956000,258.0,237.0,,295.0,False,SOFT,5.0,True,Renault,0 days 00:46:46.105000,2020-08-08 10:31:46.194,1,,False,,False,False,102.851,102.851
5,0 days 01:08:59.010000,RIC,3,,6.0,2.0,0 days 01:06:42.570000,,,60.148,40.276,,0 days 01:08:18.758000,0 days 01:08:59.142000,203.0,167.0,249.0,195.0,False,SOFT,1.0,True,Renault,0 days 00:48:28.956000,2020-08-08 10:33:29.045,1,,False,,False,False,,
6,0 days 01:10:35.861000,RIC,3,0 days 00:01:36.851000,7.0,2.0,,,27.939,35.993,32.919,0 days 01:09:26.949000,0 days 01:10:02.942000,0 days 01:10:35.861000,315.0,263.0,139.0,314.0,False,SOFT,2.0,True,Renault,0 days 01:08:59.010000,2020-08-08 10:53:59.099,1,,False,,False,True,96.851,96.851
7,0 days 01:13:05.606000,RIC,3,0 days 00:02:29.745000,8.0,2.0,,,51.251,69.974,28.52,0 days 01:11:27.112000,0 days 01:12:37.086000,0 days 01:13:05.606000,161.0,202.0,252.0,280.0,False,SOFT,3.0,True,Renault,0 days 01:10:35.861000,2020-08-08 10:55:35.950,1,,False,,False,True,149.745,149.745
8,0 days 01:14:33.421000,RIC,3,0 days 00:01:27.815000,9.0,2.0,,,27.98,35.803,24.032,0 days 01:13:33.586000,0 days 01:14:09.389000,0 days 01:14:33.421000,312.0,267.0,249.0,324.0,True,SOFT,4.0,True,Renault,0 days 01:13:05.606000,2020-08-08 10:58:05.695,1,,False,,False,True,87.815,87.815
9,0 days 01:16:25.830000,RIC,3,0 days 00:01:52.409000,10.0,2.0,,,37.471,44.922,30.016,0 days 01:15:10.892000,0 days 01:15:55.814000,0 days 01:16:25.830000,191.0,232.0,228.0,208.0,False,SOFT,5.0,True,Renault,0 days 01:14:33.421000,2020-08-08 10:59:33.510,1,,False,,False,True,112.409,112.40899999999999
10,0 days 01:18:23.407000,RIC,3,0 days 00:01:57.577000,11.0,2.0,,,32.955,42.86,41.762,0 days 01:16:58.785000,0 days 01:17:41.645000,0 days 01:18:23.407000,239.0,215.0,56.0,261.0,False,SOFT,6.0,True,Renault,0 days 01:16:25.830000,2020-08-08 11:01:25.919,1,,False,,False,True,117.577,117.577
11,0 days 01:20:26.747000,RIC,3,0 days 00:02:03.340000,12.0,2.0,,0 days 01:20:20.848000,51.112,43.756,28.472,0 days 01:19:14.519000,0 days 01:19:58.275000,0 days 01:20:26.747000,247.0,206.0,,272.0,False,SOFT,7.0,True,Renault,0 days 01:18:23.407000,2020-08-08 11:03:23.496,1,,False,,False,False,123.34,123.34
12,0 days 00:25:30.687000,NOR,4,,1.0,1.0,0 days 00:23:34.972000,,,50.181,30.629,,0 days 00:25:00.091000,0 days 00:25:30.789000,287.0,209.0,249.0,276.0,False,SOFT,1.0,True,McLaren,0 days 00:23:34.972000,2020-08-08 10:08:35.061,1,,False,,False,False,,
13,0 days 00:26:59.923000,NOR,4,0 days 00:01:29.236000,2.0,1.0,,,28.425,36.357,24.454,0 days 00:25:59.112000,0 days 00:26:35.469000,0 days 00:26:59.923000,301.0,267.0,245.0,315.0,True,SOFT,2.0,True,McLaren,0 days 00:25:30.687000,2020-08-08 10:10:30.776,1,,False,,False,True,89.236,89.23599999999999
