,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:21:27.461000,BOT,77,,1.0,1.0,0 days 00:19:11.123000,,,59.717,36.78,,0 days 00:20:50.726000,0 days 00:21:27.715000,200.0,178.0,251.0,219.0,False,SOFT,1.0,True,Mercedes,0 days 00:19:11.123000,2020-08-08 13:04:11.161,1,,False,,False,False,,
1,0 days 00:22:54.636000,BOT,77,0 days 00:01:27.175000,2.0,1.0,,,27.9,35.589,23.686,0 days 00:21:55.361000,0 days 00:22:30.950000,0 days 00:22:54.636000,311.0,272.0,250.0,328.0,True,SOFT,2.0,True,Mercedes,0 days 00:21:27.461000,2020-08-08 13:06:27.499,1,,False,,False,True,87.175,87.175
2,0 days 00:25:18.729000,BOT,77,0 days 00:02:24.093000,3.0,1.0,,,36.893,59.769,47.431,0 days 00:23:31.529000,0 days 00:24:31.298000,0 days 00:25:18.729000,199.0,175.0,255.0,139.0,False,SOFT,3.0,True,Mercedes,0 days 00:22:54.636000,2020-08-08 13:07:54.674,1,,False,,False,True,144.093,144.09300000000002
3,0 days 00:26:45.728000,BOT,77,0 days 00:01:26.999000,4.0,1.0,,,27.752,35.382,23.865,0 days 00:25:46.481000,0 days 00:26:21.863000,0 days 00:26:45.728000,313.0,270.0,250.0,330.0,True,SOFT,4.0,True,Mercedes,0 days 00:25:18.729000,2020-08-08 13:10:18.767,1,,False,,False,True,86.999,86.999
4,0 days 00:28:31.537000,BOT,77,0 days 00:01:45.809000,5.0,1.0,,0 days 00:28:25.635000,33.836,43.828,28.145,0 days 00:27:19.564000,0 days 00:28:03.392000,0 days 00:28:31.537000,223.0,248.0,,279.0,False,SOFT,5.0,True,Mercedes,0 days 00:26:45.728000,2020-08-08 13:11:45.766,1,,False,,False,False,105.809,105.809
5,0 days 00:32:46.317000,BOT,77,,6.0,2.0,0 days 00:30:42.912000,,,52.669,37.581,,0 days 00:32:08.790000,0 days 00:32:46.566000,240.0,194.0,253.0,173.0,False,SOFT,6.0,False,Mercedes,0 days 00:28:31.537000,2020-08-08 13:13:31.575,1,,False,,False,False,,
6,0 days 00:34:13.055000,BOT,77,0 days 00:01:26.738000,7.0,2.0,,,27.765,35.239,23.734,0 days 00:33:14.082000,0 days 00:33:49.321000,0 days 00:34:13.055000,313.0,273.0,251.0,329.0,True,SOFT,7.0,False,Mercedes,0 days 00:32:46.317000,2020-08-08 13:17:46.355,1,,False,,False,True,86.738,86.738
7,0 days 00:35:59.260000,BOT,77,0 days 00:01:46.205000,8.0,2.0,,0 days 00:35:53.371000,33.746,43.109,29.35,0 days 00:34:46.801000,0 days 00:35:29.910000,0 days 00:35:59.260000,231.0,223.0,,233.0,False,SOFT,8.0,False,Mercedes,0 days 00:34:13.055000,2020-08-08 13:19:13.093,1,,False,,False,False,106.205,106.20500000000001
8,0 days 00:43:23.176000,BOT,77,,9.0,3.0,0 days 00:41:17.667000,,,55.698,35.479,,0 days 00:42:47.710000,0 days 00:43:23.194000,228.0,177.0,253.0,200.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:35:59.260000,2020-08-08 13:20:59.298,1,,False,,False,False,,
9,0 days 00:44:48.961000,BOT,77,0 days 00:01:25.785000,10.0,3.0,,,27.657,34.755,23.373,0 days 00:43:50.833000,0 days 00:44:25.588000,0 days 00:44:48.961000,316.0,277.0,254.0,330.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:43:23.176000,2020-08-08 13:28:23.214,1,,False,,False,True,85.785,85.78500000000001
