,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:35.181000,7.3,73.6,949.2,False,11.6,186,3.2
1,0 days 00:01:35.165000,7.3,72.7,949.2,False,11.8,194,3.3
2,0 days 00:02:35.206000,7.4,73.6,949.2,False,11.9,199,2.3
3,0 days 00:03:35.180000,7.6,73.5,949.2,False,12.1,210,3.0
4,0 days 00:04:35.223000,7.6,72.3,949.3,False,12.1,193,3.3
5,0 days 00:05:35.233000,7.6,72.0,949.2,False,12.3,206,2.9
6,0 days 00:06:35.229000,7.7,72.3,949.1,False,12.6,208,3.7
7,0 days 00:07:35.232000,7.7,72.4,949.1,False,12.7,208,3.3
8,0 days 00:08:35.234000,7.8,73.1,949.2,False,12.7,202,3.9
9,0 days 00:09:35.241000,7.8,72.1,949.3,False,12.8,181,3.4
10,0 days 00:10:35.261000,7.8,71.8,949.1,False,13.2,203,2.9
11,0 days 00:11:35.261000,7.8,72.4,949.2,False,13.4,202,2.5
12,0 days 00:12:35.249000,8.1,72.3,949.1,False,13.5,188,4.1
13,0 days 00:13:35.253000,8.0,71.0,949.2,False,13.5,208,3.5
14,0 days 00:14:35.253000,8.1,71.8,949.2,False,13.7,192,2.9
15,0 days 00:15:35.246000,8.0,70.5,949.2,False,14.0,193,3.3
16,0 days 00:16:35.257000,8.1,70.9,949.2,False,14.2,187,4.1
17,0 days 00:17:35.262000,8.0,71.6,949.2,False,14.3,201,3.4
18,0 days 00:18:35.282000,8.1,70.9,949.3,False,14.4,197,2.9
19,0 days 00:19:35.284000,8.1,70.4,949.2,False,14.3,196,3.1
20,0 days 00:20:35.292000,8.1,70.8,949.3,False,14.4,205,3.2
21,0 days 00:21:35.285000,8.1,69.8,949.2,False,14.5,106,3.0
22,0 days 00:22:35.295000,8.1,69.4,949.3,False,14.6,175,2.4
23,0 days 00:23:35.289000,8.2,68.9,949.2,False,14.8,166,3.1
24,0 days 00:24:35.285000,8.2,68.9,949.3,False,15.1,180,2.3
25,0 days 00:25:35.306000,8.4,69.9,949.2,False,15.3,178,2.7
26,0 days 00:26:35.269000,8.5,69.7,949.3,False,15.5,213,2.7
27,0 days 00:27:35.299000,8.4,68.4,949.2,False,15.7,207,2.9
28,0 days 00:28:35.334000,8.4,68.4,949.2,False,15.8,205,3.5
29,0 days 00:29:35.382000,8.5,68.1,949.3,False,16.0,201,4.2
30,0 days 00:30:35.286000,8.5,66.8,949.2,False,16.0,202,3.2
31,0 days 00:31:35.301000,8.5,67.0,949.2,False,16.1,209,2.8
32,0 days 00:32:35.289000,8.7,67.6,949.2,False,16.4,181,3.1
33,0 days 00:33:35.276000,8.8,66.7,949.1,False,16.4,172,3.5
