,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:21:24.422000,RIC,3,,1.0,1.0,0 days 00:19:29.577000,,,43.474,27.094,,0 days 00:20:57.358000,0 days 00:21:24.488000,242.0,214.0,248.0,284.0,False,SOFT,1.0,True,Renault,0 days 00:19:29.577000,2020-10-10 10:04:30.202,1,,False,,False,False,,
1,0 days 00:22:57.865000,RIC,3,0 days 00:01:33.443000,2.0,1.0,,,30.463,39.663,23.317,0 days 00:21:54.885000,0 days 00:22:34.548000,0 days 00:22:57.865000,259.0,226.0,255.0,304.0,True,SOFT,2.0,True,Renault,0 days 00:21:24.422000,2020-10-10 10:06:25.047,1,,False,,False,True,93.443,93.44300000000001
2,0 days 00:24:36.937000,RIC,3,0 days 00:01:39.072000,3.0,1.0,,,30.154,40.01,28.908,0 days 00:23:28.019000,0 days 00:24:08.029000,0 days 00:24:36.937000,264.0,225.0,252.0,163.0,False,SOFT,3.0,True,Renault,0 days 00:22:57.865000,2020-10-10 10:07:58.490,1,,False,,False,True,99.072,99.072
3,0 days 00:26:07.082000,RIC,3,0 days 00:01:30.145000,4.0,1.0,,,29.399,37.89,22.856,0 days 00:25:06.336000,0 days 00:25:44.226000,0 days 00:26:07.082000,262.0,231.0,255.0,308.0,True,SOFT,4.0,True,Renault,0 days 00:24:36.937000,2020-10-10 10:09:37.562,1,,False,,False,True,90.145,90.14500000000001
4,0 days 00:27:50.319000,RIC,3,0 days 00:01:43.237000,5.0,1.0,,,34.149,44.218,24.87,0 days 00:26:41.231000,0 days 00:27:25.449000,0 days 00:27:50.319000,245.0,210.0,255.0,289.0,False,SOFT,5.0,True,Renault,0 days 00:26:07.082000,2020-10-10 10:11:07.707,1,,False,,False,True,103.237,103.23700000000001
5,0 days 00:29:19.919000,RIC,3,0 days 00:01:29.600000,6.0,1.0,,,29.196,37.462,22.942,0 days 00:28:19.515000,0 days 00:28:56.977000,0 days 00:29:19.919000,267.0,234.0,255.0,312.0,True,SOFT,6.0,True,Renault,0 days 00:27:50.319000,2020-10-10 10:12:50.944,1,,False,,False,True,89.6,89.6
6,0 days 00:31:10.414000,RIC,3,0 days 00:01:50.495000,7.0,1.0,,,33.656,50.157,26.682,0 days 00:29:53.575000,0 days 00:30:43.732000,0 days 00:31:10.414000,238.0,196.0,254.0,282.0,False,SOFT,7.0,True,Renault,0 days 00:29:19.919000,2020-10-10 10:14:20.544,1,,False,,False,True,110.495,110.49499999999999
7,0 days 00:32:39.687000,RIC,3,0 days 00:01:29.273000,8.0,1.0,,,29.104,37.228,22.941,0 days 00:31:39.518000,0 days 00:32:16.746000,0 days 00:32:39.687000,268.0,233.0,254.0,309.0,True,SOFT,8.0,True,Renault,0 days 00:31:10.414000,2020-10-10 10:16:11.039,1,,False,,False,True,89.273,89.273
8,0 days 00:34:27.305000,RIC,3,0 days 00:01:47.618000,9.0,1.0,,0 days 00:34:25.362000,33.633,42.968,31.017,0 days 00:33:13.320000,0 days 00:33:56.288000,0 days 00:34:27.305000,251.0,210.0,,294.0,False,SOFT,9.0,True,Renault,0 days 00:32:39.687000,2020-10-10 10:17:40.312,12,,False,,False,False,107.618,107.618
9,0 days 00:36:50.683000,RIC,3,0 days 00:02:23.378000,10.0,2.0,0 days 00:34:47.322000,0 days 00:36:48.731000,65.0,44.984,33.394,0 days 00:35:32.305000,0 days 00:36:17.289000,0 days 00:36:50.683000,256.0,198.0,,197.0,False,SOFT,10.0,False,Renault,0 days 00:34:27.305000,2020-10-10 10:19:27.930,1,,False,,False,False,143.378,143.37800000000001
