,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:15:35.825000,BOT,77,,1.0,1.0,0 days 00:13:41.785000,,,55.175,24.357,,0 days 00:15:11.487000,0 days 00:15:36.032000,229.0,206.0,258.0,295.0,False,SOFT,1.0,True,Mercedes,0 days 00:13:41.785000,2020-10-10 13:01:31.357,1,,False,,False,False,,
1,0 days 00:17:02.751000,BOT,77,0 days 00:01:26.926000,2.0,1.0,,,28.528,35.909,22.489,0 days 00:16:04.353000,0 days 00:16:40.262000,0 days 00:17:02.751000,270.0,241.0,259.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 00:15:35.825000,2020-10-10 13:03:25.397,1,,False,,False,True,86.926,86.926
2,0 days 00:18:58.123000,BOT,77,0 days 00:01:55.372000,3.0,1.0,,,35.601,52.956,26.815,0 days 00:17:38.352000,0 days 00:18:31.308000,0 days 00:18:58.123000,67.0,188.0,259.0,213.0,False,SOFT,3.0,True,Mercedes,0 days 00:17:02.751000,2020-10-10 13:04:52.323,1,,False,,False,True,115.372,115.372
3,0 days 00:20:24.696000,BOT,77,0 days 00:01:26.573000,4.0,1.0,,,28.29,36.085,22.198,0 days 00:19:26.413000,0 days 00:20:02.498000,0 days 00:20:24.696000,270.0,240.0,260.0,316.0,True,SOFT,4.0,True,Mercedes,0 days 00:18:58.123000,2020-10-10 13:06:47.695,1,,False,,False,True,86.573,86.57300000000001
4,0 days 00:22:24.607000,BOT,77,0 days 00:01:59.911000,5.0,1.0,,,32.615,53.926,33.37,0 days 00:20:57.311000,0 days 00:21:51.237000,0 days 00:22:24.607000,238.0,186.0,259.0,97.0,False,SOFT,5.0,True,Mercedes,0 days 00:20:24.696000,2020-10-10 13:08:14.268,1,,False,,False,True,119.911,119.911
5,0 days 00:23:51.357000,BOT,77,0 days 00:01:26.750000,6.0,1.0,,,28.284,35.955,22.511,0 days 00:22:52.891000,0 days 00:23:28.846000,0 days 00:23:51.357000,270.0,239.0,259.0,315.0,False,SOFT,6.0,True,Mercedes,0 days 00:22:24.607000,2020-10-10 13:10:14.179,1,,False,,False,True,86.75,86.75
6,0 days 00:25:40.544000,BOT,77,0 days 00:01:49.187000,7.0,1.0,,0 days 00:25:38.687000,32.238,45.425,31.524,0 days 00:24:23.595000,0 days 00:25:09.020000,0 days 00:25:40.544000,247.0,208.0,,251.0,False,SOFT,7.0,True,Mercedes,0 days 00:23:51.357000,2020-10-10 13:11:40.929,1,,False,,False,False,109.187,109.187
7,0 days 00:39:13.317000,BOT,77,,8.0,2.0,0 days 00:37:25.519000,,,43.719,28.83,,0 days 00:38:44.578000,0 days 00:39:13.376000,217.0,223.0,257.0,284.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:25:40.544000,2020-10-10 13:13:30.116,1,,False,,False,False,,
8,0 days 00:40:40.271000,BOT,77,0 days 00:01:26.954000,9.0,2.0,,,28.681,35.951,22.322,0 days 00:39:41.998000,0 days 00:40:17.949000,0 days 00:40:40.271000,269.0,240.0,261.0,317.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:39:13.317000,2020-10-10 13:27:02.889,1,,False,,False,True,86.954,86.95400000000001
9,0 days 00:42:33.024000,BOT,77,0 days 00:01:52.753000,10.0,2.0,,0 days 00:42:31.060000,37.386,43.498,31.869,0 days 00:41:17.657000,0 days 00:42:01.155000,0 days 00:42:33.024000,246.0,209.0,,279.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:40:40.271000,2020-10-10 13:28:29.843,1,,False,,False,False,112.753,112.753
10,0 days 00:46:31.333000,BOT,77,,11.0,3.0,0 days 00:44:50.701000,,,43.747,24.176,,0 days 00:46:07.243000,0 days 00:46:31.375000,248.0,220.0,258.0,294.0,False,SOFT,1.0,True,Mercedes,0 days 00:42:33.024000,2020-10-10 13:30:22.596,1,,False,,False,False,,
11,0 days 00:47:57.304000,BOT,77,0 days 00:01:25.971000,12.0,3.0,,,28.255,35.543,22.173,0 days 00:46:59.588000,0 days 00:47:35.131000,0 days 00:47:57.304000,271.0,241.0,260.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 00:46:31.333000,2020-10-10 13:34:20.905,1,,False,,False,True,85.971,85.971
12,0 days 00:49:50.664000,BOT,77,0 days 00:01:53.360000,13.0,3.0,,0 days 00:49:48.686000,34.028,46.152,33.18,0 days 00:48:31.332000,0 days 00:49:17.484000,0 days 00:49:50.664000,244.0,201.0,,275.0,False,SOFT,3.0,True,Mercedes,0 days 00:47:57.304000,2020-10-10 13:35:46.876,1,,False,,False,False,113.36,113.36000000000001
13,0 days 01:02:15.925000,BOT,77,,14.0,4.0,0 days 01:00:27.172000,,,44.837,32.052,,0 days 01:01:43.947000,0 days 01:02:15.969000,252.0,213.0,257.0,285.0,False,SOFT,1.0,True,Mercedes,0 days 00:49:50.664000,2020-10-10 13:37:40.236,1,,False,,False,False,,
14,0 days 01:03:41.737000,BOT,77,0 days 00:01:25.812000,15.0,4.0,,,27.997,35.568,22.247,0 days 01:02:43.922000,0 days 01:03:19.490000,0 days 01:03:41.737000,270.0,240.0,260.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:02:15.925000,2020-10-10 13:50:05.497,1,,False,,False,True,85.812,85.812
15,0 days 01:05:31.500000,BOT,77,0 days 00:01:49.763000,16.0,4.0,,0 days 01:05:29.523000,32.633,45.547,31.583,0 days 01:04:14.370000,0 days 01:04:59.917000,0 days 01:05:31.500000,242.0,214.0,,248.0,False,SOFT,3.0,True,Mercedes,0 days 01:03:41.737000,2020-10-10 13:51:31.309,1,,False,,False,False,109.763,109.763
16,0 days 01:10:30.323000,BOT,77,,17.0,5.0,0 days 01:08:45.432000,,,43.431,28.561,,0 days 01:10:01.848000,0 days 01:10:30.360000,251.0,226.0,258.0,297.0,False,SOFT,1.0,True,Mercedes,0 days 01:05:31.500000,2020-10-10 13:53:21.072,1,,False,,False,False,,
17,0 days 01:11:55.592000,BOT,77,0 days 00:01:25.269000,18.0,5.0,,,27.811,35.453,22.005,0 days 01:10:58.134000,0 days 01:11:33.587000,0 days 01:11:55.592000,270.0,242.0,258.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 01:10:30.323000,2020-10-10 13:58:19.895,1,,False,,False,True,85.269,85.269
18,0 days 01:13:59.780000,BOT,77,0 days 00:02:04.188000,19.0,5.0,,0 days 01:13:55.759000,36.088,48.729,39.371,0 days 01:12:31.680000,0 days 01:13:20.409000,0 days 01:13:59.780000,184.0,197.0,,209.0,False,SOFT,3.0,True,Mercedes,0 days 01:11:55.592000,2020-10-10 13:59:45.164,1,,False,,False,False,124.188,124.18800000000002
19,0 days 00:15:23.657000,HAM,44,,1.0,1.0,0 days 00:13:36.253000,,,45.509,26.968,,0 days 00:14:56.732000,0 days 00:15:23.925000,235.0,212.0,256.0,295.0,False,SOFT,1.0,True,Mercedes,0 days 00:13:36.253000,2020-10-10 13:01:25.825,1,,False,,False,False,,
20,0 days 00:16:50.360000,HAM,44,0 days 00:01:26.703000,2.0,1.0,,,28.234,36.113,22.356,0 days 00:15:51.891000,0 days 00:16:28.004000,0 days 00:16:50.360000,272.0,235.0,259.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 00:15:23.657000,2020-10-10 13:03:13.229,1,,False,,False,True,86.703,86.703
21,0 days 00:18:47.999000,HAM,44,0 days 00:01:57.639000,3.0,1.0,,,34.065,52.069,31.505,0 days 00:17:24.425000,0 days 00:18:16.494000,0 days 00:18:47.999000,241.0,92.0,258.0,143.0,False,SOFT,3.0,True,Mercedes,0 days 00:16:50.360000,2020-10-10 13:04:39.932,1,,False,,False,True,117.639,117.639
22,0 days 00:20:14.619000,HAM,44,0 days 00:01:26.620000,4.0,1.0,,,28.168,36.152,22.3,0 days 00:19:16.167000,0 days 00:19:52.319000,0 days 00:20:14.619000,270.0,239.0,260.0,316.0,True,SOFT,4.0,True,Mercedes,0 days 00:18:47.999000,2020-10-10 13:06:37.571,1,,False,,False,True,86.62,86.61999999999999
23,0 days 00:22:14.884000,HAM,44,0 days 00:02:00.265000,5.0,1.0,,,38.881,56.031,25.353,0 days 00:20:53.500000,0 days 00:21:49.531000,0 days 00:22:14.884000,217.0,173.0,259.0,283.0,False,SOFT,5.0,True,Mercedes,0 days 00:20:14.619000,2020-10-10 13:08:04.191,1,,False,,False,True,120.265,120.26500000000001
24,0 days 00:23:59.463000,HAM,44,0 days 00:01:44.579000,6.0,1.0,,0 days 00:23:57.488000,28.247,43.589,32.743,0 days 00:22:43.131000,0 days 00:23:26.720000,0 days 00:23:59.463000,265.0,193.0,,258.0,False,SOFT,6.0,True,Mercedes,0 days 00:22:14.884000,2020-10-10 13:10:04.456,1,,False,,False,False,104.579,104.57900000000001
25,0 days 00:39:07.226000,HAM,44,,7.0,2.0,0 days 00:37:24.732000,,,42.752,24.829,,0 days 00:38:42.444000,0 days 00:39:07.275000,244.0,217.0,257.0,289.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:23:59.463000,2020-10-10 13:11:49.035,1,,False,,False,False,,
26,0 days 00:40:33.409000,HAM,44,0 days 00:01:26.183000,8.0,2.0,,,28.191,35.819,22.173,0 days 00:39:35.417000,0 days 00:40:11.236000,0 days 00:40:33.409000,270.0,239.0,261.0,317.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:39:07.226000,2020-10-10 13:26:56.798,1,,False,,False,True,86.183,86.183
27,0 days 00:42:29.660000,HAM,44,0 days 00:01:56.251000,9.0,2.0,,0 days 00:42:27.383000,37.934,47.567,30.75,0 days 00:41:11.343000,0 days 00:41:58.910000,0 days 00:42:29.660000,144.0,189.0,,261.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:40:33.409000,2020-10-10 13:28:22.981,1,,False,,False,False,116.251,116.251
28,0 days 00:47:16.682000,HAM,44,,10.0,3.0,0 days 00:45:32.395000,,,43.854,26.671,,0 days 00:46:50.045000,0 days 00:47:16.701000,251.0,213.0,259.0,292.0,False,SOFT,1.0,True,Mercedes,0 days 00:42:29.660000,2020-10-10 13:30:19.232,1,,False,,False,False,,
29,0 days 00:48:42.072000,HAM,44,0 days 00:01:25.390000,11.0,3.0,,,27.829,35.659,21.902,0 days 00:47:44.511000,0 days 00:48:20.170000,0 days 00:48:42.072000,271.0,242.0,261.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 00:47:16.682000,2020-10-10 13:35:06.254,1,,False,,False,True,85.39,85.39
30,0 days 00:50:41.665000,HAM,44,0 days 00:01:59.593000,12.0,3.0,,0 days 00:50:39.748000,38.494,48.751,32.348,0 days 00:49:20.566000,0 days 00:50:09.317000,0 days 00:50:41.665000,199.0,188.0,,246.0,False,SOFT,3.0,True,Mercedes,0 days 00:48:42.072000,2020-10-10 13:36:31.644,1,,False,,False,False,119.593,119.593
31,0 days 01:02:09.268000,HAM,44,,13.0,4.0,0 days 01:00:24.222000,,,44.387,28.573,,0 days 01:01:40.717000,0 days 01:02:09.278000,170.0,219.0,259.0,252.0,False,SOFT,1.0,True,Mercedes,0 days 00:50:41.665000,2020-10-10 13:38:31.237,1,,False,,False,False,,
32,0 days 01:03:35.093000,HAM,44,0 days 00:01:25.825000,14.0,4.0,,,28.065,35.604,22.156,0 days 01:02:37.333000,0 days 01:03:12.937000,0 days 01:03:35.093000,271.0,243.0,260.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:02:09.268000,2020-10-10 13:49:58.840,1,,False,,False,True,85.825,85.82499999999999
33,0 days 01:05:16.995000,HAM,44,0 days 00:01:41.902000,15.0,4.0,,0 days 01:05:14.959000,31.616,41.866,28.42,0 days 01:04:06.709000,0 days 01:04:48.575000,0 days 01:05:16.995000,248.0,218.0,,297.0,False,SOFT,3.0,True,Mercedes,0 days 01:03:35.093000,2020-10-10 13:51:24.665,1,,False,,False,False,101.902,101.902
34,0 days 01:10:22.190000,HAM,44,,16.0,5.0,0 days 01:08:39.906000,,,42.216,29.18,,0 days 01:09:53.023000,0 days 01:10:22.190000,246.0,222.0,259.0,216.0,False,SOFT,1.0,True,Mercedes,0 days 01:05:16.995000,2020-10-10 13:53:06.567,1,,False,,False,False,,
35,0 days 01:11:47.715000,HAM,44,0 days 00:01:25.525000,17.0,5.0,,,27.967,35.49,22.068,0 days 01:10:50.157000,0 days 01:11:25.647000,0 days 01:11:47.715000,270.0,242.0,260.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:10:22.190000,2020-10-10 13:58:11.762,1,,False,,False,True,85.525,85.525
36,0 days 01:13:52.276000,HAM,44,0 days 00:02:04.561000,18.0,5.0,,0 days 01:13:48.928000,38.599,48.612,37.35,0 days 01:12:26.314000,0 days 01:13:14.926000,0 days 01:13:52.276000,189.0,181.0,,221.0,False,SOFT,3.0,True,Mercedes,0 days 01:11:47.715000,2020-10-10 13:59:37.287,1,,False,,False,False,124.561,124.561
