,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:53.613000,RIC,3,,1.0,1.0,0 days 00:16:23.580000,,,34.779,27.863,,0 days 00:17:25.827000,0 days 00:17:53.857000,243.0,170.0,287.0,,False,TEST_UNKNOWN,1.0,True,Renault,0 days 00:16:23.580000,2020-10-23 14:01:23.790,1,,False,,False,False,,
1,0 days 00:19:18.712000,RIC,3,0 days 00:01:25.099000,2.0,1.0,,,25.298,32.727,27.074,0 days 00:18:18.911000,0 days 00:18:51.638000,0 days 00:19:18.712000,263.0,182.0,287.0,287.0,True,TEST_UNKNOWN,2.0,True,Renault,0 days 00:17:53.613000,2020-10-23 14:02:53.823,1,,False,,False,True,85.099,85.09899999999999
2,0 days 00:20:42.903000,RIC,3,0 days 00:01:24.191000,3.0,1.0,,,24.685,32.423,27.083,0 days 00:19:43.397000,0 days 00:20:15.820000,0 days 00:20:42.903000,264.0,171.0,288.0,288.0,True,TEST_UNKNOWN,3.0,True,Renault,0 days 00:19:18.712000,2020-10-23 14:04:18.922,12,,False,,False,True,84.191,84.191
3,0 days 00:22:05.815000,RIC,3,0 days 00:01:22.912000,4.0,1.0,,,24.603,31.75,26.559,0 days 00:21:07.506000,0 days 00:21:39.256000,0 days 00:22:05.815000,263.0,185.0,289.0,288.0,True,TEST_UNKNOWN,4.0,True,Renault,0 days 00:20:42.903000,2020-10-23 14:05:43.113,1,,False,,False,True,82.912,82.912
4,0 days 00:23:28.703000,RIC,3,0 days 00:01:22.888000,5.0,1.0,,,24.48,31.807,26.601,0 days 00:22:30.295000,0 days 00:23:02.102000,0 days 00:23:28.703000,264.0,184.0,289.0,286.0,True,TEST_UNKNOWN,5.0,True,Renault,0 days 00:22:05.815000,2020-10-23 14:07:06.025,1,,False,,False,True,82.888,82.888
5,0 days 00:24:51.851000,RIC,3,0 days 00:01:23.148000,6.0,1.0,,,24.451,31.895,26.802,0 days 00:23:53.154000,0 days 00:24:25.049000,0 days 00:24:51.851000,264.0,182.0,289.0,287.0,False,TEST_UNKNOWN,6.0,True,Renault,0 days 00:23:28.703000,2020-10-23 14:08:28.913,1,,False,,False,True,83.148,83.148
6,0 days 00:26:14.849000,RIC,3,0 days 00:01:22.998000,7.0,1.0,,,24.4,31.749,26.849,0 days 00:25:16.251000,0 days 00:25:48,0 days 00:26:14.849000,265.0,184.0,290.0,290.0,False,TEST_UNKNOWN,7.0,True,Renault,0 days 00:24:51.851000,2020-10-23 14:09:52.061,12,,False,,False,True,82.998,82.998
7,0 days 00:27:38.505000,RIC,3,0 days 00:01:23.656000,8.0,1.0,,,24.748,31.83,27.078,0 days 00:26:39.597000,0 days 00:27:11.427000,0 days 00:27:38.505000,264.0,183.0,294.0,291.0,False,TEST_UNKNOWN,8.0,True,Renault,0 days 00:26:14.849000,2020-10-23 14:11:15.059,21,,False,,False,True,83.656,83.656
8,0 days 00:29:06.553000,RIC,3,0 days 00:01:28.048000,9.0,1.0,,0 days 00:29:04.822000,25.141,32.23,30.677,0 days 00:28:03.646000,0 days 00:28:35.876000,0 days 00:29:06.553000,266.0,183.0,,297.0,False,TEST_UNKNOWN,9.0,True,Renault,0 days 00:27:38.505000,2020-10-23 14:12:38.715,1,,False,,False,False,88.048,88.048
9,0 days 00:37:11.162000,RIC,3,,10.0,2.0,0 days 00:35:38.997000,,,33.408,27.194,,0 days 00:36:43.996000,0 days 00:37:11.329000,258.0,179.0,287.0,297.0,False,TEST_UNKNOWN,1.0,True,Renault,0 days 00:29:06.553000,2020-10-23 14:14:06.763,1,,False,,False,False,,
