,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:46.817000,17.7,54.4,1015.6,False,22.0,146,0.7
1,0 days 00:01:46.810000,17.8,54.4,1015.6,False,22.1,142,1.2
2,0 days 00:02:46.808000,17.8,54.5,1015.6,False,22.2,157,0.8
3,0 days 00:03:46.821000,17.8,54.8,1015.5,False,22.3,151,0.7
4,0 days 00:04:46.819000,17.8,54.7,1015.5,False,22.3,147,0.6
5,0 days 00:05:46.856000,17.9,53.9,1015.6,False,22.3,76,0.8
6,0 days 00:06:46.850000,18.0,53.3,1015.6,False,22.8,190,0.7
7,0 days 00:07:46.859000,18.0,52.9,1015.6,False,22.9,123,0.9
8,0 days 00:08:46.869000,18.0,52.7,1015.6,False,23.1,156,1.5
9,0 days 00:09:46.890000,18.0,52.7,1015.6,False,23.1,135,0.8
10,0 days 00:10:46.883000,18.2,51.7,1015.6,False,23.2,169,1.2
11,0 days 00:11:46.908000,18.2,51.3,1015.6,False,23.5,123,0.9
12,0 days 00:12:46.895000,18.2,51.6,1015.7,False,23.5,91,1.0
13,0 days 00:13:46.902000,18.2,51.6,1015.6,False,23.8,0,0.5
14,0 days 00:14:46.917000,18.3,51.2,1015.6,False,23.8,0,0.0
15,0 days 00:15:46.904000,18.5,50.6,1015.6,False,23.8,103,0.0
16,0 days 00:16:46.903000,18.6,50.2,1015.6,False,24.0,101,0.7
17,0 days 00:17:46.913000,18.7,50.2,1015.6,False,24.5,124,0.7
18,0 days 00:18:46.945000,18.7,49.9,1015.6,False,24.5,147,1.2
19,0 days 00:19:46.938000,18.7,50.0,1015.5,False,24.5,146,1.2
20,0 days 00:20:46.935000,18.6,50.1,1015.5,False,24.5,146,0.5
21,0 days 00:21:46.930000,18.6,50.5,1015.6,False,24.5,166,0.7
22,0 days 00:22:46.973000,18.8,49.8,1015.6,False,24.6,132,0.9
23,0 days 00:23:46.969000,19.0,49.2,1015.5,False,25.0,118,0.8
24,0 days 00:24:46.962000,19.0,48.9,1015.5,False,25.1,96,0.7
25,0 days 00:25:46.962000,19.0,48.8,1015.4,False,25.3,106,0.7
26,0 days 00:26:46.961000,19.0,48.3,1015.5,False,25.5,123,1.1
27,0 days 00:27:46.973000,19.0,48.5,1015.5,False,25.6,106,1.1
28,0 days 00:28:46.990000,19.0,48.7,1015.4,False,25.7,100,1.0
29,0 days 00:29:46.966000,19.0,48.4,1015.4,False,25.7,95,1.2
30,0 days 00:30:46.990000,18.8,49.0,1015.5,False,26.0,147,1.4
31,0 days 00:31:46.979000,18.9,48.8,1015.5,False,26.0,82,0.5
32,0 days 00:32:47.004000,19.0,48.6,1015.5,False,26.1,99,1.3
33,0 days 00:33:47.033000,18.9,48.3,1015.3,False,26.5,114,2.0
34,0 days 00:34:47.024000,18.8,48.8,1015.4,False,26.6,107,1.7
35,0 days 00:35:47.047000,18.9,48.5,1015.4,False,26.6,140,1.8
36,0 days 00:36:47.047000,19.0,48.5,1015.3,False,26.5,156,1.4
37,0 days 00:37:47.065000,19.1,48.2,1015.4,False,26.6,155,1.7
38,0 days 00:38:47.078000,19.1,48.1,1015.4,False,26.7,146,1.1
39,0 days 00:39:47.071000,19.2,48.0,1015.3,False,27.0,143,2.1
40,0 days 00:40:47.080000,19.2,48.1,1015.4,False,27.0,132,1.5
41,0 days 00:41:47.107000,19.1,48.4,1015.3,False,27.0,137,1.7
42,0 days 00:42:47.106000,19.1,48.4,1015.4,False,27.0,148,1.1
43,0 days 00:43:47.102000,19.3,48.0,1015.3,False,27.1,152,2.1
44,0 days 00:44:47.097000,19.3,47.7,1015.4,False,27.4,151,3.1
45,0 days 00:45:47.096000,19.4,47.4,1015.3,False,27.7,124,2.3
46,0 days 00:46:47.119000,19.6,46.3,1015.3,False,27.9,124,1.8
47,0 days 00:47:47.122000,19.7,46.3,1015.3,False,27.9,145,1.7
48,0 days 00:48:47.107000,19.6,45.5,1015.3,False,28.0,109,1.9
49,0 days 00:49:47.122000,19.6,45.4,1015.3,False,28.2,148,2.8
50,0 days 00:50:47.132000,19.8,45.3,1015.3,False,28.2,119,1.2
51,0 days 00:51:47.194000,19.9,44.4,1015.3,False,28.3,124,1.0
52,0 days 00:52:47.144000,19.9,44.4,1015.2,False,28.4,153,2.0
53,0 days 00:53:47.114000,19.9,44.7,1015.2,False,28.5,137,2.2
54,0 days 00:54:47.173000,20.0,44.5,1015.3,False,28.6,0,0.8
55,0 days 00:55:47.189000,20.2,43.4,1015.3,False,28.9,334,0.9
56,0 days 00:56:47.184000,20.0,43.3,1015.4,False,29.0,299,1.4
57,0 days 00:57:47.175000,19.9,43.8,1015.3,False,29.0,323,1.5
58,0 days 00:58:47.182000,19.9,44.1,1015.2,False,28.8,301,1.1
59,0 days 00:59:47.192000,19.9,44.3,1015.3,False,28.9,286,1.1
60,0 days 01:00:47.203000,20.1,44.1,1015.2,False,29.0,248,0.7
61,0 days 01:01:47.220000,20.3,43.2,1015.2,False,29.4,319,0.4
62,0 days 01:02:47.232000,20.1,42.8,1015.3,False,29.6,337,1.2
