,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:26:34.535000,RIC,3,,1.0,1.0,0 days 00:24:09.365000,,,44.407,41.338,,0 days 00:25:53.197000,0 days 00:26:34.684000,212.0,211.0,166.0,81.0,False,MEDIUM,1.0,True,Renault,0 days 00:24:09.365000,2020-09-25 12:10:14.523,1,,False,,False,False,,
1,0 days 00:28:09.876000,RIC,3,0 days 00:01:35.341000,2.0,1.0,,,34.576,32.582,28.183,0 days 00:27:09.111000,0 days 00:27:41.693000,0 days 00:28:09.876000,264.0,322.0,162.0,317.0,True,MEDIUM,2.0,True,Renault,0 days 00:26:34.535000,2020-09-25 12:12:39.693,12,,False,,False,True,95.341,95.34100000000001
2,0 days 00:30:41.009000,RIC,3,,3.0,1.0,,,53.48,55.299,42.353,0 days 00:29:03.357000,0 days 00:29:58.661000,0 days 00:30:41.113000,158.0,230.0,167.0,229.0,False,MEDIUM,3.0,True,Renault,0 days 00:28:09.876000,2020-09-25 12:14:15.034,21,,False,,False,False,,151.132
3,0 days 00:32:25.555000,RIC,3,0 days 00:01:44.546000,4.0,1.0,,0 days 00:32:17.473000,34.588,32.731,37.227,0 days 00:31:15.597000,0 days 00:31:48.328000,0 days 00:32:25.555000,263.0,318.0,,313.0,False,MEDIUM,4.0,True,Renault,0 days 00:30:41.009000,2020-09-25 12:16:46.167,1,,False,,False,False,104.546,104.54599999999999
4,0 days 00:53:04.737000,RIC,3,,5.0,2.0,0 days 00:50:34.099000,,,52.699,45.62,,0 days 00:52:19.134000,0 days 00:53:05.780000,103.0,246.0,170.0,235.0,False,SOFT,1.0,True,Renault,0 days 00:32:25.555000,2020-09-25 12:18:30.713,1,,False,,False,False,,
5,0 days 00:54:39.314000,RIC,3,0 days 00:01:34.577000,6.0,2.0,,,34.454,32.349,27.774,0 days 00:53:39.191000,0 days 00:54:11.540000,0 days 00:54:39.314000,266.0,322.0,166.0,318.0,True,SOFT,2.0,True,Renault,0 days 00:53:04.737000,2020-09-25 12:39:09.895,1,,False,,False,True,94.577,94.577
6,0 days 00:56:48.360000,RIC,3,0 days 00:02:09.046000,7.0,2.0,,0 days 00:56:42.768000,50.21,40.929,37.907,0 days 00:55:29.524000,0 days 00:56:10.453000,0 days 00:56:48.360000,185.0,285.0,,219.0,False,SOFT,3.0,True,Renault,0 days 00:54:39.314000,2020-09-25 12:40:44.472,1,,False,,False,False,129.046,129.046
7,0 days 01:13:50.310000,RIC,3,,8.0,3.0,0 days 01:11:52.162000,,,34.621,29.942,,0 days 01:13:21,0 days 01:13:50.456000,255.0,304.0,163.0,271.0,False,SOFT,4.0,False,Renault,0 days 00:56:48.360000,2020-09-25 12:42:53.518,12,,False,,False,False,,
8,0 days 01:15:30.123000,RIC,3,0 days 00:01:39.813000,9.0,3.0,,,36.041,34.269,29.503,0 days 01:14:26.351000,0 days 01:15:00.620000,0 days 01:15:30.123000,254.0,298.0,156.0,288.0,False,SOFT,5.0,False,Renault,0 days 01:13:50.310000,2020-09-25 12:59:55.468,1,,False,,False,True,99.813,99.813
9,0 days 01:17:16.346000,RIC,3,0 days 00:01:46.223000,10.0,3.0,,,36.464,37.352,32.407,0 days 01:16:06.587000,0 days 01:16:43.939000,0 days 01:17:16.346000,246.0,269.0,162.0,287.0,False,SOFT,6.0,False,Renault,0 days 01:15:30.123000,2020-09-25 13:01:35.281,1,,False,,False,True,106.223,106.223
