,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:16.689000,25.2,63.8,1011.6,False,30.3,327,1.1
1,0 days 00:01:16.677000,25.2,64.0,1011.5,False,30.3,358,1.1
2,0 days 00:02:16.698000,25.2,64.0,1011.5,False,30.2,312,1.4
3,0 days 00:03:16.692000,25.2,63.9,1011.4,False,30.2,321,1.0
4,0 days 00:04:16.718000,25.2,63.9,1011.4,False,30.2,333,1.2
5,0 days 00:05:16.714000,25.2,64.2,1011.4,False,30.0,324,1.4
6,0 days 00:06:16.700000,25.2,64.2,1011.3,False,30.0,313,1.3
7,0 days 00:07:16.718000,25.1,64.5,1011.4,False,30.0,342,1.3
8,0 days 00:08:16.725000,25.0,64.8,1011.3,False,29.9,336,1.3
9,0 days 00:09:16.746000,25.1,64.8,1011.3,False,29.9,352,1.4
10,0 days 00:10:16.740000,24.9,65.0,1011.4,False,29.8,322,1.1
11,0 days 00:11:16.743000,24.9,65.0,1011.3,False,29.8,1,1.2
12,0 days 00:12:16.777000,25.0,65.1,1011.3,False,29.9,321,1.1
13,0 days 00:13:16.760000,25.1,65.1,1011.2,False,29.9,322,1.4
14,0 days 00:14:16.796000,25.0,65.2,1011.2,False,29.8,316,1.4
15,0 days 00:15:16.805000,25.0,65.2,1011.2,False,29.8,321,1.1
16,0 days 00:16:16.801000,25.0,65.3,1011.3,False,29.8,327,1.1
17,0 days 00:17:16.814000,24.9,65.6,1011.3,False,29.7,297,1.0
18,0 days 00:18:16.817000,24.9,65.6,1011.3,False,29.7,352,1.0
19,0 days 00:19:16.824000,24.9,65.5,1011.3,False,29.7,288,0.7
20,0 days 00:20:16.831000,25.1,65.2,1011.3,False,29.9,339,0.7
21,0 days 00:21:16.852000,25.1,65.5,1011.3,False,29.8,343,0.8
22,0 days 00:22:16.879000,25.0,65.8,1011.4,False,29.8,309,1.2
23,0 days 00:23:16.814000,25.1,65.7,1011.3,False,29.6,318,1.0
24,0 days 00:24:16.826000,25.1,65.7,1011.3,False,29.8,260,0.8
25,0 days 00:25:16.837000,25.0,66.0,1011.4,False,29.8,290,0.9
26,0 days 00:26:16.831000,25.1,66.3,1011.3,False,29.6,318,0.7
27,0 days 00:27:16.879000,25.0,66.4,1011.4,False,29.6,328,0.7
28,0 days 00:28:16.844000,25.0,66.6,1011.3,False,29.6,323,0.9
29,0 days 00:29:16.870000,25.0,66.6,1011.3,False,29.6,308,0.9
30,0 days 00:30:16.838000,24.9,66.7,1011.4,False,29.4,318,0.9
31,0 days 00:31:16.841000,25.0,66.6,1011.4,False,29.4,345,0.8
32,0 days 00:32:16.843000,24.9,66.6,1011.4,False,29.6,357,0.8
33,0 days 00:33:16.838000,25.0,66.5,1011.5,False,29.6,330,0.9
34,0 days 00:34:16.845000,25.0,66.5,1011.5,False,29.6,4,0.7
35,0 days 00:35:16.836000,25.0,66.5,1011.5,False,29.6,310,0.5
36,0 days 00:36:16.868000,25.0,66.4,1011.5,False,29.7,176,0.8
37,0 days 00:37:16.851000,25.0,66.1,1011.4,False,29.8,334,0.8
38,0 days 00:38:16.834000,25.1,66.0,1011.5,False,30.0,324,0.6
39,0 days 00:39:16.846000,25.2,66.1,1011.5,False,29.9,173,0.4
40,0 days 00:40:16.846000,25.2,65.8,1011.5,False,29.9,147,0.4
41,0 days 00:41:16.857000,25.4,65.8,1011.5,False,29.9,181,0.6
42,0 days 00:42:16.869000,25.3,66.0,1011.5,False,29.9,170,1.4
43,0 days 00:43:16.897000,25.3,66.0,1011.4,False,29.6,176,1.0
44,0 days 00:44:16.894000,25.3,65.6,1011.4,False,29.8,165,1.4
45,0 days 00:45:16.891000,25.4,65.4,1011.5,False,29.9,192,1.3
