,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:51.307000,BOT,77,,1.0,1.0,0 days 00:19:49.368000,,,22.686,18.493,,0 days 00:20:32.910000,0 days 00:20:51.678000,261.0,257.0,299.0,199.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:19:49.368000,2020-12-05 17:04:49.403,1,,False,,False,False,,
1,0 days 00:21:45.914000,BOT,77,0 days 00:00:54.607000,2.0,1.0,,,19.118,19.022,16.467,0 days 00:21:10.425000,0 days 00:21:29.447000,0 days 00:21:45.914000,290.0,268.0,298.0,328.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:20:51.307000,2020-12-05 17:05:51.342,1,,False,,False,True,54.607,54.607
2,0 days 00:23:01.759000,BOT,77,0 days 00:01:15.845000,3.0,1.0,,,25.364,29.398,21.083,0 days 00:22:11.278000,0 days 00:22:40.676000,0 days 00:23:01.759000,192.0,196.0,253.0,249.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:21:45.914000,2020-12-05 17:06:45.949,1,,False,,False,True,75.845,75.845
3,0 days 00:24:17.057000,BOT,77,0 days 00:01:15.298000,4.0,1.0,,,25.146,27.265,22.887,0 days 00:23:26.905000,0 days 00:23:54.170000,0 days 00:24:17.057000,225.0,220.0,302.0,236.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:23:01.759000,2020-12-05 17:08:01.794,1,,False,,False,True,75.298,75.298
4,0 days 00:25:28.940000,BOT,77,0 days 00:01:11.883000,5.0,1.0,,0 days 00:25:27.239000,18.964,22.318,30.601,0 days 00:24:36.021000,0 days 00:24:58.339000,0 days 00:25:28.940000,290.0,241.0,,330.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:24:17.057000,2020-12-05 17:09:17.092,1,,False,,False,False,71.883,71.883
5,0 days 00:30:15.415000,BOT,77,,6.0,2.0,0 days 00:29:05.221000,,,26.847,21.756,,0 days 00:29:53.789000,0 days 00:30:15.655000,262.0,231.0,298.0,182.0,False,SOFT,1.0,True,Mercedes,0 days 00:25:28.940000,2020-12-05 17:10:28.975,1,,False,,False,False,,
6,0 days 00:31:09.319000,BOT,77,0 days 00:00:53.904000,7.0,2.0,,,18.709,18.777,16.418,0 days 00:30:34.124000,0 days 00:30:52.901000,0 days 00:31:09.319000,293.0,274.0,299.0,327.0,True,SOFT,2.0,True,Mercedes,0 days 00:30:15.415000,2020-12-05 17:15:15.450,1,,False,,False,True,53.904,53.904
7,0 days 00:32:23.721000,BOT,77,0 days 00:01:14.402000,8.0,2.0,,0 days 00:32:21.979000,24.238,27.982,22.182,0 days 00:31:33.557000,0 days 00:32:01.539000,0 days 00:32:23.721000,181.0,245.0,,179.0,False,SOFT,3.0,True,Mercedes,0 days 00:31:09.319000,2020-12-05 17:16:09.354,1,,False,,False,False,74.402,74.402
8,0 days 00:43:37.315000,BOT,77,,9.0,3.0,0 days 00:42:32.215000,,,26.832,17.255,,0 days 00:43:20.143000,0 days 00:43:37.373000,259.0,247.0,299.0,184.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:32:23.721000,2020-12-05 17:17:23.756,1,,False,,False,False,,
9,0 days 00:44:31.118000,BOT,77,0 days 00:00:53.803000,10.0,3.0,,,18.769,18.687,16.347,0 days 00:43:56.084000,0 days 00:44:14.771000,0 days 00:44:31.118000,291.0,271.0,297.0,327.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:43:37.315000,2020-12-05 17:28:37.350,1,,False,,False,True,53.803,53.803000000000004
10,0 days 00:45:47.779000,BOT,77,0 days 00:01:16.661000,11.0,3.0,,,24.266,28.728,23.667,0 days 00:44:55.384000,0 days 00:45:24.112000,0 days 00:45:47.779000,195.0,195.0,194.0,288.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:44:31.118000,2020-12-05 17:29:31.153,1,,False,,False,True,76.661,76.661
11,0 days 00:47:02.152000,BOT,77,0 days 00:01:14.373000,12.0,3.0,,0 days 00:47:00.421000,26.607,25.234,22.532,0 days 00:46:14.386000,0 days 00:46:39.620000,0 days 00:47:02.152000,268.0,248.0,,198.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:45:47.779000,2020-12-05 17:30:47.814,1,,False,,False,False,74.373,74.373
12,0 days 00:54:22.722000,BOT,77,,13.0,4.0,0 days 00:53:15.557000,,,24.045,21.306,,0 days 00:54:01.478000,0 days 00:54:22.795000,270.0,239.0,301.0,163.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:47:02.152000,2020-12-05 17:32:02.187,1,,False,,False,False,,
13,0 days 00:55:18.611000,BOT,77,0 days 00:00:55.889000,14.0,4.0,,,19.02,19.112,17.757,0 days 00:54:41.742000,0 days 00:55:00.854000,0 days 00:55:18.611000,291.0,266.0,268.0,330.0,False,MEDIUM,2.0,True,Mercedes,0 days 00:54:22.722000,2020-12-05 17:39:22.757,1,,False,,False,True,55.889,55.888999999999996
14,0 days 00:56:28.472000,BOT,77,0 days 00:01:09.861000,15.0,4.0,,0 days 00:56:26.719000,22.669,25.164,22.028,0 days 00:55:41.280000,0 days 00:56:06.444000,0 days 00:56:28.472000,259.0,251.0,,262.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:55:18.611000,2020-12-05 17:40:18.646,1,,False,,False,False,69.861,69.86099999999999
15,0 days 01:04:14.464000,BOT,77,,16.0,5.0,0 days 01:03:02.398000,,,28.544,20.886,,0 days 01:03:53.614000,0 days 01:04:14.500000,252.0,208.0,295.0,186.0,False,SOFT,4.0,False,Mercedes,0 days 00:56:28.472000,2020-12-05 17:41:28.507,12,,False,,False,False,,
16,0 days 01:05:08.224000,BOT,77,0 days 00:00:53.760000,17.0,5.0,,,18.783,18.61,16.367,0 days 01:04:33.247000,0 days 01:04:51.857000,0 days 01:05:08.224000,291.0,273.0,296.0,320.0,True,SOFT,5.0,False,Mercedes,0 days 01:04:14.464000,2020-12-05 17:49:14.499,1,,False,,False,True,53.76,53.760000000000005
