,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:45.563000,29.4,52.4,999.5,False,41.9,192,1.8
1,0 days 00:01:45.565000,29.5,52.4,999.7,False,42.6,198,1.9
2,0 days 00:02:45.564000,29.5,52.8,999.6,False,42.7,185,1.8
3,0 days 00:03:45.566000,29.7,52.0,999.7,False,43.1,189,2.8
4,0 days 00:04:45.565000,29.5,52.3,999.7,False,42.8,216,2.8
5,0 days 00:05:45.567000,29.4,53.0,999.6,False,42.8,191,1.7
6,0 days 00:06:45.569000,29.4,52.5,999.5,False,42.6,218,1.8
7,0 days 00:07:45.573000,29.5,52.2,999.6,False,42.6,225,2.0
8,0 days 00:08:45.582000,29.7,51.8,999.6,False,42.8,193,2.6
9,0 days 00:09:45.573000,29.8,51.3,999.5,False,43.7,203,2.4
10,0 days 00:10:45.573000,29.7,51.3,999.5,False,43.2,206,2.4
11,0 days 00:11:45.572000,29.7,51.6,999.5,False,43.1,181,2.9
12,0 days 00:12:45.576000,29.7,51.3,999.5,False,43.4,220,2.0
13,0 days 00:13:45.576000,30.0,50.1,999.5,False,43.5,183,2.9
14,0 days 00:14:45.576000,30.1,50.0,999.5,False,43.7,217,3.0
15,0 days 00:15:45.576000,29.7,51.3,999.5,False,43.8,191,2.1
16,0 days 00:16:45.579000,29.9,48.7,999.4,False,43.7,191,2.1
17,0 days 00:17:45.578000,30.1,48.5,999.4,False,44.4,197,2.5
18,0 days 00:18:45.579000,30.0,48.8,999.3,False,44.4,108,2.2
19,0 days 00:19:45.580000,30.2,48.0,999.4,False,44.1,198,1.9
20,0 days 00:20:45.580000,30.2,48.3,999.4,False,44.1,206,2.9
21,0 days 00:21:45.580000,30.1,45.6,999.4,False,44.3,219,2.9
22,0 days 00:22:45.585000,30.2,46.6,999.4,False,44.3,211,2.7
23,0 days 00:23:45.583000,30.1,46.2,999.4,False,44.6,230,2.4
24,0 days 00:24:45.586000,30.2,45.7,999.4,False,44.5,222,2.4
25,0 days 00:25:45.585000,30.1,45.5,999.4,False,44.1,236,3.1
26,0 days 00:26:45.585000,30.2,45.5,999.4,False,44.1,208,2.2
27,0 days 00:27:45.590000,30.2,45.6,999.4,False,44.1,209,2.9
28,0 days 00:28:45.582000,30.2,46.8,999.5,False,44.1,213,2.3
29,0 days 00:29:45.591000,30.1,47.7,999.3,False,44.1,194,2.8
30,0 days 00:30:45.593000,30.1,47.4,999.4,False,44.0,206,1.1
31,0 days 00:31:45.592000,30.5,46.5,999.4,False,44.2,80,0.5
32,0 days 00:32:45.591000,30.9,45.0,999.4,False,44.9,241,1.1
33,0 days 00:33:45.598000,31.2,45.5,999.4,False,45.1,108,0.8
34,0 days 00:34:45.592000,31.5,44.8,999.3,False,45.3,51,0.5
35,0 days 00:35:45.601000,31.4,45.4,999.3,False,45.4,0,1.1
36,0 days 00:36:45.586000,31.4,45.6,999.2,False,45.3,26,0.6
37,0 days 00:37:45.597000,31.6,45.9,999.3,False,45.2,112,1.6
38,0 days 00:38:45.595000,31.4,46.5,999.3,False,44.6,160,1.3
39,0 days 00:39:45.598000,31.4,47.0,999.3,False,45.0,211,2.9
40,0 days 00:40:45.600000,31.0,48.1,999.3,False,44.8,202,2.8
41,0 days 00:41:45.618000,30.9,48.5,999.2,False,44.7,212,2.1
42,0 days 00:42:45.597000,30.9,47.9,999.3,False,44.8,234,1.8
