,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:06.952000,24.5,52.1,938.6,False,39.7,281,1.0
1,0 days 00:01:06.960000,24.7,51.6,938.6,False,40.3,268,1.0
2,0 days 00:02:06.968000,24.6,50.2,938.6,False,40.3,245,1.2
3,0 days 00:03:06.972000,24.6,50.2,938.6,False,40.3,245,1.2
4,0 days 00:04:06.973000,24.9,48.4,938.5,False,40.5,334,0.8
5,0 days 00:05:06.977000,25.0,47.9,938.6,False,40.8,288,0.5
6,0 days 00:06:06.974000,25.1,47.6,938.6,False,41.0,313,0.7
7,0 days 00:07:06.987000,24.9,48.0,938.5,False,41.0,345,0.6
8,0 days 00:08:07.001000,24.8,46.9,938.6,False,40.9,81,0.9
9,0 days 00:09:07.002000,24.8,47.4,938.6,False,40.9,5,0.6
10,0 days 00:10:07.002000,24.9,48.9,938.5,False,40.9,342,0.5
11,0 days 00:11:07.002000,25.3,47.3,938.5,False,42.1,316,0.6
12,0 days 00:12:07.002000,25.6,46.8,938.5,False,42.1,12,0.5
13,0 days 00:13:07.024000,25.6,46.7,938.4,False,42.0,226,0.7
14,0 days 00:14:07.022000,25.4,47.9,938.5,False,41.8,294,0.8
15,0 days 00:15:07.038000,25.2,47.4,938.4,False,41.5,0,0.4
16,0 days 00:16:07.041000,25.1,47.3,938.4,False,41.4,0,0.4
17,0 days 00:17:07.054000,25.2,46.1,938.4,False,41.4,312,0.5
18,0 days 00:18:07.059000,25.2,46.4,938.4,False,42.0,7,1.3
19,0 days 00:19:07.067000,25.3,45.7,938.4,False,42.3,0,0.0
20,0 days 00:20:07.057000,25.3,44.9,938.4,False,42.2,236,0.5
21,0 days 00:21:07.055000,25.3,43.9,938.3,False,42.2,268,0.9
22,0 days 00:22:07.068000,25.3,43.7,938.5,False,42.6,0,0.4
23,0 days 00:23:07.076000,25.4,40.4,938.4,False,42.9,11,0.0
24,0 days 00:24:07.074000,25.5,39.6,938.5,False,43.1,285,0.5
25,0 days 00:25:07.088000,25.8,40.6,938.3,False,43.1,273,0.6
26,0 days 00:26:07.090000,26.1,41.2,938.4,False,43.2,0,1.0
27,0 days 00:27:07.090000,26.1,41.7,938.3,False,43.2,299,0.5
28,0 days 00:28:07.094000,26.2,43.4,938.3,False,43.0,0,0.6
29,0 days 00:29:07.090000,26.2,44.0,938.3,False,43.1,289,0.4
30,0 days 00:30:07.096000,26.3,43.5,938.3,False,43.1,234,1.3
31,0 days 00:31:07.099000,26.5,44.8,938.3,False,43.6,96,1.1
32,0 days 00:32:07.094000,26.7,44.7,938.4,False,43.6,85,1.6
33,0 days 00:33:07.094000,26.7,44.7,938.4,False,43.6,85,1.6
34,0 days 00:34:07.096000,26.6,43.2,938.3,False,44.2,103,0.4
35,0 days 00:35:07.097000,26.4,42.3,938.4,False,43.4,108,0.7
36,0 days 00:36:07.096000,26.2,43.8,938.3,False,43.1,32,0.4
37,0 days 00:37:07.102000,26.3,44.8,938.3,False,43.6,98,0.7
38,0 days 00:38:07.096000,26.6,44.4,938.3,False,44.5,98,0.9
39,0 days 00:39:07.111000,27.0,44.1,938.3,False,45.1,100,1.6
40,0 days 00:40:07.096000,27.1,43.5,938.3,False,45.3,119,1.7
41,0 days 00:41:07.097000,27.2,42.6,938.3,False,45.3,69,1.3
42,0 days 00:42:07.097000,27.4,41.9,938.2,False,45.3,96,1.7
43,0 days 00:43:07.098000,27.5,41.3,938.3,False,45.4,60,1.4
44,0 days 00:44:07.090000,27.7,40.8,938.3,False,45.6,108,1.4
45,0 days 00:45:07.098000,27.7,40.7,938.2,False,45.8,192,1.5
46,0 days 00:46:07.098000,27.4,40.9,938.2,False,45.6,169,0.7
47,0 days 00:47:07.099000,27.5,41.9,938.2,False,45.1,0,0.5
48,0 days 00:48:07.102000,27.6,41.3,938.2,False,45.9,266,0.8
49,0 days 00:49:07.100000,27.6,42.2,938.2,False,45.5,257,0.9
50,0 days 00:50:07.105000,27.6,41.2,938.2,False,45.5,251,1.0
51,0 days 00:51:07.107000,27.5,41.3,938.2,False,45.7,105,1.3
52,0 days 00:52:07.105000,27.6,41.5,938.1,False,45.7,101,1.7
53,0 days 00:53:07.105000,27.8,40.8,938.2,False,46.6,96,2.1
54,0 days 00:54:07.106000,27.9,40.4,938.2,False,46.6,96,1.7
55,0 days 00:55:07.107000,27.9,40.1,938.2,False,46.3,24,1.8
56,0 days 00:56:07.105000,27.8,40.2,938.2,False,46.3,92,1.6
57,0 days 00:57:07.112000,27.8,40.2,938.2,False,46.3,92,1.6
58,0 days 00:58:07.129000,27.2,41.1,938.2,False,45.7,337,1.1
59,0 days 00:59:07.105000,27.2,41.1,938.2,False,45.7,337,1.1
60,0 days 01:00:07.107000,26.9,42.1,938.1,False,45.7,314,0.8
61,0 days 01:01:07.109000,26.9,42.0,938.1,False,46.1,44,0.5
62,0 days 01:02:07.108000,27.1,41.6,938.1,False,46.5,321,0.3
63,0 days 01:03:07.108000,27.2,41.5,938.2,False,46.6,329,0.0
64,0 days 01:04:07.111000,27.2,41.0,938.1,False,46.6,293,0.3
65,0 days 01:05:07.113000,27.2,41.1,938.1,False,46.6,299,0.6
66,0 days 01:06:07.116000,27.0,41.7,938.0,False,46.6,28,0.5
67,0 days 01:07:07.110000,27.0,41.9,938.0,False,46.6,9,0.0
