,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:01:27.487000,HAM,44,,1.0,1.0,0 days 00:59:36.220000,,,47.221,33.968,,0 days 01:00:53.621000,0 days 01:01:27.778000,208.0,187.0,257.0,175.0,False,WET,1.0,True,Mercedes,0 days 00:59:36.220000,2020-07-11 13:46:23.839,1,,False,,False,False,,
1,0 days 01:02:55.364000,HAM,44,0 days 00:01:27.877000,2.0,1.0,,,20.406,38.668,28.803,0 days 01:01:47.893000,0 days 01:02:26.561000,0 days 01:02:55.364000,265.0,188.0,260.0,243.0,True,WET,2.0,True,Mercedes,0 days 01:01:27.487000,2020-07-11 13:48:15.106,1,,False,,False,True,87.877,87.877
2,0 days 01:04:56.329000,HAM,44,0 days 00:02:00.965000,3.0,1.0,,,20.944,64.385,35.636,0 days 01:03:16.308000,0 days 01:04:20.693000,0 days 01:04:56.329000,202.0,175.0,258.0,202.0,False,WET,3.0,True,Mercedes,0 days 01:02:55.364000,2020-07-11 13:49:42.983,1,,False,,False,True,120.965,120.965
3,0 days 01:06:17.282000,HAM,44,0 days 00:01:20.953000,4.0,1.0,,,19.566,36.137,25.25,0 days 01:05:15.895000,0 days 01:05:52.032000,0 days 01:06:17.282000,275.0,209.0,262.0,282.0,True,WET,4.0,True,Mercedes,0 days 01:04:56.329000,2020-07-11 13:51:43.948,1,,False,,False,True,80.953,80.953
4,0 days 01:07:42.590000,HAM,44,0 days 00:01:25.308000,5.0,1.0,,,19.526,36.282,29.5,0 days 01:06:36.808000,0 days 01:07:13.090000,0 days 01:07:42.590000,277.0,207.0,260.0,291.0,False,WET,5.0,True,Mercedes,0 days 01:06:17.282000,2020-07-11 13:53:04.901,12,,False,,False,True,85.308,85.30799999999999
5,0 days 01:09:02.254000,HAM,44,0 days 00:01:19.664000,6.0,1.0,,,19.406,35.647,24.611,0 days 01:08:01.996000,0 days 01:08:37.643000,0 days 01:09:02.254000,289.0,212.0,265.0,293.0,True,WET,6.0,True,Mercedes,0 days 01:07:42.590000,2020-07-11 13:54:30.209,1,,False,,False,True,79.664,79.664
6,0 days 01:10:35.922000,HAM,44,0 days 00:01:33.668000,7.0,1.0,,,19.327,46.314,28.027,0 days 01:09:21.581000,0 days 01:10:07.895000,0 days 01:10:35.922000,274.0,182.0,265.0,180.0,False,WET,7.0,True,Mercedes,0 days 01:09:02.254000,2020-07-11 13:55:49.873,1,,False,,False,True,93.668,93.668
7,0 days 01:11:55.003000,HAM,44,0 days 00:01:19.081000,8.0,1.0,,,19.569,35.254,24.258,0 days 01:10:55.491000,0 days 01:11:30.745000,0 days 01:11:55.003000,291.0,214.0,261.0,291.0,True,WET,8.0,True,Mercedes,0 days 01:10:35.922000,2020-07-11 13:57:23.541,1,,False,,False,True,79.081,79.08099999999999
8,0 days 01:13:13.191000,HAM,44,0 days 00:01:18.188000,9.0,1.0,,,19.281,34.71,24.197,0 days 01:12:14.284000,0 days 01:12:48.994000,0 days 01:13:13.191000,293.0,212.0,265.0,295.0,True,WET,9.0,True,Mercedes,0 days 01:11:55.003000,2020-07-11 13:58:42.622,1,,False,,False,True,78.188,78.188
9,0 days 01:14:42.120000,HAM,44,0 days 00:01:28.929000,10.0,1.0,,,20.489,39.577,28.863,0 days 01:13:33.680000,0 days 01:14:13.257000,0 days 01:14:42.120000,235.0,185.0,263.0,236.0,False,WET,10.0,True,Mercedes,0 days 01:13:13.191000,2020-07-11 14:00:00.810,1,,False,,False,True,88.929,88.929
10,0 days 01:16:05.286000,HAM,44,0 days 00:01:23.166000,11.0,1.0,,,19.192,36.563,27.411,0 days 01:15:01.312000,0 days 01:15:37.875000,0 days 01:16:05.286000,293.0,194.0,265.0,272.0,False,WET,11.0,True,Mercedes,0 days 01:14:42.120000,2020-07-11 14:01:29.739,12,,False,,False,True,83.166,83.166
11,0 days 01:24:24.034000,HAM,44,,12.0,1.0,,0 days 01:17:37.970000,19.217,35.628,,0 days 01:16:24.687000,0 days 01:17:00.151000,,292.0,191.0,,294.0,False,WET,12.0,True,Mercedes,0 days 01:16:05.286000,2020-07-11 14:02:52.905,125,,False,,False,False,,
12,0 days 01:26:04.076000,HAM,44,,13.0,2.0,0 days 01:24:23.921000,,,40.642,30.019,,0 days 01:25:34.083000,0 days 01:26:04.182000,237.0,195.0,261.0,232.0,False,WET,1.0,True,Mercedes,0 days 01:24:23.921000,2020-07-11 14:11:11.540,1,,False,,False,False,,
13,0 days 01:27:25.556000,HAM,44,0 days 00:01:21.480000,14.0,2.0,,,19.599,35.567,26.314,0 days 01:26:23.675000,0 days 01:26:59.242000,0 days 01:27:25.556000,288.0,209.0,263.0,292.0,True,WET,2.0,True,Mercedes,0 days 01:26:04.076000,2020-07-11 14:12:51.695,1,,False,,False,True,81.48,81.47999999999999
14,0 days 01:28:44.297000,HAM,44,0 days 00:01:18.741000,15.0,2.0,,,19.246,35.14,24.355,0 days 01:27:44.802000,0 days 01:28:19.942000,0 days 01:28:44.297000,290.0,211.0,267.0,293.0,True,WET,3.0,True,Mercedes,0 days 01:27:25.556000,2020-07-11 14:14:13.175,1,,False,,False,True,78.741,78.741
15,0 days 01:30:13.914000,HAM,44,0 days 00:01:29.617000,16.0,2.0,,,19.641,37.274,32.702,0 days 01:29:03.938000,0 days 01:29:41.212000,0 days 01:30:13.914000,256.0,187.0,264.0,259.0,False,WET,4.0,True,Mercedes,0 days 01:28:44.297000,2020-07-11 14:15:31.916,1,,False,,False,True,89.617,89.61699999999999
16,0 days 01:31:32.130000,HAM,44,0 days 00:01:18.216000,17.0,2.0,,,19.338,34.779,24.099,0 days 01:30:33.252000,0 days 01:31:08.031000,0 days 01:31:32.130000,292.0,216.0,265.0,292.0,True,WET,5.0,True,Mercedes,0 days 01:30:13.914000,2020-07-11 14:17:01.533,1,,False,,False,True,78.216,78.21600000000001
17,0 days 01:32:54.375000,HAM,44,0 days 00:01:22.245000,18.0,2.0,,,19.292,35.466,27.487,0 days 01:31:51.422000,0 days 01:32:26.888000,0 days 01:32:54.375000,293.0,191.0,267.0,293.0,False,WET,6.0,True,Mercedes,0 days 01:31:32.130000,2020-07-11 14:18:19.749,1,,False,,False,True,82.245,82.245
18,0 days 01:34:12.200000,HAM,44,0 days 00:01:17.825000,19.0,2.0,,,18.935,34.662,24.228,0 days 01:33:13.310000,0 days 01:33:47.972000,0 days 01:34:12.200000,295.0,218.0,264.0,294.0,True,WET,7.0,True,Mercedes,0 days 01:32:54.375000,2020-07-11 14:19:41.994,1,,False,,False,True,77.825,77.82499999999999
19,0 days 01:35:39.002000,HAM,44,0 days 00:01:26.802000,20.0,2.0,,,19.311,39.699,27.792,0 days 01:34:31.511000,0 days 01:35:11.210000,0 days 01:35:39.002000,261.0,182.0,263.0,212.0,False,WET,8.0,True,Mercedes,0 days 01:34:12.200000,2020-07-11 14:20:59.819,1,,False,,False,True,86.802,86.80199999999999
20,0 days 01:36:59.947000,HAM,44,0 days 00:01:20.945000,21.0,2.0,,,19.089,35.364,26.492,0 days 01:35:58.091000,0 days 01:36:33.455000,0 days 01:36:59.947000,292.0,205.0,264.0,291.0,False,WET,9.0,True,Mercedes,0 days 01:35:39.002000,2020-07-11 14:22:26.621,1,,False,,False,True,80.945,80.945
21,0 days 01:38:19.065000,HAM,44,0 days 00:01:19.118000,22.0,2.0,,,19.193,34.592,25.333,0 days 01:37:19.140000,0 days 01:37:53.732000,0 days 01:38:19.065000,290.0,214.0,267.0,291.0,False,WET,10.0,True,Mercedes,0 days 01:36:59.947000,2020-07-11 14:23:47.566,1,,False,,False,True,79.118,79.118
22,0 days 01:39:37.009000,HAM,44,0 days 00:01:17.944000,23.0,2.0,,,19.039,34.573,24.332,0 days 01:38:38.104000,0 days 01:39:12.677000,0 days 01:39:37.009000,291.0,207.0,265.0,293.0,False,WET,11.0,True,Mercedes,0 days 01:38:19.065000,2020-07-11 14:25:06.684,1,,False,,False,True,77.944,77.944
23,0 days 01:41:11.793000,HAM,44,0 days 00:01:34.784000,24.0,2.0,,0 days 01:41:08.342000,20.276,37.393,37.115,0 days 01:39:57.285000,0 days 01:40:34.678000,0 days 01:41:11.793000,261.0,180.0,,251.0,False,WET,12.0,True,Mercedes,0 days 01:39:37.009000,2020-07-11 14:26:24.628,1,,False,,False,False,94.784,94.78399999999999
