,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:27.068000,RIC,3,,1.0,1.0,0 days 00:16:17.229000,0 days 00:18:26.472000,,49.816,37.303,,0 days 00:17:49.765000,0 days 00:18:27.138000,170.0,199.0,,233.0,False,HARD,1.0,True,Renault,0 days 00:16:17.229000,2020-11-13 08:01:46.088,1,,False,,False,False,,
1,0 days 01:04:38.925000,RIC,3,,2.0,2.0,0 days 01:02:46.530000,,,42.976,30.445,,0 days 01:04:08.525000,0 days 01:04:41.669000,225.0,262.0,213.0,230.0,False,HARD,1.0,True,Renault,0 days 01:02:46.530000,2020-11-13 08:48:15.389,1,,False,,False,False,,
2,0 days 01:06:33.834000,RIC,3,0 days 00:01:54.909000,3.0,2.0,,,44.847,40.982,29.08,0 days 01:05:23.772000,0 days 01:06:04.754000,0 days 01:06:33.834000,249.0,268.0,222.0,256.0,True,HARD,2.0,True,Renault,0 days 01:04:38.925000,2020-11-13 08:50:07.784,1,,False,,False,True,114.909,114.909
3,0 days 01:08:27.311000,RIC,3,0 days 00:01:53.477000,4.0,2.0,,,44.159,40.304,29.014,0 days 01:07:17.993000,0 days 01:07:58.297000,0 days 01:08:27.311000,239.0,268.0,222.0,266.0,True,HARD,3.0,True,Renault,0 days 01:06:33.834000,2020-11-13 08:52:02.693,1,,False,,False,True,113.477,113.47699999999999
4,0 days 01:10:20.696000,RIC,3,0 days 00:01:53.385000,5.0,2.0,,,44.307,40.262,28.816,0 days 01:09:11.618000,0 days 01:09:51.880000,0 days 01:10:20.696000,240.0,267.0,219.0,259.0,True,HARD,4.0,True,Renault,0 days 01:08:27.311000,2020-11-13 08:53:56.170,1,,False,,False,True,113.385,113.385
5,0 days 01:12:10.906000,RIC,3,0 days 00:01:50.210000,6.0,2.0,,,42.222,39.235,28.753,0 days 01:11:02.918000,0 days 01:11:42.153000,0 days 01:12:10.906000,254.0,270.0,224.0,263.0,True,HARD,5.0,True,Renault,0 days 01:10:20.696000,2020-11-13 08:55:49.555,1,,False,,False,True,110.21,110.21
6,0 days 01:13:59.719000,RIC,3,0 days 00:01:48.813000,7.0,2.0,,,41.695,38.815,28.303,0 days 01:12:52.601000,0 days 01:13:31.416000,0 days 01:13:59.719000,254.0,271.0,227.0,266.0,True,HARD,6.0,True,Renault,0 days 01:12:10.906000,2020-11-13 08:57:39.765,1,,False,,False,True,108.813,108.81299999999999
7,0 days 01:15:48.083000,RIC,3,0 days 00:01:48.364000,8.0,2.0,,,41.364,38.689,28.311,0 days 01:14:41.083000,0 days 01:15:19.772000,0 days 01:15:48.083000,259.0,269.0,228.0,277.0,True,HARD,7.0,True,Renault,0 days 01:13:59.719000,2020-11-13 08:59:28.578,1,,False,,False,True,108.364,108.364
8,0 days 01:17:35.076000,RIC,3,0 days 00:01:46.993000,9.0,2.0,,,40.991,38.199,27.803,0 days 01:16:29.074000,0 days 01:17:07.273000,0 days 01:17:35.076000,258.0,272.0,229.0,285.0,True,HARD,8.0,True,Renault,0 days 01:15:48.083000,2020-11-13 09:01:16.942,1,,False,,False,True,106.993,106.993
9,0 days 01:19:25.612000,RIC,3,0 days 00:01:50.536000,10.0,2.0,,,40.6,37.733,32.203,0 days 01:18:15.676000,0 days 01:18:53.409000,0 days 01:19:25.612000,260.0,275.0,191.0,276.0,False,HARD,9.0,True,Renault,0 days 01:17:35.076000,2020-11-13 09:03:03.935,126,,False,,False,False,110.536,110.536
10,0 days 01:21:24.275000,RIC,3,0 days 00:01:58.663000,11.0,2.0,,0 days 01:21:23.841000,45.031,40.918,32.714,0 days 01:20:10.643000,0 days 01:20:51.561000,0 days 01:21:24.275000,208.0,270.0,,236.0,False,HARD,10.0,True,Renault,0 days 01:19:25.612000,2020-11-13 09:04:54.471,6,,False,,False,False,118.663,118.663
11,0 days 01:34:58.884000,RIC,3,,12.0,3.0,0 days 01:33:03.950000,,,42.752,31.517,,0 days 01:34:27.417000,0 days 01:34:59.001000,233.0,264.0,217.0,204.0,False,HARD,11.0,False,Renault,0 days 01:21:24.275000,2020-11-13 09:06:53.134,6712,,False,,False,False,,
12,0 days 01:36:50.463000,RIC,3,0 days 00:01:51.579000,13.0,3.0,,,43.098,39.809,28.672,0 days 01:35:41.982000,0 days 01:36:21.791000,0 days 01:36:50.463000,230.0,271.0,224.0,285.0,False,HARD,12.0,False,Renault,0 days 01:34:58.884000,2020-11-13 09:20:27.743,1,,False,,False,True,111.579,111.579
13,0 days 01:38:44.045000,RIC,3,0 days 00:01:53.582000,14.0,3.0,,,40.467,43.991,29.124,0 days 01:37:30.930000,0 days 01:38:14.921000,0 days 01:38:44.045000,254.0,268.0,223.0,259.0,False,HARD,13.0,False,Renault,0 days 01:36:50.463000,2020-11-13 09:22:19.322,12,,False,,False,True,113.582,113.582
14,0 days 01:40:32.081000,RIC,3,0 days 00:01:48.036000,15.0,3.0,,,40.578,39.242,28.216,0 days 01:39:24.623000,0 days 01:40:03.865000,0 days 01:40:32.081000,253.0,273.0,227.0,277.0,False,HARD,14.0,False,Renault,0 days 01:38:44.045000,2020-11-13 09:24:12.904,1,,False,,False,True,108.036,108.036
15,0 days 01:42:20.963000,RIC,3,0 days 00:01:48.882000,16.0,3.0,,,39.844,38.53,30.508,0 days 01:41:11.925000,0 days 01:41:50.455000,0 days 01:42:20.963000,257.0,273.0,225.0,226.0,False,HARD,15.0,False,Renault,0 days 01:40:32.081000,2020-11-13 09:26:00.940,12,,False,,False,True,108.882,108.88199999999999
16,0 days 01:44:07.688000,RIC,3,0 days 00:01:46.725000,17.0,3.0,,,40.101,38.492,28.132,0 days 01:43:01.064000,0 days 01:43:39.556000,0 days 01:44:07.688000,257.0,273.0,229.0,269.0,True,HARD,16.0,False,Renault,0 days 01:42:20.963000,2020-11-13 09:27:49.822,12,,False,,False,True,106.725,106.725
17,0 days 01:45:52.844000,RIC,3,0 days 00:01:45.156000,18.0,3.0,,,39.481,37.879,27.796,0 days 01:44:47.169000,0 days 01:45:25.048000,0 days 01:45:52.844000,260.0,275.0,233.0,268.0,True,HARD,17.0,False,Renault,0 days 01:44:07.688000,2020-11-13 09:29:36.547,1,,False,,False,True,105.156,105.156
18,0 days 01:48:08.507000,RIC,3,0 days 00:02:15.663000,19.0,3.0,,,47.681,47.116,40.866,0 days 01:46:40.525000,0 days 01:47:27.641000,0 days 01:48:08.507000,201.0,245.0,65.0,216.0,False,HARD,18.0,False,Renault,0 days 01:45:52.844000,2020-11-13 09:31:21.703,12,,False,,False,True,135.663,135.663
19,0 days 01:50:50.348000,RIC,3,,20.0,3.0,,0 days 01:50:49.750000,80.801,45.685,35.35,0 days 01:49:29.313000,0 days 01:50:15.633000,0 days 01:50:50.420000,218.0,199.0,,206.0,False,HARD,19.0,False,Renault,0 days 01:48:08.507000,2020-11-13 09:33:37.366,1,,False,,False,False,,161.836
20,0 days 00:16:47.931000,NOR,4,,1.0,1.0,0 days 00:14:39.129000,0 days 00:16:48.201000,,47.167,37.419,,0 days 00:16:10.512000,0 days 00:16:48.321000,193.0,234.0,,221.0,False,HARD,1.0,True,McLaren,0 days 00:14:39.129000,2020-11-13 08:00:07.988,1,,False,,False,False,,
21,0 days 00:54:12.167000,NOR,4,,2.0,2.0,0 days 00:52:05.583000,,,51.816,31.305,,0 days 00:53:40.884000,0 days 00:54:12.303000,208.0,245.0,207.0,236.0,False,HARD,2.0,False,McLaren,0 days 00:52:05.583000,2020-11-13 08:37:34.442,1,,False,,False,False,,
22,0 days 00:56:09.391000,NOR,4,0 days 00:01:57.224000,3.0,2.0,,,45.972,42.007,29.245,0 days 00:54:58.139000,0 days 00:55:40.146000,0 days 00:56:09.391000,229.0,264.0,217.0,258.0,True,HARD,3.0,False,McLaren,0 days 00:54:12.167000,2020-11-13 08:39:41.026,1,,False,,False,True,117.224,117.224
23,0 days 00:58:04.012000,NOR,4,0 days 00:01:54.621000,4.0,2.0,,,43.598,40.672,30.351,0 days 00:56:52.989000,0 days 00:57:33.661000,0 days 00:58:04.012000,237.0,266.0,218.0,289.0,True,HARD,4.0,False,McLaren,0 days 00:56:09.391000,2020-11-13 08:41:38.250,12,,False,,False,True,114.621,114.621
24,0 days 00:59:55.226000,NOR,4,0 days 00:01:51.214000,5.0,2.0,,,42.113,39.416,29.685,0 days 00:58:46.125000,0 days 00:59:25.541000,0 days 00:59:55.226000,248.0,267.0,221.0,272.0,True,HARD,5.0,False,McLaren,0 days 00:58:04.012000,2020-11-13 08:43:32.871,1,,False,,False,True,111.214,111.214
25,0 days 01:01:49.657000,NOR,4,0 days 00:01:54.431000,6.0,2.0,,0 days 01:01:49.682000,42.097,38.646,33.688,0 days 01:00:37.323000,0 days 01:01:15.969000,0 days 01:01:49.657000,242.0,268.0,,259.0,False,HARD,6.0,False,McLaren,0 days 00:59:55.226000,2020-11-13 08:45:24.085,1,,False,,False,False,114.431,114.431
26,0 days 01:20:31.498000,NOR,4,,7.0,3.0,0 days 01:18:35.362000,,,44.601,31.131,,0 days 01:20:00.396000,0 days 01:20:31.656000,144.0,251.0,207.0,224.0,False,MEDIUM,1.0,True,McLaren,0 days 01:01:49.657000,2020-11-13 08:47:18.516,126,,False,,False,False,,
27,0 days 01:22:32.771000,NOR,4,0 days 00:02:01.273000,8.0,3.0,,,47.313,42.167,31.793,0 days 01:21:18.811000,0 days 01:22:00.978000,0 days 01:22:32.771000,200.0,232.0,217.0,173.0,False,MEDIUM,2.0,True,McLaren,0 days 01:20:31.498000,2020-11-13 09:06:00.357,671,,False,,False,False,121.273,121.273
28,0 days 01:24:19.279000,NOR,4,0 days 00:01:46.508000,9.0,3.0,,,41.05,37.33,28.128,0 days 01:23:13.821000,0 days 01:23:51.151000,0 days 01:24:19.279000,257.0,272.0,227.0,278.0,True,MEDIUM,3.0,True,McLaren,0 days 01:22:32.771000,2020-11-13 09:08:01.630,1,,False,,False,True,106.508,106.508
