,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:34.390000,15.8,66.5,1008.3,False,21.8,95,3.9
1,0 days 00:01:34.403000,15.8,67.1,1008.3,False,21.3,95,2.8
2,0 days 00:02:34.410000,15.8,67.1,1008.3,False,20.9,98,3.3
3,0 days 00:03:34.429000,15.8,67.1,1008.3,False,20.7,90,3.7
4,0 days 00:04:34.426000,15.8,67.3,1008.2,False,20.5,88,3.9
5,0 days 00:05:34.427000,15.7,67.7,1008.2,False,20.3,86,3.4
6,0 days 00:06:34.441000,15.7,67.7,1008.3,False,20.2,88,3.8
7,0 days 00:07:34.483000,15.6,67.1,1008.2,False,19.9,90,3.9
8,0 days 00:08:34.460000,15.6,66.8,1008.2,False,19.7,89,3.8
9,0 days 00:09:34.464000,15.6,66.8,1008.3,False,19.6,87,3.6
10,0 days 00:10:34.464000,15.6,67.3,1008.3,False,19.5,90,3.1
11,0 days 00:11:34.472000,15.6,67.7,1008.3,False,19.5,91,3.1
12,0 days 00:12:34.464000,15.6,68.0,1008.3,False,19.4,87,3.1
13,0 days 00:13:34.469000,15.5,68.1,1008.3,False,19.3,89,3.2
14,0 days 00:14:34.456000,15.5,68.2,1008.3,False,19.2,88,3.1
15,0 days 00:15:34.475000,15.4,68.2,1008.3,False,19.0,103,3.2
16,0 days 00:16:34.467000,15.4,68.5,1008.2,False,18.9,89,2.8
17,0 days 00:17:34.479000,15.4,68.6,1008.3,False,18.9,91,2.8
18,0 days 00:18:34.470000,15.4,68.7,1008.2,False,18.8,89,2.6
19,0 days 00:19:34.474000,15.5,68.6,1008.3,False,18.8,92,2.5
20,0 days 00:20:34.460000,15.5,68.5,1008.2,False,18.8,87,2.2
21,0 days 00:21:34.491000,15.5,68.4,1008.2,False,19.4,97,2.5
22,0 days 00:22:34.476000,15.6,68.2,1008.1,False,19.8,93,2.8
23,0 days 00:23:34.475000,15.8,67.8,1008.2,False,19.9,84,2.6
24,0 days 00:24:34.487000,15.9,67.2,1008.2,False,20.1,98,2.0
25,0 days 00:25:34.475000,16.0,66.7,1008.2,False,20.1,163,1.9
26,0 days 00:26:34.475000,16.1,66.0,1008.3,False,20.4,93,1.7
27,0 days 00:27:34.480000,16.1,65.4,1008.2,False,20.5,113,1.4
28,0 days 00:28:34.478000,16.2,65.3,1008.2,False,20.5,90,2.0
29,0 days 00:29:34.479000,16.3,65.2,1008.2,False,20.5,105,1.4
30,0 days 00:30:34.519000,16.4,65.1,1008.1,False,20.5,84,1.4
31,0 days 00:31:34.481000,16.4,64.7,1008.2,False,20.5,76,1.6
