,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:06.498000,STR,18,,1.0,1.0,0 days 00:16:01.407000,,,45.503,39.026,,0 days 00:17:27.472000,0 days 00:18:06.741000,221.0,257.0,173.0,188.0,False,INTERMEDIATE,1.0,True,Racing Point,0 days 00:16:01.407000,2020-11-14 12:01:01.607,1,,False,,False,False,,
1,0 days 00:20:13.965000,STR,18,0 days 00:02:07.467000,2.0,1.0,,,47.358,46.743,33.366,0 days 00:18:53.856000,0 days 00:19:40.599000,0 days 00:20:13.965000,238.0,253.0,180.0,228.0,True,INTERMEDIATE,2.0,True,Racing Point,0 days 00:18:06.498000,2020-11-14 12:03:06.698,12,,False,,False,True,127.467,127.467
2,0 days 00:22:28.567000,STR,18,0 days 00:02:14.602000,3.0,1.0,,0 days 00:22:27.943000,47.616,51.275,35.711,0 days 00:21:01.581000,0 days 00:21:52.856000,0 days 00:22:28.567000,216.0,223.0,,179.0,False,INTERMEDIATE,3.0,True,Racing Point,0 days 00:20:13.965000,2020-11-14 12:05:14.165,12,,False,,False,False,134.602,134.60199999999998
3,0 days 00:25:20.776000,STR,18,,4.0,2.0,0 days 00:23:08.620000,0 days 00:25:20.146000,84.117,50.65,37.446,0 days 00:23:52.680000,0 days 00:24:43.345000,0 days 00:25:21.309000,212.0,243.0,,179.0,False,WET,3.0,False,Racing Point,0 days 00:22:28.567000,2020-11-14 12:07:28.767,12,,False,,False,False,,172.213
4,0 days 01:18:45.676000,STR,18,,5.0,3.0,0 days 01:11:43.078000,0 days 01:13:50.271000,,45.533,,,0 days 01:13:10.086000,,222.0,256.0,,159.0,False,WET,1.0,True,Racing Point,0 days 01:11:43.078000,2020-11-14 12:56:43.278,125,,False,,False,False,,
5,0 days 01:21:03.090000,STR,18,,6.0,4.0,0 days 01:18:45.676000,,,49.998,45.722,,0 days 01:20:17.368000,0 days 01:21:03.240000,185.0,259.0,161.0,155.0,False,WET,1.0,True,Racing Point,0 days 01:18:45.676000,2020-11-14 13:03:45.876,12,,False,,False,False,,
6,0 days 01:23:16.809000,STR,18,0 days 00:02:13.719000,7.0,4.0,,0 days 01:23:16.165000,48.621,49.824,35.274,0 days 01:21:51.711000,0 days 01:22:41.535000,0 days 01:23:16.809000,218.0,254.0,,183.0,False,WET,2.0,True,Racing Point,0 days 01:21:03.090000,2020-11-14 13:06:03.290,21,,False,,False,False,133.719,133.719
7,0 days 01:32:19.061000,STR,18,,8.0,5.0,0 days 01:30:15.685000,,,43.027,39.181,,0 days 01:31:39.931000,0 days 01:32:19.062000,237.0,264.0,195.0,193.0,False,WET,4.0,False,Racing Point,0 days 01:23:16.809000,2020-11-14 13:08:17.009,21,,False,,False,False,,
8,0 days 01:34:16.518000,STR,18,0 days 00:01:57.457000,9.0,5.0,,,43.993,42.229,31.235,0 days 01:33:03.054000,0 days 01:33:45.283000,0 days 01:34:16.518000,246.0,271.0,202.0,227.0,True,WET,5.0,False,Racing Point,0 days 01:32:19.061000,2020-11-14 13:17:19.261,1,,False,,False,True,117.457,117.45700000000001
9,0 days 01:36:12.248000,STR,18,0 days 00:01:55.730000,10.0,5.0,,,43.249,41.28,31.201,0 days 01:34:59.767000,0 days 01:35:41.047000,0 days 01:36:12.248000,252.0,271.0,203.0,222.0,True,WET,6.0,False,Racing Point,0 days 01:34:16.518000,2020-11-14 13:19:16.718,1,,False,,False,True,115.73,115.72999999999999
