,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:44.997000,27.5,47.4,988.1,False,39.0,10,2.3
1,0 days 00:01:44.997000,27.5,46.5,988.1,False,38.5,10,2.0
2,0 days 00:02:45.027000,27.7,46.2,988.1,False,38.8,22,1.9
3,0 days 00:03:45.032000,27.5,47.6,988.0,False,39.2,10,1.4
4,0 days 00:04:45.030000,27.5,46.3,988.1,False,39.0,359,2.6
5,0 days 00:05:45.034000,27.4,47.1,988.1,False,39.4,14,1.8
6,0 days 00:06:45.031000,27.4,47.6,988.1,False,39.4,6,1.9
7,0 days 00:07:45.034000,27.5,47.1,988.1,False,39.4,8,1.2
8,0 days 00:08:45.035000,27.4,46.9,988.1,False,39.4,1,2.4
9,0 days 00:09:45.037000,27.3,46.7,988.1,False,39.4,3,2.5
10,0 days 00:10:45.037000,27.2,47.8,988.1,False,39.6,359,2.0
11,0 days 00:11:45.040000,27.5,47.3,988.1,False,39.7,10,3.3
12,0 days 00:12:45.040000,27.8,45.5,988.1,False,40.2,33,2.8
13,0 days 00:13:45.040000,28.1,44.8,988.1,False,40.2,351,2.2
14,0 days 00:14:45.038000,28.0,44.7,988.1,False,40.0,15,1.8
15,0 days 00:15:45.050000,28.0,45.2,988.2,False,40.0,359,2.0
16,0 days 00:16:45.039000,28.3,45.7,988.2,False,40.3,4,2.6
17,0 days 00:17:45.052000,28.2,45.3,988.1,False,39.9,3,2.3
18,0 days 00:18:45.057000,28.0,45.5,988.0,False,39.8,11,1.1
19,0 days 00:19:45.046000,27.9,45.5,988.2,False,39.9,339,2.1
20,0 days 00:20:45.063000,27.7,45.3,988.2,False,40.5,13,1.4
21,0 days 00:21:45.077000,28.0,44.1,988.2,False,40.7,4,1.4
22,0 days 00:22:45.080000,28.1,44.7,988.2,False,41.0,352,2.0
23,0 days 00:23:45.094000,28.2,44.1,988.0,False,40.6,11,1.4
24,0 days 00:24:45.100000,28.1,45.2,988.1,False,40.6,358,2.3
25,0 days 00:25:45.098000,28.0,44.9,988.2,False,40.7,359,3.0
26,0 days 00:26:45.098000,27.9,44.6,988.2,False,40.7,355,2.6
27,0 days 00:27:45.097000,27.8,43.3,988.0,False,40.8,40,1.8
28,0 days 00:28:45.116000,27.8,43.4,988.0,False,41.1,10,2.3
29,0 days 00:29:45.129000,27.7,44.6,988.1,False,41.1,5,2.6
30,0 days 00:30:45.149000,27.8,44.1,988.1,False,41.0,14,2.6
31,0 days 00:31:45.153000,27.7,44.8,988.1,False,41.0,33,1.7
32,0 days 00:32:45.154000,27.8,43.9,988.1,False,41.0,347,1.8
33,0 days 00:33:45.183000,27.8,43.4,988.1,False,41.3,13,1.9
34,0 days 00:34:45.190000,28.1,42.8,988.1,False,41.8,10,2.7
35,0 days 00:35:45.182000,28.3,42.6,988.0,False,41.8,13,2.8
36,0 days 00:36:45.173000,28.4,42.4,988.0,False,41.5,16,3.4
37,0 days 00:37:45.188000,27.8,43.8,988.1,False,41.5,10,1.9
38,0 days 00:38:45.197000,27.9,43.5,988.0,False,41.5,358,1.9
39,0 days 00:39:45.204000,28.1,41.5,988.0,False,41.6,10,2.0
40,0 days 00:40:45.190000,28.1,41.4,988.0,False,41.6,11,1.9
41,0 days 00:41:45.191000,28.1,41.5,987.9,False,41.6,337,2.5
42,0 days 00:42:45.195000,27.8,42.4,988.0,False,41.5,8,2.5
43,0 days 00:43:45.209000,28.1,42.4,987.9,False,42.5,358,2.6
44,0 days 00:44:45.176000,28.4,41.5,988.0,False,42.5,3,2.3
45,0 days 00:45:45.196000,28.6,40.3,988.0,False,42.5,26,1.3
46,0 days 00:46:45.193000,28.8,39.9,988.0,False,42.9,235,0.6
47,0 days 00:47:45.196000,29.2,39.0,987.9,False,43.0,5,2.4
48,0 days 00:48:45.193000,29.1,40.7,988.0,False,42.9,347,3.0
49,0 days 00:49:45.197000,28.5,41.0,987.9,False,42.1,99,1.9
50,0 days 00:50:45.220000,28.5,41.0,987.9,False,42.1,99,1.9
51,0 days 00:51:45.210000,28.4,41.8,987.9,False,42.0,5,1.7
52,0 days 00:52:45.197000,28.4,42.2,988.0,False,42.4,8,3.2
53,0 days 00:53:45.201000,28.5,41.7,988.0,False,42.4,7,3.7
54,0 days 00:54:45.195000,28.1,42.0,988.0,False,42.3,0,2.0
55,0 days 00:55:45.210000,27.7,43.8,988.0,False,41.7,10,1.7
56,0 days 00:56:45.216000,27.9,43.9,988.0,False,41.9,59,1.7
57,0 days 00:57:45.209000,28.0,43.2,988.0,False,42.4,25,2.0
58,0 days 00:58:45.229000,28.0,43.1,987.9,False,42.6,12,1.2
59,0 days 00:59:45.247000,28.2,42.6,988.0,False,42.4,10,2.9
60,0 days 01:00:45.255000,28.2,42.9,988.0,False,42.5,7,1.7
61,0 days 01:01:45.249000,28.2,41.3,987.9,False,42.5,334,1.6
62,0 days 01:02:45.264000,28.1,42.4,988.0,False,42.6,6,1.0
