,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:17.017000,RIC,3,,1.0,1.0,0 days 00:15:48.178000,,,36.205,31.934,,0 days 00:16:45.184000,0 days 00:17:17.197000,284.0,211.0,277.0,295.0,False,HARD,1.0,True,McLaren,0 days 00:15:48.178000,2021-07-02 09:30:49.488,1,,False,,False,False,,
1,0 days 00:18:24.941000,RIC,3,0 days 00:01:07.924000,2.0,1.0,,,16.954,30.379,20.591,0 days 00:17:33.971000,0 days 00:18:04.350000,0 days 00:18:24.941000,311.0,240.0,280.0,309.0,True,HARD,2.0,True,McLaren,0 days 00:17:17.017000,2021-07-02 09:32:18.327,1,,False,,False,True,67.924,67.924
2,0 days 00:20:07.938000,RIC,3,0 days 00:01:42.997000,3.0,1.0,,,23.578,45.632,33.787,0 days 00:18:48.519000,0 days 00:19:34.151000,0 days 00:20:07.938000,273.0,204.0,279.0,248.0,False,HARD,3.0,True,McLaren,0 days 00:18:24.941000,2021-07-02 09:33:26.251,1,,False,,False,True,102.997,102.99699999999999
3,0 days 00:21:26.166000,RIC,3,0 days 00:01:18.228000,4.0,1.0,,,16.841,37.494,23.893,0 days 00:20:24.779000,0 days 00:21:02.273000,0 days 00:21:26.166000,315.0,203.0,281.0,269.0,False,HARD,4.0,True,McLaren,0 days 00:20:07.938000,2021-07-02 09:35:09.248,1,,False,,False,True,78.228,78.22800000000001
4,0 days 00:22:33.245000,RIC,3,0 days 00:01:07.079000,5.0,1.0,,,16.723,30.042,20.314,0 days 00:21:42.889000,0 days 00:22:12.931000,0 days 00:22:33.245000,312.0,242.0,282.0,309.0,True,HARD,5.0,True,McLaren,0 days 00:21:26.166000,2021-07-02 09:36:27.476,1,,False,,False,True,67.079,67.07900000000001
5,0 days 00:24:09.475000,RIC,3,0 days 00:01:36.230000,6.0,1.0,,,25.311,43.487,27.432,0 days 00:22:58.556000,0 days 00:23:42.043000,0 days 00:24:09.475000,214.0,211.0,282.0,222.0,False,HARD,6.0,True,McLaren,0 days 00:22:33.245000,2021-07-02 09:37:34.555,1,,False,,False,True,96.23,96.23
6,0 days 00:25:16.400000,RIC,3,0 days 00:01:06.925000,7.0,1.0,,,16.774,29.854,20.297,0 days 00:24:26.249000,0 days 00:24:56.103000,0 days 00:25:16.400000,311.0,242.0,281.0,310.0,True,HARD,7.0,True,McLaren,0 days 00:24:09.475000,2021-07-02 09:39:10.785,1,,False,,False,True,66.925,66.925
7,0 days 00:26:38.398000,RIC,3,0 days 00:01:21.998000,8.0,1.0,,0 days 00:26:35.057000,18.835,34.967,28.196,0 days 00:25:35.235000,0 days 00:26:10.202000,0 days 00:26:38.398000,280.0,210.0,,290.0,False,HARD,8.0,True,McLaren,0 days 00:25:16.400000,2021-07-02 09:40:17.710,12,,False,,False,False,81.998,81.998
8,0 days 00:34:11.133000,RIC,3,,9.0,2.0,0 days 00:32:52.069000,,,35.476,24.435,,0 days 00:33:46.723000,0 days 00:34:11.308000,290.0,210.0,280.0,292.0,False,HARD,9.0,False,McLaren,0 days 00:26:38.398000,2021-07-02 09:41:39.708,1,,False,,False,False,,
9,0 days 00:35:18.577000,RIC,3,0 days 00:01:07.444000,10.0,2.0,,,17.001,30.028,20.415,0 days 00:34:28.134000,0 days 00:34:58.162000,0 days 00:35:18.577000,308.0,240.0,279.0,305.0,False,HARD,10.0,False,McLaren,0 days 00:34:11.133000,2021-07-02 09:49:12.443,1,,False,,False,True,67.444,67.44399999999999
10,0 days 00:36:45.351000,RIC,3,0 days 00:01:26.774000,11.0,2.0,,,20.241,37.809,28.724,0 days 00:35:38.818000,0 days 00:36:16.627000,0 days 00:36:45.351000,250.0,193.0,281.0,265.0,False,HARD,11.0,False,McLaren,0 days 00:35:18.577000,2021-07-02 09:50:19.887,1,,False,,False,True,86.774,86.774
11,0 days 00:37:52.141000,RIC,3,0 days 00:01:06.790000,12.0,2.0,,,16.811,29.726,20.253,0 days 00:37:02.162000,0 days 00:37:31.888000,0 days 00:37:52.141000,310.0,244.0,282.0,308.0,True,HARD,12.0,False,McLaren,0 days 00:36:45.351000,2021-07-02 09:51:46.661,1,,False,,False,True,66.79,66.78999999999999
