,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:36:39.730000,BOT,77,,1.0,1.0,,,,37.003,16.761,,0 days 00:36:23.078000,0 days 00:36:39.901000,303.0,259.0,296.0,218.0,False,SOFT,4.0,False,Mercedes,0 days 00:35:23.625000,2021-11-13 19:33:03.308,1,1.0,False,,False,False,,
1,0 days 00:37:52.703000,BOT,77,0 days 00:01:12.973000,2.0,1.0,,,18.794,37.335,16.844,0 days 00:36:58.588000,0 days 00:37:35.923000,0 days 00:37:52.767000,297.0,258.0,296.0,290.0,True,SOFT,5.0,False,Mercedes,0 days 00:36:39.730000,2021-11-13 19:34:19.413,12,1.0,False,,False,True,72.973,72.97300000000001
2,0 days 00:39:05.536000,BOT,77,0 days 00:01:12.833000,3.0,1.0,,,18.709,37.352,16.772,0 days 00:38:11.476000,0 days 00:38:48.828000,0 days 00:39:05.600000,301.0,259.0,297.0,294.0,True,SOFT,6.0,False,Mercedes,0 days 00:37:52.703000,2021-11-13 19:35:32.386,1,1.0,False,,False,True,72.833,72.833
3,0 days 00:40:18.089000,BOT,77,0 days 00:01:12.553000,4.0,1.0,,,18.733,37.033,16.787,0 days 00:39:24.333000,0 days 00:40:01.366000,0 days 00:40:18.153000,304.0,259.0,297.0,298.0,True,SOFT,7.0,False,Mercedes,0 days 00:39:05.536000,2021-11-13 19:36:45.219,1,1.0,False,,False,True,72.553,72.553
4,0 days 00:41:30.735000,BOT,77,0 days 00:01:12.646000,5.0,1.0,,,18.692,37.214,16.74,0 days 00:40:36.845000,0 days 00:41:14.059000,0 days 00:41:30.799000,302.0,252.0,299.0,298.0,False,SOFT,8.0,False,Mercedes,0 days 00:40:18.089000,2021-11-13 19:37:57.772,1,1.0,False,,False,True,72.646,72.646
5,0 days 00:42:43.165000,BOT,77,0 days 00:01:12.430000,6.0,1.0,,,18.595,37.086,16.749,0 days 00:41:49.394000,0 days 00:42:26.480000,0 days 00:42:43.229000,306.0,260.0,300.0,299.0,True,SOFT,9.0,False,Mercedes,0 days 00:41:30.735000,2021-11-13 19:39:10.418,1,1.0,False,,False,True,72.43,72.42999999999999
6,0 days 00:43:55.710000,BOT,77,0 days 00:01:12.545000,7.0,1.0,,,18.593,37.246,16.706,0 days 00:43:01.822000,0 days 00:43:39.068000,0 days 00:43:55.774000,299.0,260.0,301.0,300.0,False,SOFT,10.0,False,Mercedes,0 days 00:42:43.165000,2021-11-13 19:40:22.848,1,1.0,False,,False,True,72.545,72.545
7,0 days 00:45:08.010000,BOT,77,0 days 00:01:12.300000,8.0,1.0,,,18.682,36.885,16.733,0 days 00:44:14.456000,0 days 00:44:51.341000,0 days 00:45:08.074000,303.0,260.0,300.0,294.0,True,SOFT,11.0,False,Mercedes,0 days 00:43:55.710000,2021-11-13 19:41:35.393,1,1.0,False,,False,True,72.3,72.3
8,0 days 00:46:20.474000,BOT,77,0 days 00:01:12.464000,9.0,1.0,,,18.61,37.054,16.8,0 days 00:45:26.684000,0 days 00:46:03.738000,0 days 00:46:20.538000,302.0,263.0,301.0,298.0,False,SOFT,12.0,False,Mercedes,0 days 00:45:08.010000,2021-11-13 19:42:47.693,1,1.0,False,,False,True,72.464,72.464
9,0 days 00:47:32.840000,BOT,77,0 days 00:01:12.366000,10.0,1.0,,,18.635,37.049,16.682,0 days 00:46:39.173000,0 days 00:47:16.222000,0 days 00:47:32.904000,303.0,260.0,301.0,296.0,False,SOFT,13.0,False,Mercedes,0 days 00:46:20.474000,2021-11-13 19:44:00.157,1,1.0,False,,False,True,72.366,72.366
10,0 days 00:48:45.227000,BOT,77,0 days 00:01:12.387000,11.0,1.0,,,18.674,37.037,16.676,0 days 00:47:51.578000,0 days 00:48:28.615000,0 days 00:48:45.291000,304.0,261.0,300.0,300.0,False,SOFT,14.0,False,Mercedes,0 days 00:47:32.840000,2021-11-13 19:45:12.523,1,1.0,False,,False,True,72.387,72.387
11,0 days 00:49:57.620000,BOT,77,0 days 00:01:12.393000,12.0,1.0,,,18.636,37.05,16.707,0 days 00:49:03.927000,0 days 00:49:40.977000,0 days 00:49:57.684000,305.0,261.0,301.0,297.0,False,SOFT,15.0,False,Mercedes,0 days 00:48:45.227000,2021-11-13 19:46:24.910,1,1.0,False,,False,True,72.393,72.393
