,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:45:35.032000,VER,33,,1.0,1.0,,,,36.27,24.888,,0 days 00:45:10.213000,0 days 00:45:35.185000,297.0,266.0,250.0,296.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:44:02.355000,2021-07-17 15:33:42.187,12,1.0,False,,False,False,,
1,0 days 00:47:05.655000,VER,33,0 days 00:01:30.623000,2.0,1.0,,,28.777,36.738,25.108,0 days 00:46:03.835000,0 days 00:46:40.573000,0 days 00:47:05.681000,292.0,265.0,247.0,297.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:45:35.032000,2021-07-17 15:35:14.864,1,1.0,False,,False,True,90.623,90.623
2,0 days 00:48:36.079000,VER,33,0 days 00:01:30.424000,3.0,1.0,,,28.811,36.754,24.859,0 days 00:47:34.492000,0 days 00:48:11.246000,0 days 00:48:36.105000,290.0,264.0,249.0,297.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:47:05.655000,2021-07-17 15:36:45.487,1,1.0,False,,False,True,90.424,90.424
3,0 days 00:50:06.436000,VER,33,0 days 00:01:30.357000,4.0,1.0,,,28.846,36.769,24.742,0 days 00:49:04.951000,0 days 00:49:41.720000,0 days 00:50:06.462000,286.0,264.0,250.0,299.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:48:36.079000,2021-07-17 15:38:15.911,1,1.0,False,,False,True,90.357,90.357
4,0 days 00:51:36.914000,VER,33,0 days 00:01:30.478000,5.0,1.0,,,28.812,36.739,24.927,0 days 00:50:35.274000,0 days 00:51:12.013000,0 days 00:51:36.940000,292.0,265.0,248.0,299.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:50:06.436000,2021-07-17 15:39:46.268,1,1.0,False,,False,True,90.478,90.47800000000001
5,0 days 00:53:07.113000,VER,33,0 days 00:01:30.199000,6.0,1.0,,,28.664,36.591,24.944,0 days 00:52:05.604000,0 days 00:52:42.195000,0 days 00:53:07.139000,292.0,265.0,249.0,299.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:51:36.914000,2021-07-17 15:41:16.746,1,1.0,False,,False,True,90.199,90.199
6,0 days 00:54:37.453000,VER,33,0 days 00:01:30.340000,7.0,1.0,,,28.72,36.827,24.793,0 days 00:53:35.859000,0 days 00:54:12.686000,0 days 00:54:37.479000,292.0,265.0,249.0,298.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:53:07.113000,2021-07-17 15:42:46.945,1,1.0,False,,False,True,90.34,90.34
7,0 days 00:56:07.643000,VER,33,0 days 00:01:30.190000,8.0,1.0,,,28.759,36.724,24.707,0 days 00:55:06.238000,0 days 00:55:42.962000,0 days 00:56:07.669000,291.0,265.0,250.0,298.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:54:37.453000,2021-07-17 15:44:17.285,1,1.0,False,,False,True,90.19,90.19
8,0 days 00:57:38.012000,VER,33,0 days 00:01:30.369000,9.0,1.0,,,28.739,36.693,24.937,0 days 00:56:36.408000,0 days 00:57:13.101000,0 days 00:57:38.038000,292.0,267.0,249.0,298.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:56:07.643000,2021-07-17 15:45:47.475,1,1.0,False,,False,True,90.369,90.369
9,0 days 00:59:08.405000,VER,33,0 days 00:01:30.393000,10.0,1.0,,,28.701,36.776,24.916,0 days 00:58:06.739000,0 days 00:58:43.515000,0 days 00:59:08.431000,291.0,265.0,249.0,298.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:57:38.012000,2021-07-17 15:47:17.844,1,1.0,False,,False,True,90.393,90.393
10,0 days 01:00:38.598000,VER,33,0 days 00:01:30.193000,11.0,1.0,,,28.649,36.652,24.892,0 days 00:59:37.080000,0 days 01:00:13.732000,0 days 01:00:38.624000,292.0,266.0,251.0,298.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 00:59:08.405000,2021-07-17 15:48:48.237,1,1.0,False,,False,True,90.193,90.193
11,0 days 01:02:08.799000,VER,33,0 days 00:01:30.201000,12.0,1.0,,,28.643,36.707,24.851,0 days 01:01:07.267000,0 days 01:01:43.974000,0 days 01:02:08.825000,291.0,265.0,250.0,297.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:00:38.598000,2021-07-17 15:50:18.430,1,1.0,False,,False,True,90.201,90.201
