,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:25.299000,RIC,3,,1.0,1.0,0 days 00:15:41.273000,,,35.25,29.619,,0 days 00:16:55.736000,0 days 00:17:25.437000,253.0,249.0,287.0,,False,MEDIUM,1.0,True,McLaren,0 days 00:15:41.273000,2021-09-03 09:30:41.284,12,,False,,False,False,,
1,0 days 00:18:41.030000,RIC,3,0 days 00:01:15.731000,2.0,1.0,,,27.135,25.513,23.083,0 days 00:17:52.434000,0 days 00:18:17.947000,0 days 00:18:41.030000,269.0,282.0,297.0,286.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:25.299000,2021-09-03 09:32:25.310,1,,False,,False,True,75.731,75.731
2,0 days 00:20:21.269000,RIC,3,0 days 00:01:40.239000,3.0,1.0,,,34.172,37.028,29.039,0 days 00:19:15.202000,0 days 00:19:52.230000,0 days 00:20:21.269000,227.0,257.0,301.0,295.0,False,MEDIUM,3.0,True,McLaren,0 days 00:18:41.030000,2021-09-03 09:33:41.041,12,,False,,False,True,100.239,100.23899999999999
3,0 days 00:21:35.007000,RIC,3,0 days 00:01:13.738000,4.0,1.0,,,25.988,25.051,22.699,0 days 00:20:47.257000,0 days 00:21:12.308000,0 days 00:21:35.007000,270.0,283.0,298.0,309.0,True,MEDIUM,4.0,True,McLaren,0 days 00:20:21.269000,2021-09-03 09:35:21.280,1,,False,,False,True,73.738,73.738
4,0 days 00:23:13.969000,RIC,3,0 days 00:01:38.962000,5.0,1.0,,,32.77,40.725,25.467,0 days 00:22:07.777000,0 days 00:22:48.502000,0 days 00:23:13.969000,224.0,249.0,299.0,301.0,False,MEDIUM,5.0,True,McLaren,0 days 00:21:35.007000,2021-09-03 09:36:35.018,1,,False,,False,True,98.962,98.962
5,0 days 00:24:27.181000,RIC,3,0 days 00:01:13.212000,6.0,1.0,,,25.736,24.959,22.517,0 days 00:23:39.705000,0 days 00:24:04.664000,0 days 00:24:27.181000,274.0,282.0,300.0,310.0,True,MEDIUM,6.0,True,McLaren,0 days 00:23:13.969000,2021-09-03 09:38:13.980,1,,False,,False,True,73.212,73.212
6,0 days 00:26:02.252000,RIC,3,0 days 00:01:35.071000,7.0,1.0,,,33.532,34.865,26.674,0 days 00:25:00.713000,0 days 00:25:35.578000,0 days 00:26:02.252000,177.0,266.0,302.0,305.0,False,MEDIUM,7.0,True,McLaren,0 days 00:24:27.181000,2021-09-03 09:39:27.192,1,,False,,False,True,95.071,95.071
7,0 days 00:27:28.386000,RIC,3,0 days 00:01:26.134000,8.0,1.0,,,25.534,29.287,31.313,0 days 00:26:27.786000,0 days 00:26:57.073000,0 days 00:27:28.386000,277.0,113.0,299.0,313.0,False,MEDIUM,8.0,True,McLaren,0 days 00:26:02.252000,2021-09-03 09:41:02.263,1,,False,,False,True,86.134,86.134
8,0 days 00:28:43.456000,RIC,3,0 days 00:01:15.070000,9.0,1.0,,,25.667,24.968,24.435,0 days 00:27:54.053000,0 days 00:28:19.021000,0 days 00:28:43.456000,273.0,284.0,261.0,308.0,False,MEDIUM,9.0,True,McLaren,0 days 00:27:28.386000,2021-09-03 09:42:28.397,1,,False,,False,True,75.07,75.07000000000001
9,0 days 00:30:35.044000,RIC,3,0 days 00:01:51.588000,10.0,1.0,,,38.847,42.914,29.827,0 days 00:29:22.303000,0 days 00:30:05.217000,0 days 00:30:35.044000,129.0,169.0,297.0,264.0,False,MEDIUM,10.0,True,McLaren,0 days 00:28:43.456000,2021-09-03 09:43:43.467,1,,False,,False,True,111.588,111.588
