,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:35.479000,GAS,10,,1.0,1.0,0 days 00:14:47.810000,,48.895,46.957,72.771,0 days 00:15:35.751000,0 days 00:16:22.731000,0 days 00:17:35.758000,66.0,157.0,300.0,304.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:14:47.810000,2021-06-19 13:00:15.013,1,,False,,False,False,,168.623
1,0 days 00:27:42.702000,GAS,10,,2.0,1.0,,0 days 00:19:40.614000,23.04,,,0 days 00:17:58.597000,,,111.0,,,,False,SOFT,2.0,True,AlphaTauri,0 days 00:17:35.479000,2021-06-19 13:03:02.682,125,,False,,False,False,,
2,0 days 00:30:15.038000,GAS,10,,3.0,2.0,0 days 00:27:42.702000,,43.813,40.047,69.568,0 days 00:28:25.453000,0 days 00:29:05.623000,0 days 00:30:15.343000,88.0,230.0,302.0,307.0,False,SOFT,3.0,False,AlphaTauri,0 days 00:27:42.702000,2021-06-19 13:13:09.905,1,,False,,False,False,,153.428
3,0 days 00:31:46.936000,GAS,10,0 days 00:01:31.898000,4.0,2.0,,,22.843,27.881,41.174,0 days 00:30:37.881000,0 days 00:31:05.762000,0 days 00:31:46.936000,118.0,282.0,303.0,322.0,True,SOFT,4.0,False,AlphaTauri,0 days 00:30:15.038000,2021-06-19 13:15:42.241,1,,False,,False,True,91.898,91.898
4,0 days 00:34:20.695000,GAS,10,,5.0,2.0,,,37.442,47.382,68.985,0 days 00:32:24.382000,0 days 00:33:11.811000,0 days 00:34:21.019000,91.0,211.0,303.0,262.0,False,SOFT,5.0,False,AlphaTauri,0 days 00:31:46.936000,2021-06-19 13:17:14.139,1,,False,,False,False,,153.809
5,0 days 00:35:52.615000,GAS,10,0 days 00:01:31.920000,6.0,2.0,,,22.917,27.895,41.108,0 days 00:34:43.612000,0 days 00:35:11.507000,0 days 00:35:52.615000,117.0,283.0,302.0,323.0,False,SOFT,6.0,False,AlphaTauri,0 days 00:34:20.695000,2021-06-19 13:19:47.898,1,,False,,False,True,91.92,91.91999999999999
6,0 days 00:39:06.295000,GAS,10,,7.0,2.0,,0 days 00:37:26.096000,26.169,31.503,,0 days 00:36:18.838000,0 days 00:36:50.417000,,110.0,255.0,,277.0,False,SOFT,7.0,False,AlphaTauri,0 days 00:35:52.615000,2021-06-19 13:21:19.818,1,,False,,False,False,,
7,0 days 00:49:34.996000,GAS,10,,8.0,3.0,0 days 00:39:06.295000,0 days 00:44:07.680000,44.163,42.778,,0 days 00:39:49.569000,0 days 00:40:32.453000,,81.0,213.0,,294.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:39:06.295000,2021-06-19 13:24:33.498,125,,False,,False,False,,
8,0 days 00:51:58.980000,GAS,10,0 days 00:02:23.984000,9.0,4.0,0 days 00:49:36.775000,,43.274,39.548,61.162,0 days 00:50:18.270000,0 days 00:50:57.818000,0 days 00:51:58.980000,92.0,184.0,300.0,307.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:49:36.775000,2021-06-19 13:35:03.978,1,,False,,False,False,143.984,143.984
9,0 days 00:53:30.333000,GAS,10,0 days 00:01:31.353000,10.0,4.0,,,22.783,27.72,40.85,0 days 00:52:21.763000,0 days 00:52:49.483000,0 days 00:53:30.333000,113.0,281.0,301.0,323.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:51:58.980000,2021-06-19 13:37:26.183,1,,False,,False,True,91.353,91.35300000000001
10,0 days 00:56:00.155000,GAS,10,0 days 00:02:29.822000,11.0,4.0,,,40.17,51.549,58.103,0 days 00:54:10.503000,0 days 00:55:02.052000,0 days 00:56:00.155000,59.0,187.0,302.0,270.0,False,MEDIUM,3.0,True,AlphaTauri,0 days 00:53:30.333000,2021-06-19 13:38:57.536,1,,False,,False,True,149.822,149.822
11,0 days 00:57:31.558000,GAS,10,0 days 00:01:31.403000,12.0,4.0,,,22.626,27.788,40.989,0 days 00:56:22.781000,0 days 00:56:50.569000,0 days 00:57:31.558000,116.0,282.0,302.0,327.0,False,MEDIUM,4.0,True,AlphaTauri,0 days 00:56:00.155000,2021-06-19 13:41:27.358,1,,False,,False,True,91.403,91.40299999999999
12,0 days 01:01:02.758000,GAS,10,,13.0,4.0,,0 days 00:59:12.659000,26.035,34.806,,0 days 00:57:57.615000,0 days 00:58:32.456000,,106.0,249.0,,280.0,False,MEDIUM,5.0,True,AlphaTauri,0 days 00:57:31.558000,2021-06-19 13:42:58.761,1,,False,,False,False,,
13,0 days 01:03:38.299000,GAS,10,,14.0,5.0,0 days 01:01:02.758000,,49.485,41.995,65.264,0 days 01:01:51.062000,0 days 01:02:33.079000,0 days 01:03:38.339000,71.0,217.0,303.0,306.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 01:01:02.758000,2021-06-19 13:46:29.961,1,,False,,False,False,,156.74399999999997
14,0 days 01:05:09.715000,GAS,10,0 days 00:01:31.416000,15.0,5.0,,,22.528,28.039,40.849,0 days 01:04:00.827000,0 days 01:04:28.866000,0 days 01:05:09.715000,113.0,282.0,303.0,326.0,False,MEDIUM,2.0,True,AlphaTauri,0 days 01:03:38.299000,2021-06-19 13:49:05.502,1,,True,TRACK LIMITS AT TURN 6,False,True,91.416,91.416
15,0 days 01:12:36.843000,GAS,10,,16.0,5.0,,0 days 01:06:57.297000,32.111,33.861,,0 days 01:05:41.861000,0 days 01:06:15.701000,,100.0,253.0,,282.0,False,MEDIUM,3.0,True,AlphaTauri,0 days 01:05:09.715000,2021-06-19 13:50:36.918,1,,False,,False,False,,
16,0 days 01:14:57.617000,GAS,10,,17.0,6.0,0 days 01:12:36.718000,,,37.6,59.029,,0 days 01:13:58.616000,0 days 01:14:57.637000,97.0,213.0,302.0,305.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:12:36.843000,2021-06-19 13:58:04.046,1,,False,,False,False,,
17,0 days 01:16:29.027000,GAS,10,0 days 00:01:31.410000,18.0,6.0,,,22.629,27.888,40.893,0 days 01:15:20.246000,0 days 01:15:48.134000,0 days 01:16:29.027000,115.0,282.0,302.0,323.0,False,SOFT,2.0,True,AlphaTauri,0 days 01:14:57.617000,2021-06-19 14:00:24.820,1,,True,TRACK LIMITS AT TURN 6,False,True,91.41,91.41
18,0 days 01:20:41.003000,GAS,10,,19.0,6.0,,0 days 01:18:16.730000,29.605,36.98,,0 days 01:16:58.614000,0 days 01:17:35.679000,,90.0,251.0,,255.0,False,SOFT,3.0,True,AlphaTauri,0 days 01:16:29.027000,2021-06-19 14:01:56.230,1,,False,,False,False,,
